"Name","Gross Import","Share","Code","Sector"
"Live animals","4548690","0.0211809528406061","01","Agriculture"
"Meat","214597012","0.9992699416550659","02","Agriculture"
"Fish","155044709","0.721964932654126","03","Agriculture"
"Diary products","237378653","1.1053525420636712","04","Agriculture"
"Animal products","1217314","0.005668416714748549","05","Agriculture"
"Plants","10959265","0.05103176411949485","06","Agriculture"
"Vegetables","65261480","0.30388976390744554","07","Agriculture"
"Fruits and nuts","68690709","0.31985795205142514","08","Agriculture"
"Coffee, tea and spices","41461047","0.19306316351062683","09","Agriculture"
"Cereals","387621156","1.8049560258573836","10","Agriculture"
"Flours, starches and malts","43723049","0.20359616481151932","11","Agriculture"
"Oil seeds and oleaginous fruits","36454960","0.1697523437662672","12","Agriculture"
"Lac and other vegetable extracts","4754769","0.02214055870085142","13","Agriculture"
"Other vegetable materials","891107","0.004149435407322544","14","Agriculture"
"Animal or vegetable fats, oils or waxes","171477630","0.7984847492902137","15","Agriculture"
"Preparations of meat or fish","101607424","0.4731344752004354","16","Agriculture"
"Sugar and candy","28582021","0.13309204164060712","17","Agriculture"
"Cocoa","23361705","0.10878366560067884","18","Agriculture"
"Preparations of cereals, flour, starch or milk","138546398","0.6451406278013766","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","110393092","0.5140448954711556","20","Agriculture"
"Miscellaneous edible preparations","144884495","0.6746539456261101","21","Agriculture"
"Beverages","194483322","0.9056106420895712","22","Agriculture"
"Food residues and animal feed","225211425","1.0486959041154043","23","Agriculture"
"Tobacco","278603976","1.2973180579158734","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","27242048","0.12685246388949958","25","Minerals"
"Ores, slag and ash","962591","0.004482300305316886","26","Minerals"
"Mineral fuels, oils and waxes","2997665610","13.958615319425313","27","Minerals"
"Inorganic chemicals","77795912","0.36225628549405264","28","Chemicals"
"Organic chemicals","134842136","0.6278917498318405","29","Chemicals"
"Pharmaceutical products","261986477","1.2199387547213671","30","Chemicals"
"Fertilisers","82788383","0.3855037024006991","31","Chemicals"
"Dyes, paints, inks, etc.","119062864","0.5544156465820924","32","Chemicals"
"Essential oils","138036232","0.6427650423060184","33","Chemicals"
"Soaps, waxes, and paints","71733416","0.3340263023841104","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","48528997","0.22597503827671594","35","Chemicals"
"Explosives","2177633","0.010140137463126215","36","Chemicals"
"Photographic or cinematographic goods","9167884","0.04269020721397748","37","Chemicals"
"Miscellaneous chemical products","172547363","0.8034659557969311","38","Chemicals"
"Plastics","1030853239","4.800163088899232","39","Chemicals"
"Rubber","145710320","0.6784993957182451","40","Chemicals"
"Leather and skins","74356793","0.3462420446132205","41","Agriculture"
"Articles of leather","36248630","0.1687915691257438","42","Agriculture"
"Furskins","927893","0.004320729237237208","43","Agriculture"
"Wood","131486335","0.6122654788123911","44","Agriculture"
"Cork","941403","0.004383638486466456","45","Agriculture"
"Manufactues of plaiting materials","1272855","0.005927043110858221","46","Agriculture"
"Pulp of wood","10022438","0.04666943375475105","47","Agriculture"
"Paper and paperboard","451930650","2.1044128715903834","48","Agriculture"
"Products of the printing industry","44199801","0.2058161581785469","49","Agriculture"
"Silk","1288783","0.006001211765315916","50","Textiles"
"Wool","10366716","0.04827256258570198","51","Textiles"
"Cotton","325722480","1.5167251424047945","52","Textiles"
"Other vegetable textile fibres","769118","0.003581394222701763","53","Textiles"
"Man-made filaments","73471449","0.3421194445873419","54","Textiles"
"Man-made staple fibres","78486623","0.3654725779029633","55","Textiles"
"Wadding, felt and nonwovens","63108455","0.29386421347652014","56","Textiles"
"Carpets","5420706","0.02524149109936939","57","Textiles"
"Special woven fabrics","28582532","0.13309442110961942","58","Textiles"
"Impregnated, coated or laminated textile fabrics","50024309","0.23293795132508643","59","Textiles"
"Knitted fabrics","96741267","0.45047523881985435","60","Textiles"
"Apparel, knit","81959585","0.3816444085485376","61","Textiles"
"Apparel, not knit","88607896","0.4126022363540558","62","Textiles"
"Other made up textile articles","90619684","0.4219701173820654","63","Textiles"
"Footwear","122652251","0.5711296096733747","64","Textiles"
"Headgear","6009428","0.02798287222629325","65","Textiles"
"Umbrellas and walking-sticks","3669079","0.017085048501317566","66","Textiles"
"Feathers and down","19277085","0.0897636524558401","67","Textiles"
"Articles of stone, plaster, cement, etc.","53192131","0.24768889904617417","68","Stone"
"Ceramic products","235597042","1.0970564791155906","69","Stone"
"Glass and glassware","127395609","0.5932170331082783","70","Stone"
"Precious metals and stones","530951606","2.472373568506553","71","Stone"
"Iron and steel","624194557","2.906558915903264","72","Metals"
"Articles of iron or steel","270053114","1.257501010641047","73","Metals"
"Copper","32220717","0.1500356118503383","74","Metals"
"Nickel","1794670","0.008356872118005527","75","Metals"
"Aluminium","148521399","0.6915891713965653","76","Metals"
"Lead","532052","0.0024774975478105035","78","Metals"
"Zinc","3754756","0.017484003034716106","79","Metals"
"Tin","723710","0.003369952091761593","80","Metals"
"Other base metals","3380796","0.015742660115266097","81","Metals"
"Metal tools and tableware","42892452","0.19972849392461584","82","Metals"
"Miscellaneous articles of base metal","76372481","0.3556280859722438","83","Metals"
"Industrial Machinery","1466368786","6.828139113283785","84","Machinery"
"Electrical machinery and equipment","1614802286","7.5193189834147685","85","Electronics"
"Trains","51913923","0.24173692971687596","86","Vehicles"
"Vehicles","1273445833","5.929794321846368","87","Vehicles"
"Aircraft","1584953","0.00738032592847109","88","Vehicles"
"Ships","6984273","0.03252223322295397","89","Vehicles"
"Apparatuses (optical, medical, etc.)","509255921","2.3713477169251864","90","Machinery"
