"Name","Gross Export","Share","Code","Sector"
"Live animals","667244","0.0028309321923863976","01","Agriculture"
"Meat","96522","0.0004095162145684635","02","Agriculture"
"Fish","2782180569","11.8040245214854","03","Agriculture"
"Diary products","121085","0.0005137302463792959","04","Agriculture"
"Animal products","4394390","0.018644184311737328","05","Agriculture"
"Plants","698131755","2.96198041459603","06","Agriculture"
"Vegetables","131617181","0.5584153844231605","07","Agriculture"
"Fruits and nuts","3481392865","14.770589373411843","08","Agriculture"
"Coffee, tea and spices","33094404","0.14041042507904328","09","Agriculture"
"Cereals","22515290","0.09552616326548538","10","Agriculture"
"Flours, starches and malts","5889268","0.024986539213227927","11","Agriculture"
"Oil seeds and oleaginous fruits","5200476","0.022064184802160595","12","Agriculture"
"Lac and other vegetable extracts","619909","0.0026301028476090594","13","Agriculture"
"Other vegetable materials","1524222","0.006466853397173418","14","Agriculture"
"Animal or vegetable fats, oils or waxes","265570020","1.1267403213077964","15","Agriculture"
"Preparations of meat or fish","1181035015","5.010805708704839","16","Agriculture"
"Sugar and candy","31149758","0.13215982864925835","17","Agriculture"
"Cocoa","719411049","3.052262587857767","18","Agriculture"
"Preparations of cereals, flour, starch or milk","14448823","0.06130236940728281","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","268701793","1.1400275700577989","20","Agriculture"
"Miscellaneous edible preparations","84053276","0.35661485888811134","21","Agriculture"
"Beverages","12584982","0.05339460629755135","22","Agriculture"
"Food residues and animal feed","140522828","0.5961995874828049","23","Agriculture"
"Tobacco","100661685","0.42707975584098007","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","5828283","0.02472779668462867","25","Minerals"
"Ores, slag and ash","209143395","0.8873377201300938","26","Minerals"
"Mineral fuels, oils and waxes","8805270941","37.35833513611417","27","Minerals"
"Inorganic chemicals","3719126","0.015779225472152995","28","Chemicals"
"Organic chemicals","5358318","0.022733864857898304","29","Chemicals"
"Pharmaceutical products","40076198","0.17003225067089603","30","Chemicals"
"Fertilisers","3389335","0.01438001325194674","31","Chemicals"
"Dyes, paints, inks, etc.","9546685","0.04050395042454085","32","Chemicals"
"Essential oils","7761536","0.03293005575886175","33","Chemicals"
"Soaps, waxes, and paints","18892473","0.08015555030766978","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","13835835","0.058701630453097293","35","Chemicals"
"Explosives","332248","0.0014096365932942008","36","Chemicals"
"Photographic or cinematographic goods","91147","0.00038671157258730383","37","Chemicals"
"Miscellaneous chemical products","11994268","0.050888369779735765","38","Chemicals"
"Plastics","126501707","0.5367118396540571","39","Chemicals"
"Rubber","48507896","0.20580561889103738","40","Chemicals"
"Leather and skins","12048870","0.05112003100047163","41","Agriculture"
"Articles of leather","967771","0.004105985334836995","42","Agriculture"
"Furskins","71872","0.000304933065761843","43","Agriculture"
"Wood","386516271","1.639881893962396","44","Agriculture"
"Manufactues of plaiting materials","512921","0.0021761822827196997","46","Agriculture"
"Pulp of wood","1713868","0.007271469049854162","47","Agriculture"
"Paper and paperboard","68150623","0.2891442899177645","48","Agriculture"
"Products of the printing industry","5712142","0.024235042466147945","49","Agriculture"
"Wool","815421","0.003459606319798917","51","Textiles"
"Cotton","31286558","0.1327402333047044","52","Textiles"
"Other vegetable textile fibres","16553797","0.07023319330489201","53","Textiles"
"Man-made filaments","4324184","0.018346319624308622","54","Textiles"
"Man-made staple fibres","4305261","0.01826603455636267","55","Textiles"
"Wadding, felt and nonwovens","2575663","0.01092782745658039","56","Textiles"
"Carpets","97893","0.0004153329892951928","57","Textiles"
"Special woven fabrics","221114","0.0009381256943296994","58","Textiles"
"Impregnated, coated or laminated textile fabrics","348570","0.0014788863358833149","59","Textiles"
"Knitted fabrics","647281","0.002746234691387348","60","Textiles"
"Apparel, knit","13506619","0.05730485779924251","61","Textiles"
"Apparel, not knit","5059851","0.021467551727072112","62","Textiles"
"Other made up textile articles","17102556","0.07256142633353187","63","Textiles"
"Footwear","20039229","0.08502091961366917","64","Textiles"
"Headgear","14643295","0.06212746044641956","65","Textiles"
"Umbrellas and walking-sticks","2833","0.000012019637345604701","66","Textiles"
"Feathers and down","104318","0.00044259249157034645","67","Textiles"
"Articles of stone, plaster, cement, etc.","4996100","0.02119707382364125","68","Stone"
"Ceramic products","23178315","0.0983391954049381","69","Stone"
"Glass and glassware","11384878","0.04830289614682435","70","Stone"
"Precious metals and stones","157500655","0.6682318230833751","71","Stone"
"Iron and steel","20965897","0.08895251626025472","72","Metals"
"Articles of iron or steel","129236071","0.5483129916663682","73","Metals"
"Copper","51226385","0.21733941765842732","74","Metals"
"Nickel","104890","0.00044501932974955075","75","Metals"
"Aluminium","53703210","0.2278479027514479","76","Metals"
"Lead","57411970","0.24358314814568893","78","Metals"
"Zinc","1321818","0.005608109070558601","79","Metals"
"Other base metals","37941","0.00016097319468040522","81","Metals"
"Metal tools and tableware","1817880","0.007712763267853116","82","Metals"
"Miscellaneous articles of base metal","7456282","0.03163494725964","83","Metals"
"Industrial Machinery","119693884","0.5078281250147819","84","Machinery"
"Electrical machinery and equipment","66412444","0.2817696760025701","85","Electronics"
"Trains","286119","0.0012139239737688217","86","Vehicles"
"Vehicles","35585311","0.1509786562126925","87","Vehicles"
"Aircraft","32072347","0.13607411922428272","88","Vehicles"
"Ships","11007885","0.04670341886414466","89","Vehicles"
"Apparatuses (optical, medical, etc.)","16973073","0.0720120656902488","90","Machinery"
"Clocks","157860","0.0006697564247713231","91","Machinery"
"Musical instruments","69979","0.0002969015890603853","92","Machinery"
"Arms and ammunition","357","0.0000015146524999579522","93","Machinery"
"Furniture","14068671","0.05968948935920433","94","Textiles"
"Toys","1071705","0.004546948620356967","95","Machinery"
"Miscellaneous manufactured articles","11956531","0.05072826210076962","96","Machinery"
"Art","456839","0.0019382418303313471","97","Textiles"
"Other","290933856","1.2343520793075824","99","Other"
"Unspecified","152","6.448940616067472e-7","unspecified","Services"
"Travel and tourism","1894289280","8.036946760771848","travel","Services"
"Transport","435453248","1.8475079851484877","transport","Services"
"ICT","156568896","0.66427862672845","ict","Services"
"Insurance and finance","59199392","0.25116668652322355","financial","Services"
