"Name","Gross Import","Share","Code","Sector"
"Live animals","24519430","0.09642046300451407","01","Agriculture"
"Meat","8511032","0.033468871261943506","02","Agriculture"
"Fish","230234342","0.9053759347252216","03","Agriculture"
"Diary products","11534311","0.04535764522495261","04","Agriculture"
"Animal products","42865862","0.16856616410445127","05","Agriculture"
"Plants","20641697","0.08117162519434135","06","Agriculture"
"Vegetables","38795197","0.15255863847941553","07","Agriculture"
"Fruits and nuts","119986901","0.47183774455184285","08","Agriculture"
"Coffee, tea and spices","24970681","0.09819496715698622","09","Agriculture"
"Cereals","282788641","1.112041009829238","10","Agriculture"
"Flours, starches and malts","31335860","0.12322546363617068","11","Agriculture"
"Oil seeds and oleaginous fruits","29110762","0.11447546498651126","12","Agriculture"
"Lac and other vegetable extracts","9535698","0.03749827855831962","13","Agriculture"
"Other vegetable materials","374778","0.001473780927366818","14","Agriculture"
"Animal or vegetable fats, oils or waxes","166464435","0.6546064854070767","15","Agriculture"
"Preparations of meat or fish","18888089","0.07427571875245344","16","Agriculture"
"Sugar and candy","75302159","0.29611899770996053","17","Agriculture"
"Cocoa","41734008","0.16411524959569185","18","Agriculture"
"Preparations of cereals, flour, starch or milk","99967885","0.3931147566351264","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","46789121","0.1839940288332246","20","Agriculture"
"Miscellaneous edible preparations","203689527","0.8009908265612403","21","Agriculture"
"Beverages","86413467","0.3398132215131142","22","Agriculture"
"Food residues and animal feed","698226723","2.7457140689561137","23","Agriculture"
"Tobacco","1484449","0.0058374627748927245","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","35302389","0.13882348376554693","25","Minerals"
"Ores, slag and ash","3607710","0.014186996540540113","26","Minerals"
"Mineral fuels, oils and waxes","4946879035","19.45315886144269","27","Minerals"
"Inorganic chemicals","143206085","0.5631451065854222","28","Chemicals"
"Organic chemicals","308077741","1.2114881311924774","29","Chemicals"
"Pharmaceutical products","678220231","2.6670403305479975","30","Chemicals"
"Fertilisers","271959914","1.0694580105062732","31","Chemicals"
"Dyes, paints, inks, etc.","151309601","0.5950114576663603","32","Chemicals"
"Essential oils","246361049","0.9687927660169009","33","Chemicals"
"Soaps, waxes, and paints","135979659","0.5347278333948196","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","58751716","0.23103586253961522","35","Chemicals"
"Explosives","15163366","0.059628579066760785","36","Chemicals"
