"Name","Gross Export","Share","Code","Sector"
"Live animals","24045815","0.04318872210897804","01","Agriculture"
"Meat","5708770","0.010253529818559719","02","Agriculture"
"Fish","49223305","0.08841004727560574","03","Agriculture"
"Diary products","297156314","0.5337228731184293","04","Agriculture"
"Animal products","26416562","0.047446824126884","05","Agriculture"
"Plants","42093278","0.07560379576229623","06","Agriculture"
"Vegetables","899214328","1.6150801180331562","07","Agriculture"
"Fruits and nuts","1302352185","2.3391565894516515","08","Agriculture"
"Coffee, tea and spices","59249472","0.10641805991236626","09","Agriculture"
"Cereals","10338321","0.018568672874777252","10","Agriculture"
"Flours, starches and malts","241771064","0.43424534776999424","11","Agriculture"
"Oil seeds and oleaginous fruits","270532365","0.48590356090943965","12","Agriculture"
"Lac and other vegetable extracts","17144785","0.030793772429138923","13","Agriculture"
"Other vegetable materials","2783066","0.004998668753167447","14","Agriculture"
"Animal or vegetable fats, oils or waxes","132999412","0.23888043077456428","15","Agriculture"
"Preparations of meat or fish","32314286","0.05803973449034852","16","Agriculture"
"Sugar and candy","296807375","0.5330961432902248","17","Agriculture"
"Cocoa","145869563","0.2619965270698899","18","Agriculture"
"Preparations of cereals, flour, starch or milk","182164493","0.3271859018419578","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","405705115","0.7286875271196248","20","Agriculture"
"Miscellaneous edible preparations","221986075","0.3987095012266275","21","Agriculture"
"Beverages","43465700","0.07806880484492654","22","Agriculture"
"Food residues and animal feed","107074205","0.19231613005359757","23","Agriculture"
"Tobacco","102125013","0.1834268793481431","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","537200027","0.9648657233301722","25","Minerals"
"Ores, slag and ash","46608213","0.08371307685986347","26","Minerals"
"Mineral fuels, oils and waxes","8749960559","15.715816454845436","27","Minerals"
"Inorganic chemicals","499916831","0.8979013226068628","28","Chemicals"
"Organic chemicals","443549258","0.7966594455378371","29","Chemicals"
"Pharmaceutical products","256083192","0.45995138098118404","30","Chemicals"
"Fertilisers","1414037765","2.5397552166223267","31","Chemicals"
"Dyes, paints, inks, etc.","148856808","0.26736192201185527","32","Chemicals"
"Essential oils","556969802","1.0003742439867613","33","Chemicals"
"Soaps, waxes, and paints","295952785","0.5315612129904155","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","84028763","0.1509241792955729","35","Chemicals"
"Explosives","1156575","0.0020773259826373644","36","Chemicals"
"Photographic or cinematographic goods","1002603","0.0018007766570868034","37","Chemicals"
"Miscellaneous chemical products","264589355","0.47522931229774246","38","Chemicals"
"Plastics","1648753844","2.9613290959206555","39","Chemicals"
"Rubber","107511679","0.19310187771970508","40","Chemicals"
"Leather and skins","112488438","0.2020406415525947","41","Agriculture"
"Articles of leather","1804334","0.003240766832722484","42","Agriculture"
"Furskins","37075","0.00006659045959516702","43","Agriculture"
"Wood","30327598","0.05447144138199509","44","Agriculture"
"Cork","78319","0.00014066886594831787","45","Agriculture"
"Manufactues of plaiting materials","2594344","0.0046597049037886435","46","Agriculture"
"Pulp of wood","676025","0.0012142094524025026","47","Agriculture"
"Paper and paperboard","567429939","1.0191617107503057","48","Agriculture"
"Products of the printing industry","21259497","0.03818421243404112","49","Agriculture"
"Silk","497066","0.0008927809410419768","50","Textiles"
"Wool","51679506","0.0928216333429856","51","Textiles"
"Cotton","441372220","0.7927492645270173","52","Textiles"
"Other vegetable textile fibres","32406674","0.0582056727069656","53","Textiles"
"Man-made filaments","148732972","0.26713949999824965","54","Textiles"
"Man-made staple fibres","191599553","0.3441322263654366","55","Textiles"
"Wadding, felt and nonwovens","156427890","0.28096035303040406","56","Textiles"
"Carpets","346262299","0.6219222017771852","57","Textiles"
"Special woven fabrics","20331200","0.03651689688796385","58","Textiles"
"Impregnated, coated or laminated textile fabrics","859203","0.0015432157155912687","59","Textiles"
"Knitted fabrics","42080776","0.07558134090252931","60","Textiles"
"Apparel, knit","746158907","1.3401770613124067","61","Textiles"
"Apparel, not knit","921886716","1.6558020259775916","62","Textiles"
"Other made up textile articles","260940373","0.4686753706002511","63","Textiles"
"Footwear","5540836","0.009951903325190744","64","Textiles"
"Headgear","896915","0.001610950291781503","65","Textiles"
"Umbrellas and walking-sticks","34312","0.00006162783141279489","66","Textiles"
"Feathers and down","132540","0.00023805528023583105","67","Textiles"
"Articles of stone, plaster, cement, etc.","214351805","0.3849975781524914","68","Stone"
"Ceramic products","321350955","0.577178901815127","69","Stone"
"Glass and glassware","585147006","1.0509833596837748","70","Stone"
"Precious metals and stones","1588333112","2.8528073342765174","71","Stone"
"Iron and steel","1113385555","1.999753359786112","72","Metals"
"Articles of iron or steel","294441039","0.5288459638756169","73","Metals"
"Copper","244415637","0.4389952690512611","74","Metals"
"Nickel","13889149","0.024946320034949548","75","Metals"
"Aluminium","808184102","1.4515806012053227","76","Metals"
"Lead","22589632","0.04057326977655271","78","Metals"
"Zinc","3340460","0.005999804899778061","79","Metals"
"Tin","62814","0.00011282031366178882","80","Metals"
"Other base metals","233479","0.0004193519599681726","81","Metals"
"Metal tools and tableware","45954881","0.08253962633664756","82","Metals"
"Miscellaneous articles of base metal","13711090","0.024626508014853637","83","Metals"
"Industrial Machinery","232339875","0.4173059759550547","84","Machinery"
"Electrical machinery and equipment","1819316856","3.2676775614369333","85","Electronics"
"Trains","6273550","0.01126793197014862","86","Vehicles"
"Vehicles","105765565","0.18996567991078922","87","Vehicles"
"Aircraft","7424985","0.013336025991563619","88","Vehicles"
"Ships","11898314","0.02137057849406905","89","Vehicles"
"Apparatuses (optical, medical, etc.)","83679580","0.15029701121862565","90","Machinery"
"Clocks","1649179","0.0029620927192096544","91","Machinery"
"Musical instruments","319642","0.0005741094453383243","92","Machinery"
"Arms and ammunition","99116","0.00017802238687079095","93","Machinery"
"Furniture","232936737","0.418378000631923","94","Textiles"
"Toys","2570855","0.004617516277883563","95","Machinery"
"Miscellaneous manufactured articles","28798140","0.05172437971910891","96","Machinery"
"Art","38951519","0.06996087800781875","97","Textiles"
"Other","181773344","0.3264833585734429","99","Other"
"Travel and tourism","12275488768","22.04802262485315","travel","Services"
"Transport","9346199552","16.786722147965584","transport","Services"
"ICT","1586869248","2.8501780860891994","ict","Services"
"Insurance and finance","365143744","0.6558351916725559","financial","Services"
