"Name","Gross Import","Share","Code","Sector"
"Live animals","192356478","0.1979650705582159","01","Agriculture"
"Meat","828932261","0.8531016747813736","02","Agriculture"
"Fish","491865574","0.5062070384864676","03","Agriculture"
"Diary products","524315935","0.5396035638949053","04","Agriculture"
"Animal products","47053408","0.04842535760466835","05","Agriculture"
"Plants","7755969","0.00798211199485746","06","Agriculture"
"Vegetables","373244192","0.38412697910139676","07","Agriculture"
"Fruits and nuts","285958401","0.2942961714586997","08","Agriculture"
"Coffee, tea and spices","450662276","0.4638023642035397","09","Agriculture"
"Cereals","4805214222","4.945321220248026","10","Agriculture"
"Flours, starches and malts","31038320","0.03194331312724744","11","Agriculture"
"Oil seeds and oleaginous fruits","1559467134","1.6049369609248547","12","Agriculture"
"Lac and other vegetable extracts","28366617","0.029193710522724826","13","Agriculture"
"Other vegetable materials","2477456","0.0025496918894765547","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1060114679","1.0910247443189067","15","Agriculture"
"Preparations of meat or fish","233690828","0.24050461796159467","16","Agriculture"
"Sugar and candy","412446275","0.424472088389185","17","Agriculture"
"Cocoa","117171248","0.12058764341544147","18","Agriculture"
"Preparations of cereals, flour, starch or milk","161116920","0.16581465187734634","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","78756417","0.08105274025820577","20","Agriculture"
"Miscellaneous edible preparations","162318941","0.16705172054564174","21","Agriculture"
"Beverages","40527720","0.04170939826296683","22","Agriculture"
"Food residues and animal feed","545844905","0.5617602601986071","23","Agriculture"
"Tobacco","500318808","0.5149067458353156","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","218473693","0.22484379262682797","25","Minerals"
"Ores, slag and ash","841223256","0.8657510418196164","26","Minerals"
"Mineral fuels, oils and waxes","12940670246","13.317985050235714","27","Minerals"
"Inorganic chemicals","664318376","0.6836880959005674","28","Chemicals"
"Organic chemicals","1729262234","1.7796828249655727","29","Chemicals"
"Pharmaceutical products","1984247234","2.0421024951587787","30","Chemicals"
"Fertilisers","150917126","0.15531745958164797","31","Chemicals"
"Dyes, paints, inks, etc.","493475987","0.5078644067565025","32","Chemicals"
"Essential oils","334384608","0.34413435515439916","33","Chemicals"
"Soaps, waxes, and paints","303098190","0.311935710163177","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","116240353","0.11962960604506868","35","Chemicals"
"Explosives","17985152","0.018509550193990545","36","Chemicals"
"Photographic or cinematographic goods","38572842","0.03969752132891991","37","Chemicals"
