"Name","Gross Export","Share","Code","Sector"
"Live animals","9666667","0.10838604155415676","01","Agriculture"
"Meat","1997628","0.022398101788108256","02","Agriculture"
"Fish","42040603","0.47137390206156965","03","Agriculture"
"Diary products","34776740","0.3899289369084613","04","Agriculture"
"Animal products","211781","0.0023745624284337995","05","Agriculture"
"Plants","17226896","0.19315396565384294","06","Agriculture"
"Vegetables","13430816","0.1505909928501968","07","Agriculture"
"Fruits and nuts","6144650","0.06889595868314789","08","Agriculture"
"Coffee, tea and spices","110580991","1.2398726350691331","09","Agriculture"
"Cereals","2357006","0.026427573253469557","10","Agriculture"
"Flours, starches and malts","51305146","0.5752511890911396","11","Agriculture"
"Oil seeds and oleaginous fruits","766059","0.008589320663154711","12","Agriculture"
"Lac and other vegetable extracts","1097876","0.01230976858490226","13","Agriculture"
"Other vegetable materials","32730","0.00036698017424905094","14","Agriculture"
"Animal or vegetable fats, oils or waxes","20652734","0.23156565603542006","15","Agriculture"
"Preparations of meat or fish","77312558","0.8668553622511412","16","Agriculture"
"Sugar and candy","219593399","2.4621577705151654","17","Agriculture"
"Cocoa","5494722","0.06160873929147857","18","Agriculture"
"Preparations of cereals, flour, starch or milk","155728353","1.746080602488778","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","61816392","0.693106944931489","20","Agriculture"
"Miscellaneous edible preparations","55328307","0.6203602732589363","21","Agriculture"
"Beverages","144807861","1.623636237776118","22","Agriculture"
"Food residues and animal feed","22369347","0.25081291964245295","23","Agriculture"
"Tobacco","52923","0.0005933911323489924","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","6214576","0.06967999338111733","25","Minerals"
"Ores, slag and ash","2061662","0.023116073327303602","26","Minerals"
"Mineral fuels, oils and waxes","160358675","1.7979973875296953","27","Minerals"
"Inorganic chemicals","4237470","0.04751199141384436","28","Chemicals"
"Organic chemicals","6860829","0.07692600739116841","29","Chemicals"
"Pharmaceutical products","149701586","1.6785063891121075","30","Chemicals"
"Fertilisers","15522249","0.1740408690118288","31","Chemicals"
"Dyes, paints, inks, etc.","50755691","0.5690905080143901","32","Chemicals"
"Essential oils","11572055","0.12974991629451882","33","Chemicals"
"Soaps, waxes, and paints","51656411","0.579189694771176","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2270003","0.025452065276072973","35","Chemicals"
"Explosives","2308708","0.025886039234041484","36","Chemicals"
"Photographic or cinematographic goods","131390","0.0014731905009038437","37","Chemicals"
"Miscellaneous chemical products","16841555","0.18883338797815383","38","Chemicals"
"Plastics","356312705","3.9951023088313686","39","Chemicals"
"Rubber","5276213","0.05915874018072435","40","Chemicals"
"Leather and skins","2067036","0.02317632848943053","41","Agriculture"
"Articles of leather","6634752","0.07439115322515243","42","Agriculture"
"Wood","8009370","0.0898038496249655","44","Agriculture"
"Manufactues of plaiting materials","143500","0.0016089720441411185","46","Agriculture"
"Pulp of wood","8273956","0.09277048012859702","47","Agriculture"
"Paper and paperboard","299059181","3.3531558311689116","48","Agriculture"
"Products of the printing industry","20284609","0.22743811015563295","49","Agriculture"
"Silk","7018","0.0000786882634549294","50","Textiles"
"Wool","23342","0.00026171864428112886","51","Textiles"
"Cotton","89237003","1.0005563981180288","52","Textiles"
"Other vegetable textile fibres","1096343","0.012292580054284364","53","Textiles"
"Man-made filaments","54359452","0.6094971331207736","54","Textiles"
"Man-made staple fibres","43509747","0.4878464569383477","55","Textiles"
"Wadding, felt and nonwovens","1367239","0.015329960478463129","56","Textiles"
"Carpets","98274","0.001101882360041284","57","Textiles"
"Special woven fabrics","39852541","0.4468405878535731","58","Textiles"
"Impregnated, coated or laminated textile fabrics","3761626","0.042176662540169885","59","Textiles"
"Knitted fabrics","151232097","1.6956670121939923","60","Textiles"
"Apparel, knit","2064674574","23.14985135759563","61","Textiles"
"Apparel, not knit","276568893","3.100986878857535","62","Textiles"
"Other made up textile articles","66022874","0.7402714880825889","63","Textiles"
"Footwear","34328319","0.38490108427427455","64","Textiles"
"Headgear","967310","0.010845817059359898","65","Textiles"
"Umbrellas and walking-sticks","86535","0.000970260598186423","66","Textiles"
"Feathers and down","21770","0.00024409283206238433","67","Textiles"
"Articles of stone, plaster, cement, etc.","41673969","0.46726307379375337","68","Stone"
"Ceramic products","564822","0.00633298123983188","69","Stone"
"Glass and glassware","2657016","0.029791389998854764","70","Stone"
"Precious metals and stones","11271345","0.12637825090501587","71","Stone"
"Iron and steel","143064880","1.604093326957518","72","Metals"
"Articles of iron or steel","62762495","0.703714981711127","73","Metals"
"Copper","3523079","0.03950199038537037","74","Metals"
"Nickel","27041","0.00030319312226912884","75","Metals"
"Aluminium","64657770","0.7249654659686849","76","Metals"
"Lead","2741177","0.03073503248113323","78","Metals"
"Zinc","1312957","0.014721331764176938","79","Metals"
"Tin","10709","0.00012007304265301212","80","Metals"
"Other base metals","603524","0.006766921560754177","81","Metals"
"Metal tools and tableware","14700863","0.16483120272995497","82","Metals"
"Miscellaneous articles of base metal","4074432","0.045683952500027776","83","Metals"
"Industrial Machinery","44344295","0.497203700154333","84","Machinery"
