"Name","Gross Import","Share","Code","Sector"
"Live animals","7560047","0.06309750916539372","01","Agriculture"
"Meat","152744481","1.2748328535339537","02","Agriculture"
"Fish","26322837","0.21969512211586317","03","Agriculture"
"Diary products","168585750","1.4070469278537256","04","Agriculture"
"Animal products","1515499","0.012648626661004227","05","Agriculture"
"Plants","7340360","0.061263962033210835","06","Agriculture"
"Vegetables","95631579","0.7981583226206892","07","Agriculture"
"Fruits and nuts","88757054","0.740782303107156","08","Agriculture"
"Coffee, tea and spices","8556593","0.0714148609449179","09","Agriculture"
"Cereals","231843150","1.9350045419107516","10","Agriculture"
"Flours, starches and malts","31703220","0.2646007643236204","11","Agriculture"
"Oil seeds and oleaginous fruits","15430304","0.1287840866683516","12","Agriculture"
"Lac and other vegetable extracts","2032637","0.016964753226721793","13","Agriculture"
"Other vegetable materials","194476","0.0016231316012253773","14","Agriculture"
"Animal or vegetable fats, oils or waxes","146779604","1.2250489194951912","15","Agriculture"
"Preparations of meat or fish","60870013","0.5080320536585468","16","Agriculture"
"Sugar and candy","24760814","0.20665819780057043","17","Agriculture"
"Cocoa","23038278","0.1922816031778491","18","Agriculture"
"Preparations of cereals, flour, starch or milk","128678577","1.0739744993182345","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","72481403","0.6049427986509999","20","Agriculture"
"Miscellaneous edible preparations","225672499","1.8835031811349594","21","Agriculture"
"Beverages","101090772","0.843721727233538","22","Agriculture"
"Food residues and animal feed","145429964","1.213784581817134","23","Agriculture"
"Tobacco","9979181","0.08328803572393437","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","37562007","0.3134992521809829","25","Minerals"
"Ores, slag and ash","318532","0.0026585252432254976","26","Minerals"
"Mineral fuels, oils and waxes","1104485434","9.218233669031273","27","Minerals"
"Inorganic chemicals","48144619","0.4018236313368011","28","Chemicals"
"Organic chemicals","83901029","0.7002530468809869","29","Chemicals"
"Pharmaceutical products","172800862","1.4422270091486118","30","Chemicals"
"Fertilisers","47090195","0.3930232193811332","31","Chemicals"
"Dyes, paints, inks, etc.","89565964","0.7475336111531218","32","Chemicals"
"Essential oils","123012731","1.0266863316765904","33","Chemicals"
"Soaps, waxes, and paints","123449536","1.0303319846058634","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","17011348","0.14197976366359918","35","Chemicals"
"Explosives","4819198","0.04022189147433172","36","Chemicals"
"Photographic or cinematographic goods","7088863","0.059164922931659085","37","Chemicals"
"Miscellaneous chemical products","98750658","0.8241907157777802","38","Chemicals"
"Plastics","561227002","4.684101289656194","39","Chemicals"
"Rubber","67358675","0.5621875913180535","40","Chemicals"
"Leather and skins","6834021","0.057037965859735154","41","Agriculture"
"Articles of leather","15773168","0.13164569115076863","42","Agriculture"
"Furskins","91233","0.000761446992814511","43","Agriculture"
"Wood","43891859","0.36632933307672144","44","Agriculture"
"Cork","142413","0.0011886044587779965","45","Agriculture"
"Manufactues of plaiting materials","393283","0.0032824105057936205","46","Agriculture"
"Pulp of wood","59978985","0.5005953740457583","47","Agriculture"
"Paper and paperboard","289677822","2.4177030947897933","48","Agriculture"
"Products of the printing industry","31063916","0.25926501839512645","49","Agriculture"
"Silk","78147","0.0006522288880939528","50","Textiles"
"Wool","4335754","0.036186981080129854","51","Textiles"
"Cotton","191755753","1.6004279315240333","52","Textiles"
"Other vegetable textile fibres","2751826","0.022967233703251943","53","Textiles"
"Man-made filaments","135877520","1.134058169687433","54","Textiles"
"Man-made staple fibres","146673183","1.2241607107283818","55","Textiles"
"Wadding, felt and nonwovens","22779603","0.19012265519996507","56","Textiles"
"Carpets","1868398","0.015593985054537796","57","Textiles"
"Special woven fabrics","38850191","0.3242506670527044","58","Textiles"
"Impregnated, coated or laminated textile fabrics","28358579","0.23668579022988112","59","Textiles"
"Knitted fabrics","226430476","1.889829393221294","60","Textiles"
"Apparel, knit","470843803","3.929746888512907","61","Textiles"
"Apparel, not knit","98721373","0.8239462979116072","62","Textiles"
"Other made up textile articles","46377057","0.3870712416366574","63","Textiles"
"Footwear","81119971","0.6770418376590746","64","Textiles"
"Headgear","4916063","0.04103034414999708","65","Textiles"
"Umbrellas and walking-sticks","2268269","0.01893138019076845","66","Textiles"
"Feathers and down","3313207","0.027652620287856235","67","Textiles"
"Articles of stone, plaster, cement, etc.","25562182","0.21334655896087187","68","Stone"
"Ceramic products","51894609","0.4331217209379814","69","Stone"
"Glass and glassware","36018498","0.30061684903264696","70","Stone"
"Precious metals and stones","12815180","0.1069577923928476","71","Stone"
"Iron and steel","371059905","3.0969325662456364","72","Metals"
"Articles of iron or steel","153432185","1.2805725545494473","73","Metals"
"Copper","11086216","0.09252754852840658","74","Metals"
"Nickel","1785245","0.014899975191949643","75","Metals"
"Aluminium","83201791","0.6944170810313313","76","Metals"
"Lead","2132890","0.017801482758477115","78","Metals"
"Zinc","2576071","0.021500350928136423","79","Metals"
"Tin","794189","0.006628443937789656","80","Metals"
"Other base metals","73577598","0.6140918388698714","81","Metals"
"Metal tools and tableware","26768209","0.22341227676477074","82","Metals"
"Miscellaneous articles of base metal","35815936","0.2989262302241183","83","Metals"
"Industrial Machinery","536967940","4.481630804103808","84","Machinery"
"Electrical machinery and equipment","698797646","5.832290576135381","85","Electronics"
"Trains","2720741","0.02270779271400859","86","Vehicles"
"Vehicles","305029390","2.5458300366703353","87","Vehicles"
"Aircraft","282135557","2.3547539973879745","88","Vehicles"
"Ships","12902131","0.10768350104511394","89","Vehicles"
"Apparatuses (optical, medical, etc.)","101786258","0.8495263782177717","90","Machinery"
"Clocks","3583855","0.029911497072695727","91","Machinery"
"Musical instruments","2804293","0.023405132702210642","92","Machinery"
"Arms and ammunition","4914968","0.041021205083462686","93","Machinery"
"Furniture","79000335","0.6593509751634711","94","Textiles"
"Toys","43109658","0.3598009431385795","95","Machinery"
"Miscellaneous manufactured articles","30655266","0.2558543521492105","96","Machinery"
