"Name","Gross Export","Share","Code","Sector"
"Live animals","24439046","0.10125708060674628","01","Agriculture"
"Meat","65162782","0.26998570523308624","02","Agriculture"
"Fish","126650144","0.524743226059807","03","Agriculture"
"Diary products","192986761","0.7995924233135727","04","Agriculture"
"Animal products","6112569","0.025325902326436903","05","Agriculture"
"Plants","3043543","0.012610159941640046","06","Agriculture"
"Vegetables","35459454","0.1469173875260602","07","Agriculture"
"Fruits and nuts","24366140","0.1009550128124995","08","Agriculture"
"Coffee, tea and spices","24476397","0.1014118351424897","09","Agriculture"
"Cereals","103200069","0.42758369968102594","10","Agriculture"
"Flours, starches and malts","11592603","0.04803105392956045","11","Agriculture"
"Oil seeds and oleaginous fruits","28200832","0.11684310095415792","12","Agriculture"
"Lac and other vegetable extracts","1134255","0.004699502180388096","13","Agriculture"
"Other vegetable materials","577598","0.002393132990718845","14","Agriculture"
"Animal or vegetable fats, oils or waxes","121651021","0.5040306090217263","15","Agriculture"
"Preparations of meat or fish","86580178","0.3587233340733693","16","Agriculture"
"Sugar and candy","10238283","0.04241976740850195","17","Agriculture"
"Cocoa","147824302","0.6124730590240718","18","Agriculture"
"Preparations of cereals, flour, starch or milk","93159709","0.3859839767687342","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","26194337","0.10852969027716042","20","Agriculture"
"Miscellaneous edible preparations","120085422","0.497543940755672","21","Agriculture"
"Beverages","149939453","0.6212366586875955","22","Agriculture"
"Food residues and animal feed","22699515","0.09404976855843906","23","Agriculture"
"Tobacco","4550047","0.01885198284104396","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","29899401","0.12388069719048896","25","Minerals"
"Ores, slag and ash","39216534","0.1624839097383427","26","Minerals"
"Mineral fuels, oils and waxes","1833623020","7.597158822751328","27","Minerals"
"Inorganic chemicals","97262432","0.4029825843869756","28","Chemicals"
"Organic chemicals","84292457","0.3492447337342748","29","Chemicals"
"Pharmaceutical products","103887757","0.4304329630789626","30","Chemicals"
"Fertilisers","147999821","0.6132002781442868","31","Chemicals"
"Dyes, paints, inks, etc.","183702329","0.7611246991883408","32","Chemicals"
"Essential oils","70069687","0.2903162400303384","33","Chemicals"
"Soaps, waxes, and paints","49331330","0.20439203961758576","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","10012976","0.04148626415063075","35","Chemicals"
"Explosives","4289284","0.01777157650643266","36","Chemicals"
"Photographic or cinematographic goods","2524325","0.010458909893725998","37","Chemicals"
"Miscellaneous chemical products","77847362","0.3225410930138826","38","Chemicals"
"Plastics","386560196","1.601615583756078","39","Chemicals"
"Rubber","96556812","0.4000590242276415","40","Chemicals"
"Leather and skins","5985305","0.024798615741423027","41","Agriculture"
"Articles of leather","22472662","0.09310985983586118","42","Agriculture"
"Furskins","8487164","0.03516444337764555","43","Agriculture"
"Wood","1570528793","6.507093631560615","44","Agriculture"
"Cork","183045","0.0007584012207212127","45","Agriculture"
"Manufactues of plaiting materials","354416","0.0014684341393817332","46","Agriculture"
"Pulp of wood","125749567","0.5210119102841593","47","Agriculture"
"Paper and paperboard","168752143","0.6991823390451564","48","Agriculture"
"Products of the printing industry","65335150","0.27069986897213005","49","Agriculture"
"Silk","36408","0.00015084745086737093","50","Textiles"
"Wool","20542918","0.08511444774987448","51","Textiles"
"Cotton","10315575","0.042740007497835096","52","Textiles"
"Other vegetable textile fibres","4499103","0.01864090910623328","53","Textiles"
"Man-made filaments","38679450","0.16025863638354018","54","Textiles"
"Man-made staple fibres","4272644","0.017702632824208066","55","Textiles"
"Wadding, felt and nonwovens","37015951","0.15336634392939766","56","Textiles"
"Carpets","16403657","0.06796445405824833","57","Textiles"
"Special woven fabrics","5749092","0.023819926197593808","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11921595","0.04939415007754326","59","Textiles"
"Knitted fabrics","9317263","0.03860375117037115","60","Textiles"
"Apparel, knit","68076754","0.28205902011165396","61","Textiles"
"Apparel, not knit","151835566","0.629092729128336","62","Textiles"
"Other made up textile articles","67710717","0.28054243726246864","63","Textiles"
"Footwear","61394421","0.25437244301604556","64","Textiles"
"Headgear","5011320","0.02076315225996136","65","Textiles"
"Umbrellas and walking-sticks","198883","0.0008240220163385887","66","Textiles"
"Feathers and down","944671","0.003914008247042688","67","Textiles"
"Articles of stone, plaster, cement, etc.","92682546","0.38400697110519244","68","Stone"
"Ceramic products","23014541","0.09535500007505476","69","Stone"
"Glass and glassware","126954360","0.5260036690424775","70","Stone"
"Precious metals and stones","129407231","0.5361665271411509","71","Stone"
"Iron and steel","329107215","1.3635735125469617","72","Metals"
"Articles of iron or steel","450348142","1.8659049995483628","73","Metals"
"Copper","61359583","0.2542281004678881","74","Metals"
"Nickel","3990379","0.01653313832522217","75","Metals"
"Aluminium","93733260","0.388360342026162","76","Metals"
"Lead","27050150","0.11207553760382372","78","Metals"
"Zinc","4135543","0.017134589087629087","79","Metals"
"Tin","198414","0.0008220788320258881","80","Metals"
"Other base metals","69031704","0.28601561682682086","81","Metals"
"Metal tools and tableware","33654300","0.13943818297422989","82","Metals"
"Miscellaneous articles of base metal","64348517","0.26661200166297744","83","Metals"
"Industrial Machinery","1324375351","5.487218350085961","84","Machinery"
"Electrical machinery and equipment","2896440770","12.000678607526506","85","Electronics"
"Trains","35701777","0.14792139232820625","86","Vehicles"
"Vehicles","951328616","3.9415924154247417","87","Vehicles"
"Aircraft","4905942","0.020326544847373423","88","Vehicles"
"Ships","81933965","0.339472911439969","89","Vehicles"
"Apparatuses (optical, medical, etc.)","457907339","1.8972246435291988","90","Machinery"
"Clocks","27875699","0.11549599360844104","91","Machinery"
"Musical instruments","2677657","0.011094202723224892","92","Machinery"
"Arms and ammunition","4874697","0.020197088996946288","93","Machinery"
"Furniture","1074051367","4.450063469912247","94","Textiles"
"Toys","100751150","0.4174372157068809","95","Machinery"
"Miscellaneous manufactured articles","22650947","0.09384853918594603","96","Machinery"
"Art","6894993","0.028567680669038854","97","Textiles"
"Other","751184896","3.112346920777608","99","Other"
"Unspecified","2399022848","9.939751735700405","unspecified","Services"
"Travel and tourism","1779129856","7.371380013723158","travel","Services"
"Transport","2321456384","9.618374473362575","transport","Services"
"ICT","1149221760","4.761513210758997","ict","Services"
"Insurance and finance","105065216","0.43531147023812666","financial","Services"
