"Name","Gross Import","Share","Code","Sector"
"Live animals","7231568","0.026924834228743557","01","Agriculture"
"Meat","145933514","0.5433449112098548","02","Agriculture"
"Fish","153420639","0.5712212444580358","03","Agriculture"
"Diary products","103621306","0.38580657564388665","04","Agriculture"
"Animal products","7568471","0.02817920360287741","05","Agriculture"
"Plants","48960684","0.1822921806758779","06","Agriculture"
"Vegetables","95593725","0.355917997166465","07","Agriculture"
"Fruits and nuts","248387287","0.9248044859707258","08","Agriculture"
"Coffee, tea and spices","75775719","0.28213088401282455","09","Agriculture"
"Cereals","21894305","0.08151766431271215","10","Agriculture"
"Flours, starches and malts","21510356","0.08008813157827727","11","Agriculture"
"Oil seeds and oleaginous fruits","26468372","0.09854799517956792","12","Agriculture"
"Lac and other vegetable extracts","4552846","0.016951320075950082","13","Agriculture"
"Other vegetable materials","303305","0.001129276091402178","14","Agriculture"
"Animal or vegetable fats, oils or waxes","109467248","0.40757239728323924","15","Agriculture"
"Preparations of meat or fish","82284593","0.3063649579323091","16","Agriculture"
"Sugar and candy","50816869","0.18920319546864212","17","Agriculture"
"Cocoa","307201129","1.1437822991096627","18","Agriculture"
"Preparations of cereals, flour, starch or milk","109884073","0.4091243351240223","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","87570954","0.32604732745414655","20","Agriculture"
"Miscellaneous edible preparations","149275677","0.5557885727698983","21","Agriculture"
"Beverages","258665496","0.9630726836138069","22","Agriculture"
"Food residues and animal feed","88624757","0.3299708847082238","23","Agriculture"
"Tobacco","42568610","0.15849298071981557","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","44794121","0.1667790833671592","25","Minerals"
"Ores, slag and ash","27299459","0.10164232820729631","26","Minerals"
"Mineral fuels, oils and waxes","2832190909","10.544915117852662","27","Minerals"
"Inorganic chemicals","154623993","0.5757016153773848","28","Chemicals"
"Organic chemicals","167487064","0.6235938642434066","29","Chemicals"
"Pharmaceutical products","513388429","1.9114662747802527","30","Chemicals"
"Fertilisers","435279955","1.6206499933997656","31","Chemicals"
"Dyes, paints, inks, etc.","184583213","0.6872468614599023","32","Chemicals"
"Essential oils","170094489","0.6333019228399491","33","Chemicals"
"Soaps, waxes, and paints","90944276","0.3386070013243464","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","27731089","0.10324938855688476","35","Chemicals"
"Explosives","7973624","0.029687683833206177","36","Chemicals"
"Photographic or cinematographic goods","9481783","0.03530291569793975","37","Chemicals"
"Miscellaneous chemical products","185175878","0.6894534931168512","38","Chemicals"
"Plastics","836079723","3.1129221136811314","39","Chemicals"
"Rubber","205614027","0.7655495450059243","40","Chemicals"
