"Name","Gross Export","Share","Code","Sector"
"Live animals","886098","0.04681759881981724","01","Agriculture"
"Meat","1827796","0.0965728619774186","02","Agriculture"
"Fish","5806","0.0003067640134024215","03","Agriculture"
"Diary products","1286520","0.06797417129219485","04","Agriculture"
"Animal products","1442","0.0000761890643000847","05","Agriculture"
"Plants","49828","0.002632696737825673","06","Agriculture"
"Vegetables","610069","0.032233416274957266","07","Agriculture"
"Fruits and nuts","19130368","1.0107661842137883","08","Agriculture"
"Coffee, tea and spices","491115","0.025948399662785084","09","Agriculture"
"Cereals","308171","0.016282427277684745","10","Agriculture"
"Flours, starches and malts","122297","0.006461646322265921","11","Agriculture"
"Oil seeds and oleaginous fruits","105707","0.005585102232988247","12","Agriculture"
"Lac and other vegetable extracts","3724787","0.1968016894917612","13","Agriculture"
"Other vegetable materials","451309","0.023845222205413956","14","Agriculture"
"Animal or vegetable fats, oils or waxes","221409","0.01169829718281377","15","Agriculture"
"Preparations of meat or fish","15992","0.0008449483469396356","16","Agriculture"
"Sugar and candy","329664962","17.418075580653937","17","Agriculture"
"Cocoa","4642470","0.24528810356533579","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1562227","0.08254134074502664","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","37545336","1.9837337161388937","20","Agriculture"
"Miscellaneous edible preparations","23268267","1.2293949310780437","21","Agriculture"
"Beverages","31680014","1.6738353839622633","22","Agriculture"
"Food residues and animal feed","17451789","0.9220773053207426","23","Agriculture"
"Tobacco","3503901","0.1851310253745708","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","112541","0.005946181335225958","25","Minerals"
"Ores, slag and ash","511557","0.02702846682812651","26","Minerals"
"Mineral fuels, oils and waxes","52036439","2.7493811351722854","27","Minerals"
"Inorganic chemicals","6382701","0.337234408389192","28","Chemicals"
"Organic chemicals","14583704","0.7705400567194192","29","Chemicals"
"Pharmaceutical products","33442471","1.7669560148215797","30","Chemicals"
"Fertilisers","1186198","0.06267358924731753","31","Chemicals"
"Dyes, paints, inks, etc.","14173859","0.7488856135446146","32","Chemicals"
"Essential oils","599640104","31.682398363776336","33","Chemicals"
"Soaps, waxes, and paints","2112277","0.11160361177017337","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1434535","0.07579464587775452","35","Chemicals"
"Miscellaneous chemical products","195960307","10.353697940559874","38","Chemicals"
"Plastics","9413965","0.4973933319720852","39","Chemicals"
"Rubber","1156433","0.061100934948501974","40","Chemicals"
"Leather and skins","142981","0.0075544997244732385","41","Agriculture"
"Articles of leather","173715","0.009178351806441895","42","Agriculture"
"Wood","101480423","5.361788122847985","44","Agriculture"
"Cork","1751","0.00009251529236438856","45","Agriculture"
"Manufactues of plaiting materials","295447","0.015610145964124219","46","Agriculture"
"Pulp of wood","711071","0.037569926588713956","47","Agriculture"
"Paper and paperboard","2190997","0.11576283724985623","48","Agriculture"
"Products of the printing industry","12710621","0.6715744248703238","49","Agriculture"
"Silk","1136","0.000060021343304366306","50","Textiles"
"Wool","9919","0.0005240772044331068","51","Textiles"
"Cotton","1014666","0.05361057775111632","52","Textiles"
"Other vegetable textile fibres","3662","0.00019348429505333575","53","Textiles"
"Man-made filaments","1611980","0.08517007480613768","54","Textiles"
"Man-made staple fibres","127618","0.006742785026247025","55","Textiles"
"Wadding, felt and nonwovens","45919","0.0024261620274587995","56","Textiles"
"Carpets","135437","0.007155907282670298","57","Textiles"
"Special woven fabrics","156468","0.008267094669144003","58","Textiles"
"Impregnated, coated or laminated textile fabrics","691057","0.03651247309849073","59","Textiles"
"Knitted fabrics","15138339","0.799844579381054","60","Textiles"
"Apparel, knit","45748745","2.4171664871381267","61","Textiles"
"Apparel, not knit","150281042","7.940202477130187","62","Textiles"
"Other made up textile articles","18804841","0.993566740708647","63","Textiles"
"Footwear","216384","0.011432797842933098","64","Textiles"
"Headgear","9916","0.0005239186973645214","65","Textiles"
"Feathers and down","3962","0.00020933500191188322","67","Textiles"
"Articles of stone, plaster, cement, etc.","1318024","0.06963870685510044","68","Stone"
"Ceramic products","206874","0.010930330435517145","69","Stone"
"Glass and glassware","1178630","0.0622737287489659","70","Stone"
"Precious metals and stones","8184863","0.4324528803012373","71","Stone"
"Iron and steel","4944746","0.2612590644532501","72","Metals"
"Articles of iron or steel","3634136","0.19201208140031387","73","Metals"
"Copper","1975924","0.10439930699589499","74","Metals"
"Nickel","66045","0.0034895331149092193","75","Metals"
"Aluminium","1865324","0.09855567973404383","76","Metals"
"Lead","1005","0.000053099867976133934","78","Metals"
"Zinc","94018","0.004967505858089711","79","Metals"
"Tin","6230","0.00032916634576250184","80","Metals"
"Other base metals","146871","0.00776003055673907","81","Metals"
"Metal tools and tableware","793511","0.0419257008334428","82","Metals"
"Miscellaneous articles of base metal","396686","0.020959178336299168","83","Metals"
"Industrial Machinery","44840459","2.369176570039051","84","Machinery"
"Electrical machinery and equipment","9968708","0.5267035608881891","85","Electronics"
"Trains","57423","0.0030339837997945653","86","Vehicles"
"Vehicles","10631595","0.5617276526126622","87","Vehicles"
"Aircraft","496948","0.02625659023980478","88","Vehicles"
"Ships","286317","0.015127756118729093","89","Vehicles"
"Apparatuses (optical, medical, etc.)","8528385","0.45060310203944376","90","Machinery"
"Clocks","1625027","0.08585942204741591","91","Machinery"
"Musical instruments","37429","0.0019775870233619073","92","Machinery"
"Furniture","699857","0.036977427166341455","94","Textiles"
"Toys","410809","0.021705376779510052","95","Machinery"
"Miscellaneous manufactured articles","10532462","0.5564898922026342","96","Machinery"
"Art","14457","0.0007638455635134012","97","Textiles"
"Other","17304442","0.9142921249757879","99","Other"
