"Name","Gross Import","Share","Code","Sector"
"Live animals","3231183","0.18703478015588096","01","Agriculture"
"Meat","14667379","0.8490110299317573","02","Agriculture"
"Fish","6994711","0.4048839803065696","03","Agriculture"
"Diary products","27678779","1.602166867443972","04","Agriculture"
"Animal products","854734","0.049475682987239276","05","Agriculture"
"Plants","2669758","0.15453708459081533","06","Agriculture"
"Vegetables","16287792","0.9428075091830814","07","Agriculture"
"Fruits and nuts","9426595","0.545651893886396","08","Agriculture"
"Coffee, tea and spices","12135797","0.7024721669776672","09","Agriculture"
"Cereals","47878303","2.7714022622184062","10","Agriculture"
"Flours, starches and malts","4179528","0.2419290707568556","11","Agriculture"
"Oil seeds and oleaginous fruits","3306241","0.19137946027116384","12","Agriculture"
"Lac and other vegetable extracts","9664825","0.5594416717097306","13","Agriculture"
"Other vegetable materials","69262","0.004009182687318121","14","Agriculture"
"Animal or vegetable fats, oils or waxes","12861567","0.7444828585397775","15","Agriculture"
"Preparations of meat or fish","8633302","0.4997326804422181","16","Agriculture"
"Sugar and candy","16296686","0.9433223321858969","17","Agriculture"
"Cocoa","3435080","0.19883721615825029","18","Agriculture"
"Preparations of cereals, flour, starch or milk","22616840","1.3091600498086104","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","20492122","1.1861722264562211","20","Agriculture"
"Miscellaneous edible preparations","18016112","1.0428501100630105","21","Agriculture"
"Beverages","42623013","2.4672034564542638","22","Agriculture"
"Food residues and animal feed","23533248","1.3622056893818226","23","Agriculture"
"Tobacco","5389778","0.3119835500864556","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","33213072","1.9225155677723749","25","Minerals"
"Ores, slag and ash","990337","0.05732496830889327","26","Minerals"
"Mineral fuels, oils and waxes","234623259","13.581004129608667","27","Minerals"
"Inorganic chemicals","8329646","0.4821557641230204","28","Chemicals"
"Organic chemicals","26905991","1.5574345716603215","29","Chemicals"
"Pharmaceutical products","38342033","2.219401907253329","30","Chemicals"
"Fertilisers","21752491","1.2591278092351252","31","Chemicals"
"Dyes, paints, inks, etc.","12767060","0.7390123865893519","32","Chemicals"
"Essential oils","55282921","3.2000134240647884","33","Chemicals"
"Soaps, waxes, and paints","25507026","1.4764564558368685","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2290482","0.13258295717729468","35","Chemicals"
"Explosives","1960498","0.11348206289338746","36","Chemicals"
"Photographic or cinematographic goods","1478489","0.08558130724192603","37","Chemicals"
"Miscellaneous chemical products","24320527","1.4077767866196893","38","Chemicals"
"Plastics","70979992","4.1086274591028085","39","Chemicals"
"Rubber","19319196","1.1182782209018725","40","Chemicals"
"Leather and skins","21126","0.0012228638135237595","41","Agriculture"
"Articles of leather","3969199","0.22975432290896014","42","Agriculture"
"Furskins","52792","0.0030558281948095387","43","Agriculture"
"Wood","19835877","1.148185941153471","44","Agriculture"
"Cork","3419","0.00019790643654443496","45","Agriculture"
"Manufactues of plaiting materials","60689","0.0035129405461963186","46","Agriculture"
"Pulp of wood","40259","0.002330364208494416","47","Agriculture"
"Paper and paperboard","43388333","2.51150347225309","48","Agriculture"
"Products of the printing industry","10743564","0.621883728291043","49","Agriculture"
"Silk","315535","0.01826452397047332","50","Textiles"
"Wool","148822","0.008614457940747559","51","Textiles"
"Cotton","30888228","1.7879435901292893","52","Textiles"
"Other vegetable textile fibres","92950","0.005380346088565437","53","Textiles"
"Man-made filaments","10051681","0.5818345621501617","54","Textiles"
"Man-made staple fibres","7234125","0.41874229314624467","55","Textiles"
"Wadding, felt and nonwovens","1390458","0.08048569404641766","56","Textiles"
"Carpets","1175776","0.0680589758217226","57","Textiles"
"Special woven fabrics","3495498","0.20233447005797","58","Textiles"
