"Name","Gross Export","Share","Code","Sector"
"Live animals","12744078","0.523034394294037","01","Agriculture"
"Meat","88163067","3.6183328717424366","02","Agriculture"
"Fish","422201","0.017327706586960367","03","Agriculture"
"Diary products","506777","0.02079882132211912","04","Agriculture"
"Animal products","2131983","0.08749949875151297","05","Agriculture"
"Plants","197634833","8.111203899533427","06","Agriculture"
"Vegetables","236729251","9.715692293194223","07","Agriculture"
"Fruits and nuts","8888215","0.3647845021727091","08","Agriculture"
"Coffee, tea and spices","693461753","28.460618959365764","09","Agriculture"
"Cereals","4619664","0.18959732999766385","10","Agriculture"
"Flours, starches and malts","1353071","0.05553188476418827","11","Agriculture"
"Oil seeds and oleaginous fruits","419118385","17.201191850518335","12","Agriculture"
"Lac and other vegetable extracts","6436071","0.26414515801915345","13","Agriculture"
"Other vegetable materials","7115","0.0002920093329154195","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3132823","0.12857534144372218","15","Agriculture"
"Preparations of meat or fish","77721","0.003189776157908548","16","Agriculture"
"Sugar and candy","3451985","0.14167418651918964","17","Agriculture"
"Cocoa","8022","0.0003292338536398447","18","Agriculture"
"Preparations of cereals, flour, starch or milk","6343358","0.2603400896730414","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4803932","0.1971599407858098","20","Agriculture"
"Miscellaneous edible preparations","244768","0.010045613548705748","21","Agriculture"
"Beverages","2795154","0.11471694377173106","22","Agriculture"
"Food residues and animal feed","920614","0.03778325790760309","23","Agriculture"
"Tobacco","4163","0.00017085521474727918","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","19023922","0.780767782523538","25","Minerals"
"Ores, slag and ash","15487954","0.6356468188003799","26","Minerals"
"Mineral fuels, oils and waxes","2196","0.00009012684400312876","27","Minerals"
"Inorganic chemicals","157705","0.006472428931472414","28","Chemicals"
"Organic chemicals","8975","0.00036834627728965426","29","Chemicals"
"Pharmaceutical products","1760919","0.07227052459706079","30","Chemicals"
"Fertilisers","40570","0.0016650482974530664","31","Chemicals"
"Dyes, paints, inks, etc.","2115","0.00008680249319973467","32","Chemicals"
"Essential oils","501602","0.020586432243013385","33","Chemicals"
"Soaps, waxes, and paints","306212","0.012567359360603856","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","9821","0.0004030672745695481","35","Chemicals"
"Explosives","18794","0.000771331469123316","36","Chemicals"
"Miscellaneous chemical products","354552","0.014551299086975096","38","Chemicals"
"Plastics","6181152","0.2536829335444569","39","Chemicals"
"Rubber","869194","0.03567291076796699","40","Chemicals"
"Leather and skins","70390608","2.8889268426691204","41","Agriculture"
"Articles of leather","10187156","0.41809481769013535","42","Agriculture"
"Furskins","4734","0.00019428983584281038","43","Agriculture"
"Wood","715461","0.029363498149964716","44","Agriculture"
"Manufactues of plaiting materials","138903","0.005700769131405554","46","Agriculture"
"Pulp of wood","12125","0.0004976265863105357","47","Agriculture"
"Paper and paperboard","252764","0.01037378032677907","48","Agriculture"
"Products of the printing industry","344833","0.014152418031935747","49","Agriculture"
"Silk","1203","0.000049372765635593764","50","Textiles"
"Cotton","15839806","0.6500873061939085","52","Textiles"
"Other vegetable textile fibres","43248","0.0017749570808047875","53","Textiles"
"Man-made filaments","1888654","0.0775129437312774","54","Textiles"
"Man-made staple fibres","892083","0.036612306638817455","55","Textiles"
"Wadding, felt and nonwovens","20367","0.0008358895408978705","56","Textiles"
"Carpets","141060","0.0057892953620589","57","Textiles"
"Special woven fabrics","828726","0.03401204869004412","58","Textiles"
"Impregnated, coated or laminated textile fabrics","85327","0.0035019368024840473","59","Textiles"
"Knitted fabrics","954616","0.039178746500405634","60","Textiles"
"Apparel, knit","87832346","3.6047596294949145","61","Textiles"
"Apparel, not knit","59864184","2.4569080021596528","62","Textiles"
"Other made up textile articles","10223378","0.4195814181197717","63","Textiles"
"Footwear","46048483","1.8898927340262872","64","Textiles"
"Headgear","792746","0.03253538027145005","65","Textiles"
"Umbrellas and walking-sticks","1362","0.000055898343138552544","66","Textiles"
"Feathers and down","200302","0.00822066808174622","67","Textiles"
"Articles of stone, plaster, cement, etc.","403121","0.016544637286605313","68","Stone"
"Ceramic products","184067","0.00755436147318939","69","Stone"
"Glass and glassware","272408","0.011179996958654053","70","Stone"
"Precious metals and stones","72351036","2.969385489543148","71","Stone"
"Iron and steel","1165084","0.04781664112866178","72","Metals"
"Articles of iron or steel","2395952","0.09833314760609489","73","Metals"
"Copper","394338","0.016184170951960744","74","Metals"
"Nickel","47416","0.001946017502391782","75","Metals"
"Aluminium","68599","0.0028153967995312524","76","Metals"
"Lead","50874","0.0020879385527391497","78","Metals"
"Zinc","119738","0.004914211314775334","79","Metals"
"Other base metals","361821","0.01484962879055376","81","Metals"
"Metal tools and tableware","641699","0.026336204767743048","82","Metals"
"Miscellaneous articles of base metal","309426","0.012699266317173098","83","Metals"
"Industrial Machinery","118033073","4.844238778452145","84","Machinery"
"Electrical machinery and equipment","41757945","1.7138031852942763","85","Electronics"
"Trains","40514245","1.6627600359833972","86","Vehicles"
"Vehicles","16116521","0.6614440683242936","87","Vehicles"
"Aircraft","5174805","0.21238107603898487","88","Vehicles"
"Ships","18936","0.0007771593433712415","89","Vehicles"
"Apparatuses (optical, medical, etc.)","10123293","0.4154737928091828","90","Machinery"
