"Name","Gross Import","Share","Code","Sector"
"Live animals","10148710","0.09806796090586836","01","Agriculture"
"Meat","3316650","0.032049107969234346","02","Agriculture"
"Fish","1135971","0.010976997038855203","03","Agriculture"
"Diary products","13856812","0.1338997072037695","04","Agriculture"
"Animal products","42514","0.00041081687130207557","05","Agriculture"
"Plants","2891263","0.027938552471455352","06","Agriculture"
"Vegetables","28585243","0.2762219526431189","07","Agriculture"
"Fruits and nuts","4161303","0.040211071153030555","08","Agriculture"
"Coffee, tea and spices","7111294","0.06871711793736703","09","Agriculture"
"Cereals","312995960","3.0245100676809895","10","Agriculture"
"Flours, starches and malts","88177539","0.8520680409064485","11","Agriculture"
"Oil seeds and oleaginous fruits","8120009","0.07846442800782555","12","Agriculture"
"Lac and other vegetable extracts","9516294","0.09195686426755219","13","Agriculture"
"Other vegetable materials","31940","0.00030863929221875834","14","Agriculture"
"Animal or vegetable fats, oils or waxes","164863481","1.5930916746575052","15","Agriculture"
"Preparations of meat or fish","2840552","0.027448527200706903","16","Agriculture"
"Sugar and candy","78278801","0.7564155834806836","17","Agriculture"
"Cocoa","6532270","0.06312195333067717","18","Agriculture"
"Preparations of cereals, flour, starch or milk","48572154","0.46935739612086835","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","21923961","0.21185334394714034","20","Agriculture"
"Miscellaneous edible preparations","21951319","0.2121177069326294","21","Agriculture"
"Beverages","18265614","0.17650238500003268","22","Agriculture"
"Food residues and animal feed","3311791","0.0320021549848608","23","Agriculture"
"Tobacco","14419221","0.13933431946730926","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","5826833","0.05630524774567641","25","Minerals"
"Ores, slag and ash","112115","0.00108337802902649","26","Minerals"
"Mineral fuels, oils and waxes","957782737","9.255146714058398","27","Minerals"
"Inorganic chemicals","26587546","0.2569180143792636","28","Chemicals"
"Organic chemicals","74968506","0.7244278844877189","29","Chemicals"
"Pharmaceutical products","463878705","4.482504545602825","30","Chemicals"
"Fertilisers","183398308","1.772195490771379","31","Chemicals"
"Dyes, paints, inks, etc.","48242918","0.46617595698458353","32","Chemicals"
"Essential oils","79138345","0.7647214398298032","33","Chemicals"
"Soaps, waxes, and paints","53845227","0.520311607721928","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","14958662","0.14454698973762167","35","Chemicals"
"Explosives","10551626","0.10196137696922507","36","Chemicals"
"Photographic or cinematographic goods","5711271","0.05518856102409268","37","Chemicals"
"Miscellaneous chemical products","136466180","1.3186858236379988","38","Chemicals"
"Plastics","338638786","3.2722991618302935","39","Chemicals"
"Rubber","115724804","1.1182599122953831","40","Chemicals"
"Leather and skins","14777831","0.14279960239099646","41","Agriculture"
"Articles of leather","7084770","0.06846081397409808","42","Agriculture"
"Furskins","218688","0.002113203178983589","43","Agriculture"
"Wood","31571814","0.3050814754859827","44","Agriculture"
"Cork","1084356","0.010478236329153536","45","Agriculture"
"Manufactues of plaiting materials","447310","0.004322399555490695","46","Agriculture"
"Pulp of wood","3795982","0.036680939190831145","47","Agriculture"
"Paper and paperboard","102743010","0.9928155881911338","48","Agriculture"
"Products of the printing industry","44262516","0.42771294959491135","49","Agriculture"
"Silk","75413","0.0007287230727643464","50","Textiles"
"Wool","4645684","0.04489169134727647","51","Textiles"
"Cotton","42908606","0.41462998703611675","52","Textiles"
"Other vegetable textile fibres","4113976","0.03975374579977955","53","Textiles"
"Man-made filaments","75008260","0.7248120312135443","54","Textiles"
"Man-made staple fibres","35972209","0.3476029156326002","55","Textiles"
"Wadding, felt and nonwovens","9055422","0.08750341380157087","56","Textiles"
"Carpets","11074948","0.10701828779209623","57","Textiles"
"Special woven fabrics","14482431","0.13994512377730134","58","Textiles"
"Impregnated, coated or laminated textile fabrics","13576724","0.13119318991889262","59","Textiles"
"Knitted fabrics","65690671","0.6347752724738671","60","Textiles"
"Apparel, knit","91969125","0.8887065011264408","61","Textiles"
"Apparel, not knit","440876548","4.260232489999043","62","Textiles"
"Other made up textile articles","48555926","0.46920058339594256","63","Textiles"
"Footwear","41067633","0.3968404878591022","64","Textiles"
"Headgear","2248839","0.02173074756649782","65","Textiles"
"Umbrellas and walking-sticks","4080514","0.03943039927516389","66","Textiles"
"Feathers and down","964513","0.009320181892792464","67","Textiles"
"Articles of stone, plaster, cement, etc.","29136206","0.2815459611077001","68","Stone"
"Ceramic products","38978021","0.37664836610920166","69","Stone"
"Glass and glassware","31579312","0.3051539293811942","70","Stone"
"Precious metals and stones","95809103","0.9258125778971233","71","Stone"
"Iron and steel","485322836","4.689721246106466","72","Metals"
"Articles of iron or steel","229148659","2.214285533081954","73","Metals"
"Copper","32793800","0.3168896437433788","74","Metals"
"Nickel","1483288","0.01433315461730049","75","Metals"
"Aluminium","69957381","0.6760049016067005","76","Metals"
"Lead","915549","0.008847038051083032","78","Metals"
"Zinc","10588261","0.10231538449804267","79","Metals"
"Tin","246320","0.002380213852827945","80","Metals"
"Other base metals","234523","0.0022662183071076977","81","Metals"
"Metal tools and tableware","21158571","0.20445730675642915","82","Metals"
"Miscellaneous articles of base metal","31802807","0.3073135830635496","83","Metals"
"Industrial Machinery","1601964315","15.479935264286414","84","Machinery"
"Electrical machinery and equipment","715369292","6.912682277955989","85","Electronics"
"Trains","16784605","0.1621912525789428","86","Vehicles"
"Vehicles","385814123","3.7281589809242637","87","Vehicles"
"Aircraft","1083976407","10.474568285482553","88","Vehicles"
"Ships","810349","0.00783048033219094","89","Vehicles"
"Apparatuses (optical, medical, etc.)","164134878","1.5860511137862323","90","Machinery"
"Clocks","5556684","0.053694771973803984","91","Machinery"
"Musical instruments","1264432","0.012218328038157453","92","Machinery"
"Arms and ammunition","142737","0.0013792813604705358","93","Machinery"
"Furniture","71586871","0.6917508202127601","94","Textiles"
"Toys","5258040","0.050808946276077654","95","Machinery"
"Miscellaneous manufactured articles","19273189","0.1862386791408378","96","Machinery"
"Art","141778","0.0013700144512270233","97","Textiles"
"Other","698180672","6.74658698957098","99","Other"
