"Name","Gross Export","Share","Code","Sector"
"Live animals","6640652","0.006067425840384658","01","Agriculture"
"Meat","105054794","0.09598638383277533","02","Agriculture"
"Fish","170014057","0.15533831356776867","03","Agriculture"
"Diary products","411635563","0.3761028663702731","04","Agriculture"
"Animal products","10105974","0.009233618594959577","05","Agriculture"
"Plants","10316985","0.00942641496405186","06","Agriculture"
"Vegetables","14508997","0.013256569282031868","07","Agriculture"
"Fruits and nuts","31985350","0.029224350124618402","08","Agriculture"
"Coffee, tea and spices","46107597","0.042127553962448584","09","Agriculture"
"Cereals","93848401","0.08574733524753012","10","Agriculture"
"Flours, starches and malts","52650493","0.04810566217552005","11","Agriculture"
"Oil seeds and oleaginous fruits","5768197","0.005270281823265135","12","Agriculture"
"Lac and other vegetable extracts","3474280","0.003174377493163564","13","Agriculture"
"Other vegetable materials","553908","0.0005060942377940878","14","Agriculture"
"Animal or vegetable fats, oils or waxes","104268689","0.09526813601761266","15","Agriculture"
"Preparations of meat or fish","23274962","0.021265849478751632","16","Agriculture"
"Sugar and candy","65567105","0.05990730234865704","17","Agriculture"
"Cocoa","69345084","0.06335916331186225","18","Agriculture"
"Preparations of cereals, flour, starch or milk","110689717","0.10113489596965251","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16617181","0.015182773226747761","20","Agriculture"
"Miscellaneous edible preparations","104110895","0.09512396291637838","21","Agriculture"
"Beverages","204102921","0.18648460075507473","22","Agriculture"
"Food residues and animal feed","83818313","0.0765830521150106","23","Agriculture"
"Tobacco","2611289","0.002385880536325682","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","163956005","0.14980319724979357","25","Minerals"
"Ores, slag and ash","688460988","0.6290325089596551","26","Minerals"
"Mineral fuels, oils and waxes","6033805159","5.512962482834947","27","Minerals"
"Inorganic chemicals","946174594","0.8645000793824255","28","Chemicals"
"Organic chemicals","1067350658","0.9752161328587565","29","Chemicals"
"Pharmaceutical products","1470064790","1.3431676729763353","30","Chemicals"
"Fertilisers","387649265","0.3541870839590932","31","Chemicals"
"Dyes, paints, inks, etc.","308979540","0.2823081897901238","32","Chemicals"
"Essential oils","69745283","0.06372481682809772","33","Chemicals"
"Soaps, waxes, and paints","128445139","0.11735765636271848","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","358444685","0.32750346564125615","35","Chemicals"
"Explosives","21132928","0.01930871749192526","36","Chemicals"
"Photographic or cinematographic goods","24045867","0.021970209369539726","37","Chemicals"
"Miscellaneous chemical products","600670049","0.5488197509593514","38","Chemicals"
"Plastics","2358025803","2.1544792121942216","39","Chemicals"
"Rubber","531427239","0.4855540332775869","40","Chemicals"
"Leather and skins","35574157","0.03250336855954818","41","Agriculture"
"Articles of leather","36421994","0.033278019621256316","42","Agriculture"
"Furskins","345131781","0.3153397416966555","43","Agriculture"
"Wood","3082233083","2.816172365888571","44","Agriculture"
"Cork","193042","0.00017637846691552806","45","Agriculture"
"Manufactues of plaiting materials","546077","0.000498939215703478","46","Agriculture"
"Pulp of wood","2949527126","2.6949216885944174","47","Agriculture"
"Paper and paperboard","8223264964","7.513426442901","48","Agriculture"
"Products of the printing industry","113302739","0.10352235991209276","49","Agriculture"
"Silk","156702","0.0001431753635094802","50","Textiles"
"Wool","2271225","0.0020751711208971116","51","Textiles"
"Cotton","8672575","0.007923951692947314","52","Textiles"
"Other vegetable textile fibres","1510775","0.0013803637465127118","53","Textiles"
"Man-made filaments","5501420","0.005026533217944407","54","Textiles"
"Man-made staple fibres","6772831","0.006188195048010085","55","Textiles"
"Wadding, felt and nonwovens","59319815","0.05419928319957701","56","Textiles"
"Carpets","15512229","0.01417320152848911","57","Textiles"
"Special woven fabrics","10150873","0.009274641878939439","58","Textiles"
"Impregnated, coated or laminated textile fabrics","94287299","0.0861483472364874","59","Textiles"
"Knitted fabrics","11984182","0.010949698243888206","60","Textiles"
"Apparel, knit","95094736","0.08688608565709469","61","Textiles"
"Apparel, not knit","188058688","0.17182531821875868","62","Textiles"
"Other made up textile articles","55997054","0.05116334547044704","63","Textiles"
"Footwear","127353527","0.11636027314545698","64","Textiles"
"Headgear","9831075","0.008982449086890805","65","Textiles"
"Umbrellas and walking-sticks","776452","0.000709428069505577","66","Textiles"
"Feathers and down","508991","0.000465054507587994","67","Textiles"
"Articles of stone, plaster, cement, etc.","315684631","0.2884344922067435","68","Stone"
"Ceramic products","65737478","0.06006296862099053","69","Stone"
"Glass and glassware","239482334","0.21881003576564914","70","Stone"
"Precious metals and stones","551448286","0.503846848187833","71","Stone"
"Iron and steel","4696289379","4.290902087937844","72","Metals"
"Articles of iron or steel","1580369930","1.443951188926764","73","Metals"
"Copper","1341091179","1.2253271627208482","74","Metals"
"Nickel","1010206198","0.9230044263518011","75","Metals"
"Aluminium","455392838","0.41608297992536036","76","Metals"
"Lead","11667001","0.010659896550398009","78","Metals"
"Zinc","785305039","0.7175169074080198","79","Metals"
"Tin","1839807","0.001680993452618896","80","Metals"
"Other base metals","338579237","0.3093528183063231","81","Metals"
"Metal tools and tableware","150669561","0.13766364925775548","82","Metals"
"Miscellaneous articles of base metal","174793264","0.15970497576424386","83","Metals"
"Industrial Machinery","9131057234","8.34285738984709","84","Machinery"
"Electrical machinery and equipment","5828442818","5.325327176177516","85","Electronics"
"Trains","34525711","0.031545425220152","86","Vehicles"
"Vehicles","6321201345","5.775550410249966","87","Vehicles"
"Aircraft","105617444","0.09650046545444327","88","Vehicles"
"Ships","1387974429","1.2681634147230936","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2501906190","2.2859397341442267","90","Machinery"
"Clocks","29292604","0.02676404401883354","91","Machinery"
"Musical instruments","2503189","0.0022871118110038943","92","Machinery"
"Arms and ammunition","86739189","0.07925179586471459","93","Machinery"
"Furniture","471425130","0.4307313522179293","94","Textiles"
"Toys","128220479","0.11715238918574539","95","Machinery"
"Miscellaneous manufactured articles","18432126","0.01684105078622188","96","Machinery"
"Art","10920102","0.009977470443329388","97","Textiles"
"Other","6450657280","5.893831609928876","99","Other"
"Unspecified","14953912320","13.663079171324515","unspecified","Services"
"Travel and tourism","3607852288","3.296419719103201","travel","Services"
"Transport","4948306432","4.521164836172473","transport","Services"
"ICT","8902301696","8.133848204846537","ict","Services"
"Insurance and finance","422351616","0.3858939014793455","financial","Services"
