"Name","Gross Import","Share","Code","Sector"
"Live animals","13933789","0.012213430465780545","01","Agriculture"
"Meat","244554999","0.21436060753794467","02","Agriculture"
"Fish","397290256","0.3482381508998128","03","Agriculture"
"Diary products","387461481","0.3396229020234087","04","Agriculture"
"Animal products","39390616","0.03452718779653277","05","Agriculture"
"Plants","156204448","0.1369184049000335","06","Agriculture"
"Vegetables","272548403","0.23889775915223302","07","Agriculture"
"Fruits and nuts","517657250","0.45374383292169673","08","Agriculture"
"Coffee, tea and spices","251924550","0.2208202646134554","09","Agriculture"
"Cereals","63695568","0.055831288298279554","10","Agriculture"
"Flours, starches and malts","37963344","0.033276136318162064","11","Agriculture"
"Oil seeds and oleaginous fruits","105088192","0.09211330283289028","12","Agriculture"
"Lac and other vegetable extracts","15067306","0.013206995895921633","13","Agriculture"
"Other vegetable materials","630450","0.000552610437631239","14","Agriculture"
"Animal or vegetable fats, oils or waxes","396324905","0.34739198857357323","15","Agriculture"
"Preparations of meat or fish","290918031","0.254999350346147","16","Agriculture"
"Sugar and candy","176074933","0.15433554727737503","17","Agriculture"
"Cocoa","196788902","0.17249203149368073","18","Agriculture"
"Preparations of cereals, flour, starch or milk","446803630","0.39163827347057845","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","310721504","0.272357754472007","20","Agriculture"
"Miscellaneous edible preparations","419272633","0.36750643700361946","21","Agriculture"
"Beverages","612642034","0.5370011619002815","22","Agriculture"
"Food residues and animal feed","385061617","0.33751934124095895","23","Agriculture"
"Tobacco","145098348","0.1271835380884286","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","346833224","0.30401088064032605","25","Minerals"
"Ores, slag and ash","1860488573","1.630780243529938","26","Minerals"
"Mineral fuels, oils and waxes","11080757187","9.712652991345177","27","Minerals"
"Inorganic chemicals","803566783","0.7043530678397286","28","Chemicals"
"Organic chemicals","1626519838","1.4256988492236846","29","Chemicals"
"Pharmaceutical products","1919991774","1.6829367824229027","30","Chemicals"
"Fertilisers","373340147","0.3272450821143328","31","Chemicals"
"Dyes, paints, inks, etc.","401166048","0.35163541176631713","32","Chemicals"
"Essential oils","401100885","0.35157829422496195","33","Chemicals"
"Soaps, waxes, and paints","334297375","0.29302279117729313","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","194028114","0.17007210879578705","35","Chemicals"
"Explosives","33822738","0.029646757154519372","36","Chemicals"
"Photographic or cinematographic goods","46582514","0.04083112609644431","37","Chemicals"
"Miscellaneous chemical products","752395460","0.6594996977117256","38","Chemicals"
"Plastics","2663721662","2.334840817456787","39","Chemicals"
"Rubber","898908093","0.7879229037401738","40","Chemicals"
"Leather and skins","18109557","0.015873630294357788","41","Agriculture"
"Articles of leather","205749682","0.18034645382267947","42","Agriculture"
"Furskins","138193775","0.12113144972743752","43","Agriculture"
"Wood","1132948175","0.9930668360698922","44","Agriculture"
"Cork","5967406","0.005230630250112272","45","Agriculture"
"Manufactues of plaiting materials","8231336","0.007215040350939444","46","Agriculture"
"Pulp of wood","275380909","0.24138054506745726","47","Agriculture"
"Paper and paperboard","728012314","0.638127057562806","48","Agriculture"
"Products of the printing industry","183600896","0.1609323046840314","49","Agriculture"
"Silk","835172","0.0007320560939287131","50","Textiles"
"Wool","21722374","0.01904038480851685","51","Textiles"
"Cotton","24663813","0.021618654128931783","52","Textiles"
"Other vegetable textile fibres","4265373","0.003738741597573909","53","Textiles"
"Man-made filaments","94350396","0.08270126675270156","54","Textiles"
"Man-made staple fibres","66789535","0.05854325349438806","55","Textiles"
"Wadding, felt and nonwovens","111854430","0.09804413595573447","56","Textiles"
"Carpets","94730701","0.083034616760606","57","Textiles"
"Special woven fabrics","24489917","0.021466228489051824","58","Textiles"
"Impregnated, coated or laminated textile fabrics","116516946","0.1021309866294162","59","Textiles"
"Knitted fabrics","50226084","0.04402483664008783","60","Textiles"
"Apparel, knit","874528968","0.7665537881317723","61","Textiles"
"Apparel, not knit","933691632","0.818411834994283","62","Textiles"
"Other made up textile articles","239218841","0.20968328719906068","63","Textiles"
"Footwear","424620288","0.3721938348461936","64","Textiles"
"Headgear","60567545","0.053089471883099","65","Textiles"
"Umbrellas and walking-sticks","11752686","0.010301620991042171","66","Textiles"
"Feathers and down","10532846","0.009232390574292086","67","Textiles"
"Articles of stone, plaster, cement, etc.","244205083","0.21405389450139273","68","Stone"
"Ceramic products","211252327","0.18516970556600462","69","Stone"
"Glass and glassware","336617613","0.29505655711684203","70","Stone"
"Precious metals and stones","110419470","0.09678634568912597","71","Stone"
"Iron and steel","2305951258","2.021243134014888","72","Metals"
"Articles of iron or steel","2395342110","2.0995971951520906","73","Metals"
"Copper","520765953","0.4564687147129499","74","Metals"
"Nickel","837688275","0.7342616928325921","75","Metals"
"Aluminium","695228305","0.6093907809971838","76","Metals"
"Lead","22698433","0.019895933053649548","78","Metals"
"Zinc","15657965","0.01372472819583571","79","Metals"
"Tin","4724197","0.004140916125983324","80","Metals"
"Other base metals","91624217","0.08031167999681119","81","Metals"
"Metal tools and tableware","340753917","0.2986821654341009","82","Metals"
"Miscellaneous articles of base metal","304645822","0.26703221669910154","83","Metals"
"Industrial Machinery","9841225621","8.626162260684547","84","Machinery"
"Electrical machinery and equipment","7127346589","6.24735683669888","85","Electronics"
"Trains","119401992","0.10465982560577634","86","Vehicles"
"Vehicles","6574159061","5.762469530901079","87","Vehicles"
"Aircraft","380743057","0.33373397946518485","88","Vehicles"
"Ships","329041791","0.2884160966349063","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2149127922","1.88378225315558","90","Machinery"
"Clocks","84993927","0.07450000982705621","91","Machinery"
"Musical instruments","28594862","0.0250643495976285","92","Machinery"
"Arms and ammunition","70138996","0.06147916769700329","93","Machinery"
"Furniture","1346438496","1.1801982179682882","94","Textiles"
"Toys","520670104","0.45638469986984337","95","Machinery"
"Miscellaneous manufactured articles","120276951","0.10542675633128892","96","Machinery"
"Art","13439538","0.011780202991104239","97","Textiles"
"Other","5873058816","5.147931798784625","99","Other"
"Unspecified","15569953792","13.647583438647459","unspecified","Services"
"Travel and tourism","6072456192","5.322710244678638","travel","Services"
"Transport","6987597312","6.12486193762422","transport","Services"
