"Name","Gross Export","Share","Code","Sector"
"Live animals","2440100506","0.2832456920178623","01","Agriculture"
"Meat","3473811044","0.40323831361767387","02","Agriculture"
"Fish","1441164128","0.16728963816979722","03","Agriculture"
"Diary products","7094442962","0.8235195236064358","04","Agriculture"
"Animal products","284501891","0.033024842541746285","05","Agriculture"
"Plants","196246419","0.022780189840132085","06","Agriculture"
"Vegetables","2266573056","0.2631027091618336","07","Agriculture"
"Fruits and nuts","1733660070","0.2012424263031097","08","Agriculture"
"Coffee, tea and spices","1402965548","0.16285556539304263","09","Agriculture"
"Cereals","7234471869","0.8397740117179676","10","Agriculture"
"Flours, starches and malts","1226661865","0.1423903187469142","11","Agriculture"
"Oil seeds and oleaginous fruits","2150801251","0.2496639737725537","12","Agriculture"
"Lac and other vegetable extracts","422506000","0.04904429307622091","13","Agriculture"
"Other vegetable materials","14075956","0.001633930196001927","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1582333763","0.18367654143839726","15","Agriculture"
"Preparations of meat or fish","1197813794","0.13904164855333676","16","Agriculture"
"Sugar and candy","2155984579","0.25026565199142436","17","Agriculture"
"Cocoa","2119249463","0.2460014574112457","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4929690637","0.5722361158803192","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2033565313","0.23605528252949995","20","Agriculture"
"Miscellaneous edible preparations","3229041840","0.374825622254689","21","Agriculture"
"Beverages","18858271610","2.1890590896977","22","Agriculture"
"Food residues and animal feed","3126838913","0.36296195569128964","23","Agriculture"
"Tobacco","427565584","0.049631607151144716","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1118881363","0.1298792099626834","25","Minerals"
"Ores, slag and ash","574442064","0.06668095823994274","26","Minerals"
"Mineral fuels, oils and waxes","18776496577","2.179566683235378","27","Minerals"
"Inorganic chemicals","3466907828","0.40243699162775554","28","Chemicals"
"Organic chemicals","10806268777","1.2543864772561888","29","Chemicals"
"Pharmaceutical products","32467384352","3.7687983450597073","30","Chemicals"
"Fertilisers","401713730","0.04663073638448182","31","Chemicals"
"Dyes, paints, inks, etc.","3074847822","0.3569268548776764","32","Chemicals"
"Essential oils","19216221344","2.230609722495462","33","Chemicals"
"Soaps, waxes, and paints","3580739748","0.4156505461001392","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1707091336","0.19815834045116876","35","Chemicals"
"Explosives","251616940","0.029207573261212608","36","Chemicals"
"Photographic or cinematographic goods","430736221","0.04999965316768959","37","Chemicals"
"Miscellaneous chemical products","12688869864","1.4729179051091426","38","Chemicals"
"Plastics","21653760296","2.5135580705581932","39","Chemicals"
"Rubber","6539985328","0.7591583483799443","40","Chemicals"
"Leather and skins","721777536","0.08378358889913182","41","Agriculture"
"Articles of leather","8377270165","0.9724294877491481","42","Agriculture"
"Furskins","134130597","0.015569815126309394","43","Agriculture"
"Wood","2955285733","0.34304814514640347","44","Agriculture"
"Cork","111636568","0.012958719069114912","45","Agriculture"
"Manufactues of plaiting materials","24860572","0.002885803229328084","46","Agriculture"
"Pulp of wood","841110133","0.09763565930952732","47","Agriculture"
"Paper and paperboard","6945137086","0.806188169399523","48","Agriculture"
