"Name","Gross Import","Share","Code","Sector"
"Live animals","330040955","0.035261058218362874","01","Agriculture"
"Meat","5263491664","0.5623431976682156","02","Agriculture"
"Fish","5448035240","0.582059544014265","03","Agriculture"
"Diary products","4608884234","0.49240596609220444","04","Agriculture"
"Animal products","492176454","0.052583360747460554","05","Agriculture"
"Plants","1716808400","0.18342111797056948","06","Agriculture"
"Vegetables","3462925440","0.3699735250908175","07","Agriculture"
"Fruits and nuts","5826122693","0.6224538147551962","08","Agriculture"
"Coffee, tea and spices","3065712185","0.32753588364822617","09","Agriculture"
"Cereals","894541224","0.09557138197648707","10","Agriculture"
"Flours, starches and malts","614673712","0.06567077575002536","11","Agriculture"
"Oil seeds and oleaginous fruits","1643730497","0.1756135893801893","12","Agriculture"
"Lac and other vegetable extracts","353203560","0.03773571462394121","13","Agriculture"
"Other vegetable materials","25334639","0.002706713112983831","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2645912348","0.28268512719433014","15","Agriculture"
"Preparations of meat or fish","2817130698","0.3009778272848448","16","Agriculture"
"Sugar and candy","900282306","0.09618475017692267","17","Agriculture"
"Cocoa","3462416276","0.3699191268072872","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4002526243","0.42762362893704575","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4438721594","0.4742260564030256","20","Agriculture"
"Miscellaneous edible preparations","2835820592","0.30297462625916916","21","Agriculture"
"Beverages","4898563186","0.523354811186615","22","Agriculture"
"Food residues and animal feed","3014987552","0.32211654338083995","23","Agriculture"
"Tobacco","1399194744","0.14948777289476495","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1423230494","0.15205571474329102","25","Minerals"
"Ores, slag and ash","2148858757","0.22958070077580486","26","Minerals"
"Mineral fuels, oils and waxes","65207900954","6.96670990979357","27","Minerals"
"Inorganic chemicals","4275535415","0.45679150086990644","28","Chemicals"
"Organic chemicals","15053176431","1.6082577706296446","29","Chemicals"
"Pharmaceutical products","23736480352","2.5359683485066222","30","Chemicals"
"Fertilisers","2072723244","0.22144650192651985","31","Chemicals"
"Dyes, paints, inks, etc.","3753611106","0.4010299259307362","32","Chemicals"
"Essential oils","6111672544","0.6529615131720665","33","Chemicals"
"Soaps, waxes, and paints","2928598992","0.3128869250640449","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1065452460","0.11383127048871233","35","Chemicals"
"Explosives","143527941","0.015334300203933027","36","Chemicals"
"Photographic or cinematographic goods","569498408","0.06084431709317097","37","Chemicals"
"Miscellaneous chemical products","9349998983","0.998939233105772","38","Chemicals"
"Plastics","25578009996","2.7327144886573955","39","Chemicals"
"Rubber","7572463145","0.8090300908632754","40","Chemicals"
"Leather and skins","717239076","0.0766286984453817","41","Agriculture"
"Articles of leather","5172779288","0.55265162962854","42","Agriculture"
"Furskins","156980152","0.016771513337790013","43","Agriculture"
"Wood","4784834187","0.5112041832293812","44","Agriculture"
"Cork","368751329","0.039396813889257115","45","Agriculture"
"Manufactues of plaiting materials","103203720","0.01102612364962894","46","Agriculture"
"Pulp of wood","1395308894","0.1490726147727136","47","Agriculture"
"Paper and paperboard","9488427907","1.0137287623272875","48","Agriculture"
"Products of the printing industry","2292684825","0.2449468524010364","49","Agriculture"
"Silk","109180511","0.01166467463009737","50","Textiles"
"Wool","187790849","0.02006327990253449","51","Textiles"
"Cotton","517980945","0.05534027211152512","52","Textiles"
"Other vegetable textile fibres","92112138","0.009841116417312133","53","Textiles"
"Man-made filaments","901028550","0.09626447771597643","54","Textiles"
"Man-made staple fibres","706607703","0.07549285922114321","55","Textiles"
"Wadding, felt and nonwovens","921734122","0.09847662856778967","56","Textiles"
"Carpets","562731536","0.06012135509729318","57","Textiles"
"Special woven fabrics","269533204","0.02879650496110665","58","Textiles"
"Impregnated, coated or laminated textile fabrics","586405063","0.06265059760836575","59","Textiles"
"Knitted fabrics","374454144","0.04000609370340488","60","Textiles"
"Apparel, knit","12444607944","1.3295624029996067","61","Textiles"
"Apparel, not knit","13224470268","1.4128816710852046","62","Textiles"
"Other made up textile articles","2923534650","0.3123458587042663","63","Textiles"
"Footwear","8956307192","0.9568778193562496","64","Textiles"
"Headgear","622737579","0.06653230665837016","65","Textiles"
"Umbrellas and walking-sticks","168193544","0.017969534559542095","66","Textiles"
"Feathers and down","183076293","0.01955958413062724","67","Textiles"
"Articles of stone, plaster, cement, etc.","2416058741","0.2581279281699615","68","Stone"
"Ceramic products","2465325322","0.26339149244749394","69","Stone"
"Glass and glassware","3783902722","0.4042662346952176","70","Stone"
"Precious metals and stones","12189635492","1.3023215459549085","71","Stone"
"Iron and steel","13661269638","1.4595486309942083","72","Metals"
"Articles of iron or steel","13159329930","1.4059221794954964","73","Metals"
"Copper","3836340177","0.4098685701798479","74","Metals"
"Nickel","1150301221","0.12289637909433057","75","Metals"
"Aluminium","7838841494","0.8374895360621307","76","Metals"
"Lead","170099740","0.01817318955178877","78","Metals"
"Zinc","749933609","0.08012173109502721","79","Metals"
"Tin","141377220","0.01510452054403459","80","Metals"
"Other base metals","1306143219","0.13954629384307438","81","Metals"
"Metal tools and tableware","2359966968","0.2521351710791811","82","Metals"
"Miscellaneous articles of base metal","3103817665","0.33160701339246856","83","Metals"
"Industrial Machinery","73411902463","7.843212569387395","84","Machinery"
"Electrical machinery and equipment","55236232544","5.901352489714538","85","Electronics"
"Trains","1281150635","0.13687612535004196","86","Vehicles"
"Vehicles","72137102619","7.707014952591491","87","Vehicles"
"Aircraft","24196249510","2.585089364555208","88","Vehicles"
"Ships","1686551316","0.1801884985508314","89","Vehicles"
"Apparatuses (optical, medical, etc.)","20633862209","2.2044894901641117","90","Machinery"
"Clocks","2693197442","0.2877369925072116","91","Machinery"
"Musical instruments","293006479","0.03130435286243951","92","Machinery"
"Arms and ammunition","281601557","0.030085868875754013","93","Machinery"
"Furniture","13558980400","1.448620209167802","94","Textiles"
"Toys","5259063048","0.5618700512776328","95","Machinery"
"Miscellaneous manufactured articles","1463291908","0.15633581340972452","96","Machinery"
"Art","2322517147","0.24813409091460495","97","Textiles"
"Other","23518240768","2.512651973491966","99","Other"
"Unspecified","106138230784","11.339642181282192","unspecified","Services"
"Travel and tourism","47767363584","5.103390239169349","travel","Services"
"Transport","53292175360","5.693652467925271","transport","Services"
"ICT","41317830656","4.414332252243283","ict","Services"
"Insurance and finance","17787203584","1.9003569454502902","financial","Services"
