"Name","Gross Export","Share","Code","Sector"
"Live animals","26522","0.0005680527103036527","01","Agriculture"
"Meat","79972","0.0017128539080161268","02","Agriculture"
"Fish","2246589","0.04811782559340822","03","Agriculture"
"Diary products","144511","0.0030951611951847953","04","Agriculture"
"Plants","2683","0.00005746495067282635","06","Agriculture"
"Vegetables","84902","0.0018184454871503176","07","Agriculture"
"Fruits and nuts","236046","0.005055673405336551","08","Agriculture"
"Coffee, tea and spices","81007","0.001735021714183244","09","Agriculture"
"Cereals","42536","0.0009110432880429897","10","Agriculture"
"Flours, starches and malts","20480","0.00043864412589619215","11","Agriculture"
"Oil seeds and oleaginous fruits","28686","0.0006144016306376058","12","Agriculture"
"Animal or vegetable fats, oils or waxes","4131555","0.08849034822104697","15","Agriculture"
"Preparations of meat or fish","42558","0.0009115144877876047","16","Agriculture"
"Sugar and candy","90647","0.001941492875005475","17","Agriculture"
"Cocoa","119997","0.0025701161706623713","18","Agriculture"
"Preparations of cereals, flour, starch or milk","456323","0.00977360368463516","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","92422","0.0019795101271278255","20","Agriculture"
"Miscellaneous edible preparations","157029","0.0033632738498707592","21","Agriculture"
"Beverages","44641","0.000956128536334566","22","Agriculture"
"Food residues and animal feed","2012990","0.04311456245057499","23","Agriculture"
"Salt, sulphur, lime, cement, etc.","259361","0.005555038043777456","25","Minerals"
"Ores, slag and ash","930662508","19.93308800420009","26","Minerals"
"Mineral fuels, oils and waxes","2905474528","62.229947980869696","27","Minerals"
"Inorganic chemicals","15510","0.00033219581995361035","28","Chemicals"
"Organic chemicals","219477","0.0047007957431307885","29","Chemicals"
"Pharmaceutical products","444234","0.00951467942496919","30","Chemicals"
"Fertilisers","7733","0.0001656267102321901","31","Chemicals"
"Dyes, paints, inks, etc.","223255","0.004781713590183319","32","Chemicals"
"Essential oils","84008","0.0017992976429827786","33","Chemicals"
"Soaps, waxes, and paints","283236","0.006066396857535834","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","70064","0.001500642677577676","35","Chemicals"
"Explosives","9680","0.00020732788763062204","36","Chemicals"
"Miscellaneous chemical products","192543","0.004123918746700709","38","Chemicals"
"Plastics","738294","0.015812906556855626","39","Chemicals"
"Rubber","15634617","0.3348648880706419","40","Chemicals"
"Articles of leather","18997","0.0004068809794750958","42","Agriculture"
"Wood","407772974","8.733750964078158","44","Agriculture"
"Pulp of wood","8737","0.00018713055312280424","47","Agriculture"
"Paper and paperboard","256815","0.005500507382423368","48","Agriculture"
"Products of the printing industry","35497","0.0007602807879363834","49","Agriculture"
"Cotton","1832","0.00003923808782430781","52","Textiles"
"Wadding, felt and nonwovens","10786","0.0002310163838826332","56","Textiles"
"Carpets","7537","0.00016142874887107423","57","Textiles"
"Special woven fabrics","30600","0.0006553960084191152","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1154","0.000024716568422080355","59","Textiles"
"Apparel, knit","76233","0.0016327713696017779","61","Textiles"
"Apparel, not knit","75303","0.0016128524713066872","62","Textiles"
"Other made up textile articles","107723","0.002307229549507593","63","Textiles"
"Footwear","22099","0.00047332014346581784","64","Textiles"
"Headgear","1963","0.00004204386812178833","65","Textiles"
"Feathers and down","2581","0.00005528029731142929","67","Textiles"
"Articles of stone, plaster, cement, etc.","15801","0.0003384285074846549","68","Stone"
"Ceramic products","46845","0.0010033341834769101","69","Stone"
"Glass and glassware","13873","0.00029713427532020864","70","Stone"
"Precious metals and stones","21039569","0.4506290699823057","71","Stone"
"Iron and steel","39973970","0.8561692934204397","72","Metals"
"Articles of iron or steel","6425789","0.13762864253409993","73","Metals"
"Copper","4498364","0.09634672581752433","74","Metals"
"Aluminium","2298780","0.04923566131482659","76","Metals"
"Lead","1799160","0.0385347151146188","78","Metals"
"Other base metals","19279796","0.41293795233773933","81","Metals"
"Metal tools and tableware","545209","0.01167737916190122","82","Metals"
"Miscellaneous articles of base metal","131935","0.0028258062866266653","83","Metals"
"Industrial Machinery","14770154","0.3163496723965892","84","Machinery"
"Electrical machinery and equipment","2302611","0.04931771432490023","85","Electronics"
"Trains","361320","0.0077388132601959045","86","Vehicles"
"Vehicles","5497118","0.11773820898721796","87","Vehicles"
"Aircraft","28922991","0.6194775442137905","88","Vehicles"
"Ships","230670315","4.940536069012417","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2828130","0.06057336971537099","90","Machinery"
"Clocks","14181","0.00030373107174481935","91","Machinery"
"Musical instruments","94400","0.0020218752678027607","92","Machinery"
"Arms and ammunition","5445","0.00011662193679222491","93","Machinery"
"Furniture","2280296","0.0488397678566691","94","Textiles"
"Toys","27788","0.0005951681137892279","95","Machinery"
"Miscellaneous manufactured articles","5405","0.00011576520998383391","96","Machinery"
"Art","5393889","0.11552723269463311","97","Textiles"
"Other","6797812","0.14559669447005105","99","Other"
