"Name","Gross Import","Share","Code","Sector"
"Live animals","314641","0.012336285632138618","01","Agriculture"
"Meat","137180739","5.378513224696901","02","Agriculture"
"Fish","29702523","1.164561540686582","03","Agriculture"
"Diary products","35417013","1.3886123823823553","04","Agriculture"
"Animal products","1842740","0.07224922049499943","05","Agriculture"
"Plants","924820","0.03625987610741905","06","Agriculture"
"Vegetables","7274705","0.28522296448824835","07","Agriculture"
"Fruits and nuts","7024206","0.2754015260407317","08","Agriculture"
"Coffee, tea and spices","2594729","0.1017328259253988","09","Agriculture"
"Cereals","75640984","2.965693549537495","10","Agriculture"
"Flours, starches and malts","12595550","0.49383997156722603","11","Agriculture"
"Oil seeds and oleaginous fruits","1846638","0.07240205131296046","12","Agriculture"
"Lac and other vegetable extracts","990525","0.0388360046077088","13","Agriculture"
"Other vegetable materials","26597","0.0010428017612389702","14","Agriculture"
"Animal or vegetable fats, oils or waxes","13027788","0.5107869410628236","15","Agriculture"
"Preparations of meat or fish","41906773","1.6430596192142617","16","Agriculture"
"Sugar and candy","6273174","0.24595544218364912","17","Agriculture"
"Cocoa","2530742","0.09922405590259932","18","Agriculture"
"Preparations of cereals, flour, starch or milk","46502827","1.823259386328952","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","24067663","0.9436327918677293","20","Agriculture"
"Miscellaneous edible preparations","31312554","1.2276868240813008","21","Agriculture"
"Beverages","34068149","1.335726802998521","22","Agriculture"
"Food residues and animal feed","4105029","0.16094790657356275","23","Agriculture"
"Tobacco","7751220","0.30390592426780205","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","16756645","0.6569860855907126","25","Minerals"
"Ores, slag and ash","205556","0.008059335971471886","26","Minerals"
"Mineral fuels, oils and waxes","126767671","4.970242906604592","27","Minerals"
"Inorganic chemicals","8327896","0.32651594601703104","28","Chemicals"
"Organic chemicals","5548645","0.21754847458321636","29","Chemicals"
"Pharmaceutical products","64016862","2.509940837033955","30","Chemicals"
"Fertilisers","12758107","0.5002134244341555","31","Chemicals"
"Dyes, paints, inks, etc.","11843189","0.46434178094845274","32","Chemicals"
"Essential oils","41921316","1.6436298138231913","33","Chemicals"
"Soaps, waxes, and paints","24030333","0.9421691760559064","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3417952","0.1340093380994195","35","Chemicals"
"Explosives","1477516","0.057929702111469646","36","Chemicals"
"Photographic or cinematographic goods","1055038","0.04136539777320903","37","Chemicals"
"Miscellaneous chemical products","26313466","1.0316851031733565","38","Chemicals"
"Plastics","70902274","2.779900597926384","39","Chemicals"
"Rubber","31545304","1.236812368688902","40","Chemicals"
"Articles of leather","6871977","0.2694330081886564","42","Agriculture"
"Furskins","8735","0.0003424774743174946","43","Agriculture"
"Wood","1594036","0.06249815950213645","44","Agriculture"
"Cork","27274","0.001069345235779662","45","Agriculture"
"Manufactues of plaiting materials","177232","0.006948822865281993","46","Agriculture"
"Pulp of wood","24152","0.0009469394344265746","47","Agriculture"
"Paper and paperboard","28983172","1.1363575894985152","48","Agriculture"
"Products of the printing industry","5101731","0.20002609588177062","49","Agriculture"
"Wool","122487","0.004802408517083797","51","Textiles"
"Cotton","6970527","0.27329690688287384","52","Textiles"
"Other vegetable textile fibres","233533","0.00915624407667859","53","Textiles"
"Man-made filaments","1653869","0.06484406158809394","54","Textiles"
"Man-made staple fibres","1159328","0.045454347492335706","55","Textiles"
"Wadding, felt and nonwovens","1425839","0.05590357635986058","56","Textiles"
"Carpets","1184233","0.04643081017097076","57","Textiles"
"Special woven fabrics","285315","0.011186486615328674","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1610734","0.06315284626414601","59","Textiles"
"Knitted fabrics","163617","0.0064150128122959955","60","Textiles"
"Apparel, knit","8215633","0.322114394935256","61","Textiles"
"Apparel, not knit","10458738","0.4100609244176766","62","Textiles"
"Other made up textile articles","28104381","1.1019023952073936","63","Textiles"
"Footwear","13903132","0.5451069871165126","64","Textiles"
"Headgear","1552594","0.06087332246828807","65","Textiles"
"Umbrellas and walking-sticks","1182135","0.046348552845141555","66","Textiles"
"Feathers and down","566245","0.022201048362325098","67","Textiles"
"Articles of stone, plaster, cement, etc.","7343638","0.2879256547844279","68","Stone"
"Ceramic products","24323274","0.9536546590329005","69","Stone"
"Glass and glassware","8890368","0.34856906449834874","70","Stone"
"Precious metals and stones","895336","0.03510388230629975","71","Stone"
"Iron and steel","30265758","1.1866445744870644","72","Metals"
"Articles of iron or steel","85776647","3.3630875123049","73","Metals"
"Copper","2995590","0.11744958183065182","74","Metals"
"Nickel","40147","0.0015740633270090963","75","Metals"
"Aluminium","19659677","0.7708067000409548","76","Metals"
"Lead","451380","0.017697479376923952","78","Metals"
"Zinc","239927","0.009406936803729083","79","Metals"
"Tin","66904","0.002623138287548673","80","Metals"
"Other base metals","259606","0.010178501110208073","81","Metals"
"Metal tools and tableware","12157687","0.47667245990871643","82","Metals"
"Miscellaneous articles of base metal","12238763","0.47985124682431635","83","Metals"
"Industrial Machinery","347213600","13.613375704256994","84","Machinery"
"Electrical machinery and equipment","168710363","6.614710819854344","85","Electronics"
"Trains","69680678","2.732004878096235","86","Vehicles"
"Vehicles","169605928","6.649823680677143","87","Vehicles"
"Aircraft","3581700","0.14042948709364286","88","Vehicles"
"Ships","346707776","13.593543611988057","89","Vehicles"
"Apparatuses (optical, medical, etc.)","43090394","1.6894664343979078","90","Machinery"
"Clocks","2739284","0.10740046545601876","91","Machinery"
"Musical instruments","468746","0.018378356746013548","92","Machinery"
"Arms and ammunition","21187","0.0008306892098872076","93","Machinery"
"Furniture","51901980","2.034946653975629","94","Textiles"
"Toys","7460584","0.2925108145682326","95","Machinery"
"Miscellaneous manufactured articles","4357694","0.1708542684566114","96","Machinery"
"Art","1021288","0.04004214479573732","97","Textiles"
"Other","34976056","1.3713235627323703","99","Other"
