"Name","Gross Export","Share","Code","Sector"
"Live animals","29384083","0.3968935732395198","01","Agriculture"
"Meat","44677656","0.6034653024158035","02","Agriculture"
"Fish","1338129","0.0180742342806963","03","Agriculture"
"Diary products","2185940","0.02952569721121452","04","Agriculture"
"Animal products","709181","0.009578974479604346","05","Agriculture"
"Plants","1326418","0.017916052702043394","06","Agriculture"
"Vegetables","14548874","0.19651300972950372","07","Agriculture"
"Fruits and nuts","86562955","1.16921397615579","08","Agriculture"
"Coffee, tea and spices","10800401","0.14588203229992522","09","Agriculture"
"Cereals","5596334","0.07559020978472647","10","Agriculture"
"Flours, starches and malts","5086298","0.06870110555367759","11","Agriculture"
"Oil seeds and oleaginous fruits","5511741","0.07444760417606922","12","Agriculture"
"Lac and other vegetable extracts","33256","0.0004491919203894664","13","Agriculture"
"Other vegetable materials","81070","0.0010950201162489186","14","Agriculture"
"Animal or vegetable fats, oils or waxes","19300080","0.26068799611710164","15","Agriculture"
"Preparations of meat or fish","29098","0.00039302942324671316","16","Agriculture"
"Sugar and candy","880274","0.011889943725310232","17","Agriculture"
"Cocoa","1957350","0.026438110577770083","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1612004","0.021773489669097347","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","24260649","0.32769086824046145","20","Agriculture"
"Miscellaneous edible preparations","6060176","0.08185536731230919","21","Agriculture"
"Beverages","395569248","5.342991043905974","22","Agriculture"
"Food residues and animal feed","33279789","0.4495132406502958","23","Agriculture"
"Tobacco","106825729","1.4429051706914453","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","7357980","0.09938492802463572","25","Minerals"
"Ores, slag and ash","376732653","5.088563383283872","26","Minerals"
"Mineral fuels, oils and waxes","128594231","1.7369343749668222","27","Minerals"
"Inorganic chemicals","46032899","0.6217706971044126","28","Chemicals"
"Organic chemicals","17974481","0.24278300572510148","29","Chemicals"
"Pharmaceutical products","96441367","1.302642616301278","30","Chemicals"
"Fertilisers","89701019","1.2116001018012392","31","Chemicals"
"Dyes, paints, inks, etc.","3014756","0.040720592889874486","32","Chemicals"
"Essential oils","17994388","0.24305189144675152","33","Chemicals"
"Soaps, waxes, and paints","1861135","0.02513852552183213","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","204700","0.002764902156113897","35","Chemicals"
"Explosives","323429","0.004368585927942167","36","Chemicals"
"Photographic or cinematographic goods","205499","0.002775694324275768","37","Chemicals"
"Miscellaneous chemical products","7953174","0.10742426937249139","38","Chemicals"
"Plastics","22291416","0.30109225286385843","39","Chemicals"
"Rubber","22053144","0.29787389054562896","40","Chemicals"
"Leather and skins","3959826","0.053485742282539654","41","Agriculture"
"Articles of leather","666873","0.009007516343693909","42","Agriculture"
"Furskins","48501","0.0006551075694854916","43","Agriculture"
"Wood","24756013","0.33438179638731635","44","Agriculture"
"Cork","53145","0.0007178345143462289","45","Agriculture"
"Pulp of wood","3188957","0.0430735421839497","47","Agriculture"
"Paper and paperboard","5158094","0.06967086087952201","48","Agriculture"
"Products of the printing industry","898681","0.012138568805855364","49","Agriculture"
"Wool","552170","0.007458212132591161","51","Textiles"
"Cotton","920893","0.012438588379336566","52","Textiles"
"Other vegetable textile fibres","7769","0.00010493661382925679","53","Textiles"
"Man-made filaments","8245779","0.11137651263282214","54","Textiles"
"Man-made staple fibres","1965157","0.026543560461173996","55","Textiles"
"Wadding, felt and nonwovens","5144445","0.06948650255256159","56","Textiles"
"Carpets","1864528","0.02518435509201139","57","Textiles"
"Special woven fabrics","945645","0.012772915971755379","58","Textiles"
