"Name","Gross Import","Share","Code","Sector"
"Live animals","18056555","0.15315417038237958","01","Agriculture"
"Meat","156187999","1.3247733806658544","02","Agriculture"
"Fish","29659684","0.25157092794409225","03","Agriculture"
"Diary products","78145018","0.6628194249294022","04","Agriculture"
"Animal products","4874263","0.04134308598680805","05","Agriculture"
"Plants","14055994","0.119221750769718","06","Agriculture"
"Vegetables","40583853","0.344228804283843","07","Agriculture"
"Fruits and nuts","86226833","0.7313686953472017","08","Agriculture"
"Coffee, tea and spices","39617736","0.33603428170590316","09","Agriculture"
"Cereals","142502667","1.208695553590455","10","Agriculture"
"Flours, starches and malts","16220549","0.1375813229733876","11","Agriculture"
"Oil seeds and oleaginous fruits","14466950","0.12270744475972113","12","Agriculture"
"Lac and other vegetable extracts","855961","0.007260188714551144","13","Agriculture"
"Other vegetable materials","120600","0.0010229189869338298","14","Agriculture"
"Animal or vegetable fats, oils or waxes","93550388","0.7934864686585963","15","Agriculture"
"Preparations of meat or fish","21468881","0.18209723053999127","16","Agriculture"
"Sugar and candy","122715038","1.0408585601368692","17","Agriculture"
"Cocoa","53420528","0.45310839455414836","18","Agriculture"
"Preparations of cereals, flour, starch or milk","62429548","0.5295221392611684","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","37708900","0.319843696404553","20","Agriculture"
"Miscellaneous edible preparations","77948142","0.6611495393699363","21","Agriculture"
"Beverages","125261230","1.062455145055435","22","Agriculture"
"Food residues and animal feed","52538467","0.4456268278498876","23","Agriculture"
"Tobacco","245610619","2.083248470710372","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","53003980","0.4495752696937063","25","Minerals"
"Ores, slag and ash","411001728","3.4860818510266456","26","Minerals"
"Mineral fuels, oils and waxes","1373753239","11.652058636276513","27","Minerals"
"Inorganic chemicals","53447578","0.4533378303634067","28","Chemicals"
"Organic chemicals","34211797","0.2901815649123204","29","Chemicals"
"Pharmaceutical products","357953046","3.0361274227545487","30","Chemicals"
"Fertilisers","14545911","0.12337718527487274","31","Chemicals"
"Dyes, paints, inks, etc.","58290412","0.494414338233794","32","Chemicals"
"Essential oils","112997067","0.958431553085689","33","Chemicals"
"Soaps, waxes, and paints","66134357","0.5609460154557233","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","12705828","0.10776975709714336","35","Chemicals"
"Explosives","5496875","0.046624028244626","36","Chemicals"
"Photographic or cinematographic goods","2628253","0.022292619371192365","37","Chemicals"
"Miscellaneous chemical products","80068916","0.6791377648392198","38","Chemicals"
"Plastics","323193930","2.741303544434188","39","Chemicals"
"Rubber","108966315","0.9242430559677659","40","Chemicals"
"Leather and skins","1533605","0.013007907735959005","41","Agriculture"
"Articles of leather","21193131","0.17975834239200617","42","Agriculture"
"Furskins","1736324","0.014727353126607752","43","Agriculture"
"Wood","149770255","1.2703386195474409","44","Agriculture"
"Cork","10880064","0.09228378146480291","45","Agriculture"
"Manufactues of plaiting materials","269690","0.002287487741178976","46","Agriculture"
"Pulp of wood","233474","0.001980306696147504","47","Agriculture"
"Paper and paperboard","159636564","1.3540238169525496","48","Agriculture"
"Products of the printing industry","16002886","0.13573512384027833","49","Agriculture"
"Silk","157510","0.0013359864811935947","50","Textiles"
"Wool","3474771","0.029472713359428283","51","Textiles"
"Cotton","13775279","0.11684074991219619","52","Textiles"
"Other vegetable textile fibres","573553","0.004864827974401815","53","Textiles"
"Man-made filaments","31942207","0.2709310947335878","54","Textiles"
"Man-made staple fibres","17623311","0.14947943146384593","55","Textiles"
"Wadding, felt and nonwovens","11189565","0.09490894273656915","56","Textiles"
"Carpets","11780343","0.09991987170226396","57","Textiles"
"Special woven fabrics","6763137","0.05736435529464926","58","Textiles"
"Impregnated, coated or laminated textile fabrics","6520920","0.05530989121290672","59","Textiles"
"Knitted fabrics","24299823","0.20610904084437295","60","Textiles"
"Apparel, knit","112582151","0.9549122707110403","61","Textiles"
"Apparel, not knit","80420347","0.6821185728201249","62","Textiles"
"Other made up textile articles","63608879","0.539525124930983","63","Textiles"
"Footwear","56632740","0.48035410471050566","64","Textiles"
"Headgear","2289440","0.01941883619772626","65","Textiles"
"Umbrellas and walking-sticks","2240363","0.01900256923983446","66","Textiles"
"Feathers and down","1808184","0.01533686356111078","67","Textiles"
"Articles of stone, plaster, cement, etc.","40521743","0.3437019925236568","68","Stone"
"Ceramic products","119457322","1.013226888906039","69","Stone"
"Glass and glassware","77606936","0.6582554589731224","70","Stone"
"Precious metals and stones","15313199","0.12988525711273743","71","Stone"
"Iron and steel","294148110","2.494939358952742","72","Metals"
"Articles of iron or steel","266134877","2.257333488960194","73","Metals"
"Copper","14049729","0.11916861157027238","74","Metals"
"Nickel","359932","0.003052912742993924","75","Metals"
"Aluminium","76366185","0.6477315140646884","76","Metals"
"Lead","792663","0.006723300438971231","78","Metals"
"Zinc","775494","0.006577674434935849","79","Metals"
"Tin","138803","0.0011773152914044476","80","Metals"
"Other base metals","206134","0.001748411131447911","81","Metals"
"Metal tools and tableware","31909403","0.2706528539836095","82","Metals"
"Miscellaneous articles of base metal","53422128","0.4531219656186516","83","Metals"
"Industrial Machinery","957129624","8.11829241580794","84","Machinery"
"Electrical machinery and equipment","672692333","5.705719401248047","85","Electronics"
"Trains","13523243","0.11470300190398015","86","Vehicles"
"Vehicles","800223928","6.787431589966583","87","Vehicles"
"Aircraft","135291804","1.147533624279687","88","Vehicles"
"Ships","8681587","0.07363648572983339","89","Vehicles"
"Apparatuses (optical, medical, etc.)","183927333","1.5600560625356648","90","Machinery"
"Clocks","19684358","0.1669610575771379","91","Machinery"
"Musical instruments","1209849","0.010261836761383971","92","Machinery"
"Arms and ammunition","13086551","0.11099901734144192","93","Machinery"
"Furniture","167611085","1.4216630287485907","94","Textiles"
"Toys","74030077","0.6279168438430631","95","Machinery"
"Miscellaneous manufactured articles","18785838","0.15933988702871513","96","Machinery"
"Art","5463051","0.04633713594102692","97","Textiles"
"Other","69787048","0.591927831187915","99","Other"
"Travel and tourism","569568384","4.831030798928844","travel","Services"
"Transport","1365421440","11.581389022740723","transport","Services"
"ICT","142845488","1.211603332280502","ict","Services"
"Insurance and finance","168060128","1.425471773447179","financial","Services"
