"Name","Gross Export","Share","Code","Sector"
"Live animals","1556368500","0.08167139501768939","01","Agriculture"
"Meat","8215336898","0.4311048604491526","02","Agriculture"
"Fish","1690357980","0.08870257545426002","03","Agriculture"
"Diary products","10057373739","0.5277668774961743","04","Agriculture"
"Animal products","1043524405","0.05475958546536651","05","Agriculture"
"Plants","1047002948","0.0549421241504138","06","Agriculture"
"Vegetables","1201779348","0.06306411100880621","07","Agriculture"
"Fruits and nuts","2169855886","0.11386452321347057","08","Agriculture"
"Coffee, tea and spices","3161739159","0.1659142084908465","09","Agriculture"
"Cereals","1912679211","0.10036901889475627","10","Agriculture"
"Flours, starches and malts","1799241474","0.0944163038221756","11","Agriculture"
"Oil seeds and oleaginous fruits","1648369898","0.08649922500669113","12","Agriculture"
"Lac and other vegetable extracts","742750764","0.03897630352087862","13","Agriculture"
"Other vegetable materials","9528146","0.0004999953261404462","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3849126384","0.20198527622518342","15","Agriculture"
"Preparations of meat or fish","3447956469","0.18093363800635678","16","Agriculture"
"Sugar and candy","2600026160","0.13643797312120237","17","Agriculture"
"Cocoa","6191728647","0.32491477190105067","18","Agriculture"
"Preparations of cereals, flour, starch or milk","7280905505","0.38206999793771473","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3290897239","0.1726918582385806","20","Agriculture"
"Miscellaneous edible preparations","6461116456","0.3390510629926456","21","Agriculture"
"Beverages","6646919488","0.3488011914628352","22","Agriculture"
"Food residues and animal feed","4691283275","0.2461779774471178","23","Agriculture"
"Tobacco","4127789248","0.21660828153691045","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2248116517","0.11797129799639289","25","Minerals"
"Ores, slag and ash","1511302738","0.07930654141773849","26","Minerals"
"Mineral fuels, oils and waxes","38925727491","2.042651509760312","27","Minerals"
"Inorganic chemicals","10817210356","0.5676397716699589","28","Chemicals"
"Organic chemicals","29022081734","1.5229516027426548","29","Chemicals"
"Pharmaceutical products","94143755504","4.940251517693884","30","Chemicals"
"Fertilisers","2506037747","0.13150587329702274","31","Chemicals"
"Dyes, paints, inks, etc.","13225997886","0.6940423799701875","32","Chemicals"
"Essential oils","11116943936","0.5833684757732905","33","Chemicals"
"Soaps, waxes, and paints","8895457552","0.46679461039752485","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3821943056","0.2005588143564271","35","Chemicals"
"Explosives","343410760","0.018020691008128812","36","Chemicals"
"Photographic or cinematographic goods","1494633012","0.07843178728529322","37","Chemicals"
"Miscellaneous chemical products","25556908265","1.3411144920638434","38","Chemicals"
"Plastics","69818559096","3.663771863472761","39","Chemicals"
"Rubber","17437745336","0.9150564198352297","40","Chemicals"
"Leather and skins","998107553","0.052376308201561736","41","Agriculture"
"Articles of leather","2645592230","0.13882908069140423","42","Agriculture"
"Furskins","137259520","0.00720277779835459","43","Agriculture"
"Wood","9462082718","0.4965286147540444","44","Agriculture"
"Cork","34749249","0.0018234882302276406","45","Agriculture"
"Manufactues of plaiting materials","47571961","0.0024963679350983484","46","Agriculture"
"Pulp of wood","1425402334","0.07479886484418724","47","Agriculture"
"Paper and paperboard","22944241380","1.2040131891176122","48","Agriculture"
"Products of the printing industry","4883715763","0.2562759907014883","49","Agriculture"
"Silk","48038656","0.0025208580424847292","50","Textiles"
"Wool","560810054","0.029428852774985945","51","Textiles"
"Cotton","897697349","0.047107220941898766","52","Textiles"
"Other vegetable textile fibres","47848930","0.0025109020538540633","53","Textiles"
"Man-made filaments","2079915379","0.10914483974821909","54","Textiles"
"Man-made staple fibres","1889380379","0.09914639834459557","55","Textiles"
"Wadding, felt and nonwovens","2749548676","0.14428425918280977","56","Textiles"
"Carpets","626556060","0.0328789149079971","57","Textiles"
"Special woven fabrics","583685482","0.03062925493963186","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2861083278","0.15013710607484257","59","Textiles"
"Knitted fabrics","841666416","0.04416696324441087","60","Textiles"
"Apparel, knit","10870004080","0.570410154832596","61","Textiles"
"Apparel, not knit","11996277584","0.629512050201939","62","Textiles"
"Other made up textile articles","2969841795","0.15584427619775695","63","Textiles"
"Footwear","8334903400","0.4373791862375024","64","Textiles"
"Headgear","497103840","0.02608582998271313","65","Textiles"
"Umbrellas and walking-sticks","107858962","0.00565996542059284","66","Textiles"
"Feathers and down","155293813","0.008149138424046867","67","Textiles"
"Articles of stone, plaster, cement, etc.","5466667298","0.2868667313205341","68","Stone"
"Ceramic products","3968683015","0.2082590840267324","69","Stone"
"Glass and glassware","7661000470","0.4020157151831806","70","Stone"
"Precious metals and stones","13128406020","0.6889211867318257","71","Stone"
"Iron and steel","28206483450","1.4801525807704718","72","Metals"
"Articles of iron or steel","32245761367","1.692116175732421","73","Metals"
"Copper","12861267033","0.6749029039588818","74","Metals"
"Nickel","1457824102","0.07650021707632242","75","Metals"
"Aluminium","17041627169","0.8942698752021688","76","Metals"
"Lead","483518952","0.025372954623105768","78","Metals"
"Zinc","897426044","0.047092984045029374","79","Metals"
"Tin","126027308","0.0066133605599727864","80","Metals"
"Other base metals","1816746369","0.09533488396196138","81","Metals"
"Metal tools and tableware","9740743772","0.5111515250849074","82","Metals"
"Miscellaneous articles of base metal","8554175454","0.448885622238086","83","Metals"
"Industrial Machinery","265271046225","13.920261431015673","84","Machinery"
"Electrical machinery and equipment","160994289020","8.448274411968933","85","Electronics"
"Trains","4602836868","0.2415366977990188","86","Vehicles"
"Vehicles","258145907464","13.54636538884733","87","Vehicles"
"Aircraft","41557989925","2.180781101201824","88","Vehicles"
"Ships","9022641298","0.47346865575336156","89","Vehicles"
"Apparatuses (optical, medical, etc.)","78667737614","4.128137953075338","90","Machinery"
"Clocks","1999085311","0.10490323217717491","91","Machinery"
"Musical instruments","749838625","0.03934824338959318","92","Machinery"
"Arms and ammunition","551719617","0.028951826498040338","93","Machinery"
"Furniture","17681184352","0.9278310320420776","94","Textiles"
"Toys","5854121144","0.3071986103760335","95","Machinery"
"Miscellaneous manufactured articles","2961091889","0.15538511949464093","96","Machinery"
"Art","1027277256","0.053907006321101986","97","Textiles"
"Other","63706779648","3.343052474999785","99","Other"
"Unspecified","136711094272","7.173998820709289","unspecified","Services"
"Travel and tourism","42898206720","2.2511098024533505","travel","Services"
"Transport","69401559040","3.641889528861148","transport","Services"
"ICT","55079178240","2.8903137806302053","ict","Services"
"Insurance and finance","38681346048","2.0298274431165537","financial","Services"
