"Name","Gross Import","Share","Code","Sector"
"Live animals","1753002816","0.11042517887394165","01","Agriculture"
"Meat","7255934134","0.4570659084694186","02","Agriculture"
"Fish","4390020600","0.2765362414656205","03","Agriculture"
"Diary products","8774156525","0.5527017953980784","04","Agriculture"
"Animal products","1027566901","0.06472850916850262","05","Agriculture"
"Plants","3293399712","0.20745788254397643","06","Agriculture"
"Vegetables","6592944868","0.41530287898575496","07","Agriculture"
"Fruits and nuts","11025852360","0.6945406521758102","08","Agriculture"
"Coffee, tea and spices","3717234436","0.2341560856406951","09","Agriculture"
"Cereals","2860165476","0.18016758525068594","10","Agriculture"
"Flours, starches and malts","692167330","0.043601014515397454","11","Agriculture"
"Oil seeds and oleaginous fruits","4981885633","0.31381901223000946","12","Agriculture"
"Lac and other vegetable extracts","582743556","0.03670819055257972","13","Agriculture"
"Other vegetable materials","42077425","0.002650541767401168","14","Agriculture"
"Animal or vegetable fats, oils or waxes","4319354149","0.27208481935674605","15","Agriculture"
"Preparations of meat or fish","3196412950","0.2013484910218955","16","Agriculture"
"Sugar and candy","1628196336","0.10256336727110905","17","Agriculture"
"Cocoa","4532526813","0.2855129949069413","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4591227913","0.28921069545164885","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","5455869204","0.3436761922261109","20","Agriculture"
"Miscellaneous edible preparations","4132004616","0.26028329484996826","21","Agriculture"
"Beverages","7775651672","0.48980396317975083","22","Agriculture"
"Food residues and animal feed","4492807662","0.2830110055696372","23","Agriculture"
"Tobacco","2491071136","0.15691758921881452","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1982772204","0.1248988155036595","25","Minerals"
"Ores, slag and ash","7808499909","0.4918731398024646","26","Minerals"
"Mineral fuels, oils and waxes","106091182694","6.682897322814668","27","Minerals"
"Inorganic chemicals","7134479362","0.44941522770565545","28","Chemicals"
"Organic chemicals","43305699847","2.7279132744223746","29","Chemicals"
"Pharmaceutical products","49950740656","3.1464977816810706","30","Chemicals"
"Fertilisers","1051574994","0.06624082731183367","31","Chemicals"
"Dyes, paints, inks, etc.","6511853232","0.4101947534717794","32","Chemicals"
"Essential oils","8162131296","0.5141490932741305","33","Chemicals"
"Soaps, waxes, and paints","4806519696","0.3027723585767039","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1977609336","0.12457359604753596","35","Chemicals"
"Explosives","289703651","0.018249016596051475","36","Chemicals"
"Photographic or cinematographic goods","916664558","0.05774254716573866","37","Chemicals"
"Miscellaneous chemical products","14924640141","0.940133148764511","38","Chemicals"
"Plastics","46051917928","2.9009030837104377","39","Chemicals"
"Rubber","15810954049","0.9959638473441547","40","Chemicals"
"Leather and skins","773290265","0.04871111161643608","41","Agriculture"
"Articles of leather","4668767605","0.2940950768575315","42","Agriculture"
"Furskins","173383615","0.010921783197058842","43","Agriculture"
"Wood","8976928997","0.5654748419025921","44","Agriculture"
"Cork","110866835","0.006983725282311684","45","Agriculture"
"Manufactues of plaiting materials","152246526","0.009590315379439876","46","Agriculture"
"Pulp of wood","3550404154","0.22364711009125698","47","Agriculture"
"Paper and paperboard","14955121930","0.942053258060401","48","Agriculture"
"Products of the printing industry","3538079561","0.22287075914980276","49","Agriculture"
"Silk","64213001","0.004044906292642028","50","Textiles"
"Wool","713097968","0.04491947756862264","51","Textiles"
"Cotton","928219900","0.05847044143701606","52","Textiles"
"Other vegetable textile fibres","90595048","0.005706764580858113","53","Textiles"
"Man-made filaments","1693829589","0.1066977380983854","54","Textiles"
"Man-made staple fibres","1596336204","0.10055643337292222","55","Textiles"
"Wadding, felt and nonwovens","1661328081","0.10465040263388102","56","Textiles"
"Carpets","1231199540","0.07755573932518697","57","Textiles"
"Special woven fabrics","346165848","0.02180568413042966","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1305244216","0.08221996263238047","59","Textiles"
"Knitted fabrics","572821768","0.03608319713862201","60","Textiles"
"Apparel, knit","20127131064","1.2678485326297775","61","Textiles"
"Apparel, not knit","20683801315","1.302914313174694","62","Textiles"
"Other made up textile articles","4454325470","0.2805869347716463","63","Textiles"
"Footwear","12545349888","0.7902568625529145","64","Textiles"
"Headgear","740454373","0.04664271263014179","65","Textiles"
"Umbrellas and walking-sticks","244100236","0.015376365615302798","66","Textiles"
"Feathers and down","267306681","0.016838186336161975","67","Textiles"
"Articles of stone, plaster, cement, etc.","3704575299","0.23335866109872863","68","Stone"
"Ceramic products","3478835854","0.21913887869706175","69","Stone"
"Glass and glassware","6011740238","0.37869162848214305","70","Stone"
"Precious metals and stones","17204160904","1.0837247538113903","71","Stone"
"Iron and steel","31013623584","1.9536106277380307","72","Metals"
"Articles of iron or steel","25587044323","1.6117794680272486","73","Metals"
"Copper","11281895616","0.7106693326806033","74","Metals"
"Nickel","1839360028","0.11586499362787012","75","Metals"
"Aluminium","18933682148","1.1926707811604884","76","Metals"
"Lead","660461328","0.04160378957641164","78","Metals"
"Zinc","1677897879","0.10569416759042007","79","Metals"
"Tin","431471345","0.027179249237786272","80","Metals"
"Other base metals","2157526440","0.13590693687867902","81","Metals"
"Metal tools and tableware","5882555896","0.37055404653255286","82","Metals"
"Miscellaneous articles of base metal","5129939872","0.32314524700579","83","Metals"
"Industrial Machinery","148876305545","9.378018403535878","84","Machinery"
"Electrical machinery and equipment","139288518872","8.77406440602489","85","Electronics"
"Trains","3128700667","0.19708315790663034","86","Vehicles"
"Vehicles","126930161844","7.99558660042795","87","Vehicles"
"Aircraft","19185239127","1.2085168620392674","88","Vehicles"
"Ships","2449882545","0.1543230368956649","89","Vehicles"
"Apparatuses (optical, medical, etc.)","40987650098","2.581894650929176","90","Machinery"
"Clocks","2418109349","0.1523215792712541","91","Machinery"
"Musical instruments","658823153","0.041500597632992756","92","Machinery"
"Arms and ammunition","350733726","0.022093423967822105","93","Machinery"
"Furniture","21438696096","1.350466656195534","94","Textiles"
"Toys","8115223544","0.5111942794781128","95","Machinery"
"Miscellaneous manufactured articles","2034286203","0.12814378607767543","96","Machinery"
"Art","1253961392","0.07898955423732582","97","Textiles"
"Other","47140642816","2.969484057685275","99","Other"
"Unspecified","135252008960","8.519796514957772","unspecified","Services"
"Travel and tourism","93908172800","5.915464986432186","travel","Services"
"Transport","72352686080","4.557641453551521","transport","Services"
"ICT","43929903104","2.767233095063166","ict","Services"
"Insurance and finance","20262504448","1.27637597480302","financial","Services"
