"Name","Gross Export","Share","Code","Sector"
"Live animals","2384644","0.015985654554083677","01","Agriculture"
"Meat","108113","0.0007247442682453434","02","Agriculture"
"Fish","82474218","0.5528726126693083","03","Agriculture"
"Diary products","9264306","0.06210402701590877","04","Agriculture"
"Animal products","35488","0.00023789668764617343","05","Agriculture"
"Plants","2994092","0.020071138675267886","06","Agriculture"
"Vegetables","6066093","0.04066454665390101","07","Agriculture"
"Fruits and nuts","521340598","3.494849002470561","08","Agriculture"
"Coffee, tea and spices","3046425","0.020421957187288488","09","Agriculture"
"Cereals","513801","0.003444306695482742","10","Agriculture"
"Flours, starches and malts","39636223","0.2657046371310041","11","Agriculture"
"Oil seeds and oleaginous fruits","27358942","0.18340288771708113","12","Agriculture"
"Lac and other vegetable extracts","152488","0.0010222156815202236","13","Agriculture"
"Other vegetable materials","1059252","0.007100781734180131","14","Agriculture"
"Animal or vegetable fats, oils or waxes","160492927","1.0758773592183024","15","Agriculture"
"Preparations of meat or fish","143779881","0.9638400991901765","16","Agriculture"
"Sugar and candy","645515","0.0043272621823128845","17","Agriculture"
"Cocoa","2445653352","16.394635695772124","18","Agriculture"
"Preparations of cereals, flour, starch or milk","25719361","0.17241182344105543","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","57837233","0.38771658457281205","20","Agriculture"
"Miscellaneous edible preparations","10183925","0.06826876760417766","21","Agriculture"
"Beverages","24060060","0.16128856454486565","22","Agriculture"
"Food residues and animal feed","13079695","0.08768079677418328","23","Agriculture"
"Tobacco","5598027","0.03752682824204929","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","24956580","0.1672984591122841","25","Minerals"
"Ores, slag and ash","422024357","2.8290745219878883","26","Minerals"
"Mineral fuels, oils and waxes","3874315008","25.97178503440763","27","Minerals"
"Inorganic chemicals","5528850","0.0370630946092354","28","Chemicals"
"Organic chemicals","1004550","0.006734082438428863","29","Chemicals"
"Pharmaceutical products","3608478","0.024189725080142263","30","Chemicals"
"Fertilisers","3138261","0.021037587265249322","31","Chemicals"
"Dyes, paints, inks, etc.","19398162","0.13003715301577634","32","Chemicals"
"Essential oils","11800330","0.07910446968360486","33","Chemicals"
"Soaps, waxes, and paints","11270620","0.0755535157156987","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1715618","0.011500784475488976","35","Chemicals"
"Explosives","3141628","0.02106015822296192","36","Chemicals"
"Photographic or cinematographic goods","1023969","0.006864259280668523","37","Chemicals"
"Miscellaneous chemical products","21225491","0.14228680124446758","38","Chemicals"
"Plastics","147210506","0.9868375722530754","39","Chemicals"
"Rubber","66555624","0.44616102608837255","40","Chemicals"
"Leather and skins","797675","0.005347279089217803","41","Agriculture"
"Articles of leather","2892640","0.01939104696102421","42","Agriculture"
"Furskins","7568","0.000050732702099477015","43","Agriculture"
"Wood","253462572","1.699106918425376","44","Agriculture"
"Cork","139574","0.0009356456346237323","45","Agriculture"
"Manufactues of plaiting materials","5377882","0.0360510683710544","46","Agriculture"
"Pulp of wood","348003","0.0023328663489329154","47","Agriculture"
"Paper and paperboard","32766448","0.219652542975952","48","Agriculture"
"Products of the printing industry","632765","0.0042417915227240454","49","Agriculture"
"Silk","8060","0.00005403086402243456","50","Textiles"
"Wool","237770","0.0015939104886618198","51","Textiles"
"Cotton","6503190","0.043594661861297304","52","Textiles"
"Other vegetable textile fibres","13645","0.00009147036471291807","53","Textiles"
"Man-made filaments","7097659","0.047579733040522196","54","Textiles"
"Man-made staple fibres","1219060","0.008172067629676065","55","Textiles"
"Wadding, felt and nonwovens","438596","0.0029401638755314776","56","Textiles"
"Carpets","487153","0.0032656696651514974","57","Textiles"
"Special woven fabrics","212305","0.0014232037948241898","58","Textiles"
"Impregnated, coated or laminated textile fabrics","101107","0.0006777789787489196","59","Textiles"
"Knitted fabrics","226973","0.0015215319230476477","60","Textiles"
"Apparel, knit","14622693","0.09802440907255654","61","Textiles"
"Apparel, not knit","6483946","0.04346565814575788","62","Textiles"
"Other made up textile articles","14600974","0.09787881399368518","63","Textiles"
"Footwear","1833750","0.012292691923218286","64","Textiles"
"Headgear","189630","0.0012712000923789412","65","Textiles"
"Umbrellas and walking-sticks","10107","0.00006775309462465834","66","Textiles"
"Feathers and down","2291433","0.01536080705204954","67","Textiles"
"Articles of stone, plaster, cement, etc.","381478","0.0025572687277357685","68","Stone"
"Ceramic products","10296594","0.06902405338811608","69","Stone"
"Glass and glassware","1443466","0.009676391459926492","70","Stone"
"Precious metals and stones","5933484490","39.77559474670155","71","Stone"
"Iron and steel","45288110","0.30359252025348127","72","Metals"
"Articles of iron or steel","17847516","0.11964227172881207","73","Metals"
"Copper","38952268","0.26111968928950735","74","Metals"
"Nickel","23184","0.00015541582524765794","75","Metals"
"Aluminium","141909444","0.9513014729855203","76","Metals"
"Lead","12731027","0.08534347254378946","78","Metals"
"Zinc","454528","0.003046965330321233","79","Metals"
"Other base metals","35333","0.00023685763256881893","81","Metals"
"Metal tools and tableware","4025801","0.02698728367399269","82","Metals"
"Miscellaneous articles of base metal","1173318","0.007865432420977033","83","Metals"
"Industrial Machinery","38602990","0.25877827587461555","84","Machinery"
"Electrical machinery and equipment","63261307","0.42407730476408045","85","Electronics"
"Trains","205532","0.00137780043973437","86","Vehicles"
"Vehicles","9611133","0.06442900995341608","87","Vehicles"
"Aircraft","596508","0.003998739781177965","88","Vehicles"
"Ships","551053","0.0036940285002673243","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4595585","0.030806876952672452","90","Machinery"
"Clocks","48292","0.00032372934061680026","91","Machinery"
"Musical instruments","585555","0.003925315456905294","92","Machinery"
"Arms and ammunition","5252","0.00003520720816945736","93","Machinery"
"Furniture","12893993","0.08643592834853885","94","Textiles"
"Toys","143479","0.0009618231189919217","95","Machinery"
"Miscellaneous manufactured articles","587558","0.003938742729937173","96","Machinery"
"Art","1740844","0.011669889013433138","97","Textiles"
"Other","21518290","0.14424960309991483","99","Other"
