"Name","Gross Import","Share","Code","Sector"
"Live animals","8682167","0.06188529805969017","01","Agriculture"
"Meat","238426166","1.6994690781851083","02","Agriculture"
"Fish","273718804","1.9510301713940672","03","Agriculture"
"Diary products","68847981","0.4907389854391059","04","Agriculture"
"Animal products","17167445","0.1223671982753082","05","Agriculture"
"Plants","1555517","0.011087512274517994","06","Agriculture"
"Vegetables","21402163","0.15255168857925364","07","Agriculture"
"Fruits and nuts","41184020","0.293554057759571","08","Agriculture"
"Coffee, tea and spices","74619613","0.5318783883797364","09","Agriculture"
"Cereals","515124330","3.6717357198782516","10","Agriculture"
"Flours, starches and malts","123742077","0.8820165884473463","11","Agriculture"
"Oil seeds and oleaginous fruits","15591054","0.111130898985786","12","Agriculture"
"Lac and other vegetable extracts","2618856","0.018666847128764968","13","Agriculture"
"Other vegetable materials","125261","0.000892843263698435","14","Agriculture"
"Animal or vegetable fats, oils or waxes","244308143","1.7413950051829699","15","Agriculture"
"Preparations of meat or fish","87047213","0.6204606202311401","16","Agriculture"
"Sugar and candy","176389971","1.2572835710341792","17","Agriculture"
"Cocoa","11399958","0.08125734032735715","18","Agriculture"
"Preparations of cereals, flour, starch or milk","116757983","0.8322349223187296","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","60316029","0.42992439933969434","20","Agriculture"
"Miscellaneous edible preparations","122494610","0.8731248144104466","21","Agriculture"
"Beverages","147297595","1.0499170967398495","22","Agriculture"
"Food residues and animal feed","64859861","0.46231221192762983","23","Agriculture"
"Tobacco","16455506","0.11729259452542436","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","222980034","1.5893711633800465","25","Minerals"
"Ores, slag and ash","11315272","0.08065371011021402","26","Minerals"
"Mineral fuels, oils and waxes","891975718","6.357880834408753","27","Minerals"
"Inorganic chemicals","108804275","0.7755419803078536","28","Chemicals"
"Organic chemicals","125723847","0.8961423737651998","29","Chemicals"
"Pharmaceutical products","268746372","1.9155873566680268","30","Chemicals"
"Fertilisers","100523816","0.7165200018909395","31","Chemicals"
"Dyes, paints, inks, etc.","91531078","0.6524209962506767","32","Chemicals"
"Essential oils","139702270","0.9957786597015829","33","Chemicals"
"Soaps, waxes, and paints","127161653","0.9063908581426613","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","28405697","0.20247192036714415","35","Chemicals"
"Explosives","29061564","0.20714685057552587","36","Chemicals"
"Photographic or cinematographic goods","5001431","0.0356495156289869","37","Chemicals"
"Miscellaneous chemical products","300512179","2.142009681221516","38","Chemicals"
"Plastics","756973965","5.395606816529845","39","Chemicals"
"Rubber","204467756","1.4574181795461896","40","Chemicals"
"Leather and skins","6223613","0.044361061646609946","41","Agriculture"
"Articles of leather","96128730","0.6851924304323426","42","Agriculture"
"Furskins","202388","0.0014425939634315457","43","Agriculture"
"Wood","44196430","0.3150261039351388","44","Agriculture"
"Cork","167728","0.00119554222729829","45","Agriculture"
