"Name","Gross Import","Share","Code","Sector"
"Live animals","71211213","0.08359621147720048","01","Agriculture"
"Meat","1239275324","1.4548091192264923","02","Agriculture"
"Fish","421146434","0.49439189246127363","03","Agriculture"
"Diary products","862952588","1.013036627268875","04","Agriculture"
"Animal products","29323439","0.03442334857970736","05","Agriculture"
"Plants","64622111","0.07586113801009292","06","Agriculture"
"Vegetables","237643245","0.2789739723314103","07","Agriculture"
"Fruits and nuts","376364771","0.44182183765194577","08","Agriculture"
"Coffee, tea and spices","278757481","0.3272387641048565","09","Agriculture"
"Cereals","442896122","0.5199242691897971","10","Agriculture"
"Flours, starches and malts","79794667","0.09367249308454823","11","Agriculture"
"Oil seeds and oleaginous fruits","255871385","0.30037233618565357","12","Agriculture"
"Lac and other vegetable extracts","19614594","0.023025948849704717","13","Agriculture"
"Other vegetable materials","5576493","0.006546352301696197","14","Agriculture"
"Animal or vegetable fats, oils or waxes","353488804","0.4149673003605018","15","Agriculture"
"Preparations of meat or fish","209325640","0.24573139161441238","16","Agriculture"
"Sugar and candy","199325958","0.2339925727408067","17","Agriculture"
"Cocoa","186458805","0.21888757455326716","18","Agriculture"
"Preparations of cereals, flour, starch or milk","368421699","0.4324973127812539","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","303405292","0.35617330311918377","20","Agriculture"
"Miscellaneous edible preparations","409032387","0.48017097988031887","21","Agriculture"
"Beverages","393417766","0.4618406762067621","22","Agriculture"
"Food residues and animal feed","540123018","0.6340607909098777","23","Agriculture"
"Tobacco","414201376","0.4862389554050066","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","105188425","0.12348271361777874","25","Minerals"
"Ores, slag and ash","45004672","0.05283184936021301","26","Minerals"
"Mineral fuels, oils and waxes","16994891089","19.950629257053013","27","Minerals"
"Inorganic chemicals","215462171","0.25293518328711423","28","Chemicals"
"Organic chemicals","1572891798","1.846447909493721","29","Chemicals"
"Pharmaceutical products","3241870637","3.805694243017298","30","Chemicals"
"Fertilisers","254886964","0.29921670545515894","31","Chemicals"
"Dyes, paints, inks, etc.","339619022","0.3986852967213464","32","Chemicals"
"Essential oils","619129689","0.7268082403463253","33","Chemicals"
"Soaps, waxes, and paints","340216516","0.39938670641058116","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","96694272","0.11351126417051685","35","Chemicals"
"Explosives","12397611","0.014553793810085314","36","Chemicals"
"Photographic or cinematographic goods","45514715","0.05343059863991516","37","Chemicals"
"Miscellaneous chemical products","756633841","0.8882270069327772","38","Chemicals"
"Plastics","2109986065","2.476953191398187","39","Chemicals"
"Rubber","449605430","0.5278004547904226","40","Chemicals"
"Leather and skins","25331786","0.029737470411453127","41","Agriculture"
"Articles of leather","267886340","0.314476922763459","42","Agriculture"
"Furskins","148192776","0.17396634771393935","43","Agriculture"
"Wood","390576736","0.4585055364908712","44","Agriculture"
"Cork","7243458","0.008503234550915733","45","Agriculture"
"Manufactues of plaiting materials","13319787","0.01563635393885603","46","Agriculture"
"Pulp of wood","88540729","0.10393966334809515","47","Agriculture"
"Paper and paperboard","1117446874","1.3117923604733512","48","Agriculture"
"Products of the printing industry","103098373","0.12102916140837675","49","Agriculture"
"Silk","2260356","0.00265347534790285","50","Textiles"
"Wool","9456311","0.011100945214206324","51","Textiles"
"Cotton","107690312","0.1264197268483223","52","Textiles"
"Other vegetable textile fibres","16698212","0.01960235197289964","53","Textiles"
"Man-made filaments","169075184","0.19848060778308302","54","Textiles"
"Man-made staple fibres","117142761","0.13751613838650878","55","Textiles"
"Wadding, felt and nonwovens","118617249","0.13924706818640692","56","Textiles"
"Carpets","52272087","0.06136320749383418","57","Textiles"
"Special woven fabrics","35562657","0.0417476864951471","58","Textiles"
"Impregnated, coated or laminated textile fabrics","56775182","0.06664947725477652","59","Textiles"
"Knitted fabrics","154385022","0.1812355442958716","60","Textiles"
"Apparel, knit","1426819579","1.6749709243949287","61","Textiles"
"Apparel, not knit","1134739094","1.3320920298530916","62","Textiles"
"Other made up textile articles","227308179","0.2668414397347977","63","Textiles"
"Footwear","916552777","1.0759589192239623","64","Textiles"
"Headgear","34283959","0.04024659833893955","65","Textiles"
"Umbrellas and walking-sticks","19854785","0.02330791368059336","66","Textiles"
"Feathers and down","24833112","0.029152067419340334","67","Textiles"
"Articles of stone, plaster, cement, etc.","101106827","0.11869124728546222","68","Stone"
"Ceramic products","284537210","0.3340236990527405","69","Stone"
"Glass and glassware","257572174","0.30236892507850244","70","Stone"
"Precious metals and stones","164549794","0.19316816549317556","71","Stone"
"Iron and steel","1602193240","1.8808454353723902","72","Metals"
"Articles of iron or steel","675974200","0.7935391042465659","73","Metals"
"Copper","771966017","0.9062257429928083","74","Metals"
"Nickel","4584242","0.005381529783724712","75","Metals"
"Aluminium","1203560622","1.4128829441838455","76","Metals"
"Lead","100021836","0.1174175554992142","78","Metals"
"Zinc","98890645","0.11608962864509495","79","Metals"
"Tin","2941950","0.0034536116433706854","80","Metals"
"Other base metals","26118805","0.03066136714047774","81","Metals"
"Metal tools and tableware","170065741","0.1996434416818992","82","Metals"
"Miscellaneous articles of base metal","237470958","0.2787717213111001","83","Metals"
"Industrial Machinery","5042929918","5.919992345725515","84","Machinery"
"Electrical machinery and equipment","3497182044","4.1054092102671","85","Electronics"
"Trains","8905048","0.010453806984338563","86","Vehicles"
"Vehicles","2401800651","2.8195199419938795","87","Vehicles"
"Aircraft","96027317","0.1127283128784812","88","Vehicles"
"Ships","1543230352","1.811627768000898","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1270537704","1.4915086279086518","90","Machinery"
"Clocks","153769541","0.18051301932166286","91","Machinery"
"Musical instruments","13860032","0.016270557926779956","92","Machinery"
"Arms and ammunition","25277007","0.02967316429061076","93","Machinery"
"Furniture","708927700","0.8322238511966555","94","Textiles"
"Toys","468072733","0.5494795766865984","95","Machinery"
"Miscellaneous manufactured articles","139706737","0.1640044234472123","96","Machinery"
"Art","14449874","0.016962984786158618","97","Textiles"
"Other","1287924096","1.5119188476089889","99","Other"
"Travel and tourism","2909327360","3.415315299333061","travel","Services"
"Transport","14673850368","17.2259149489298","transport","Services"
"ICT","1592595968","1.8695790133312966","ict","Services"
"Insurance and finance","1886601216","2.2147174241489127","financial","Services"
