"Name","Gross Export","Share","Code","Sector"
"Live animals","2517954","0.020462145469914653","01","Agriculture"
"Meat","10728189","0.0871825950540551","02","Agriculture"
"Fish","49487550","0.40216042352230225","03","Agriculture"
"Diary products","5511855","0.04479207277776975","04","Agriculture"
"Animal products","1071135","0.008704575297212355","05","Agriculture"
"Plants","100587349","0.8174227836056872","06","Agriculture"
"Vegetables","388773307","3.159365088740219","07","Agriculture"
"Fruits and nuts","1811791947","14.723521708789717","08","Agriculture"
"Coffee, tea and spices","985798503","8.011088515679834","09","Agriculture"
"Cereals","1788599","0.014535044296021246","10","Agriculture"
"Flours, starches and malts","11870572","0.09646616700507465","11","Agriculture"
"Oil seeds and oleaginous fruits","83178675","0.6759512476577226","12","Agriculture"
"Lac and other vegetable extracts","3332397","0.02708071401523109","13","Agriculture"
"Other vegetable materials","1263729","0.010269689848404609","14","Agriculture"
"Animal or vegetable fats, oils or waxes","424772765","3.4519145739310058","15","Agriculture"
"Preparations of meat or fish","97054295","0.7887114310944563","16","Agriculture"
"Sugar and candy","502637630","4.084683160896958","17","Agriculture"
"Cocoa","6687284","0.05434419294658788","18","Agriculture"
"Preparations of cereals, flour, starch or milk","115756151","0.9406920066051273","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","100825833","0.8193608231013441","20","Agriculture"
"Miscellaneous edible preparations","110280558","0.8961946168593073","21","Agriculture"
"Beverages","276011413","2.2430059024758564","22","Agriculture"
"Food residues and animal feed","47030297","0.38219156454299436","23","Agriculture"
"Tobacco","64093429","0.5208550544861609","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","25218113","0.20493491806551903","25","Minerals"
"Ores, slag and ash","65157371","0.5295011758909013","26","Minerals"
"Mineral fuels, oils and waxes","321090694","2.609342541469722","27","Minerals"
"Inorganic chemicals","14105123","0.11462523886339425","28","Chemicals"
"Organic chemicals","13545823","0.11008008912621746","29","Chemicals"
"Pharmaceutical products","88238666","0.7170712490232992","30","Chemicals"
"Fertilisers","21421783","0.17408405394655532","31","Chemicals"
