"Name","Gross Import","Share","Code","Sector"
"Live animals","15414407","0.07759291685607961","01","Agriculture"
"Meat","221207995","1.1135150099471924","02","Agriculture"
"Fish","32609020","0.16414702022713148","03","Agriculture"
"Diary products","170604433","0.8587872102408873","04","Agriculture"
"Animal products","3822586","0.019242102383388082","05","Agriculture"
"Plants","5594712","0.028162615859936155","06","Agriculture"
"Vegetables","21519182","0.10832308370583735","07","Agriculture"
"Fruits and nuts","69366203","0.3491750296979274","08","Agriculture"
"Coffee, tea and spices","9137416","0.04599585050319559","09","Agriculture"
"Cereals","398296206","2.004940209263318","10","Agriculture"
"Flours, starches and malts","69412882","0.3494100020692891","11","Agriculture"
"Oil seeds and oleaginous fruits","54132678","0.2724926351854424","12","Agriculture"
"Lac and other vegetable extracts","4773587","0.024029243499037137","13","Agriculture"
"Other vegetable materials","167587","0.0008435980804944242","14","Agriculture"
"Animal or vegetable fats, oils or waxes","128595510","0.647323034580257","15","Agriculture"
"Preparations of meat or fish","62516988","0.3146975068179092","16","Agriculture"
"Sugar and candy","62484072","0.31453181452424944","17","Agriculture"
"Cocoa","34405232","0.17318877761500198","18","Agriculture"
"Preparations of cereals, flour, starch or milk","232164426","1.1686674033945939","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","112883464","0.5682318649415613","20","Agriculture"
"Miscellaneous edible preparations","333541192","1.6789769453300205","21","Agriculture"
"Beverages","155517739","0.7828439324245486","22","Agriculture"
"Food residues and animal feed","260521739","1.311412215431205","23","Agriculture"
"Tobacco","2301037","0.011582941375802706","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","33326778","0.16776006462233825","25","Minerals"
"Ores, slag and ash","285810","0.0014387080584180834","26","Minerals"
"Mineral fuels, oils and waxes","2478744826","12.47748558807715","27","Minerals"
"Inorganic chemicals","119975624","0.6039323223908821","28","Chemicals"
"Organic chemicals","219109748","1.1029528712275831","29","Chemicals"
"Pharmaceutical products","332037983","1.671410104065591","30","Chemicals"
"Fertilisers","193834521","0.9757226386841231","31","Chemicals"
"Dyes, paints, inks, etc.","165239832","0.8317829252652122","32","Chemicals"
"Essential oils","243003495","1.2232290209588834","33","Chemicals"
"Soaps, waxes, and paints","128604373","0.6473676490777265","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","43505106","0.21899564950328157","35","Chemicals"
"Explosives","13029075","0.06558565199339977","36","Chemicals"
"Photographic or cinematographic goods","8553794","0.043058018816165465","37","Chemicals"
"Miscellaneous chemical products","255586272","1.2865681017019566","38","Chemicals"
"Plastics","949343091","4.77879554678014","39","Chemicals"
"Rubber","163713735","0.8241008705721374","40","Chemicals"
"Leather and skins","21399221","0.10771922499761898","41","Agriculture"
"Articles of leather","37071938","0.18661242063530165","42","Agriculture"
"Furskins","423741","0.002133024006795203","43","Agriculture"
"Wood","72887529","0.3669006519382868","44","Agriculture"
"Cork","1378154","0.006937340420353085","45","Agriculture"
"Manufactues of plaiting materials","180277","0.0009074768995046947","46","Agriculture"
"Pulp of wood","22297628","0.11224161886291134","47","Agriculture"
"Paper and paperboard","684046225","3.443346335810397","48","Agriculture"
"Products of the printing industry","60011660","0.302086207064295","49","Agriculture"
"Silk","373849","0.0018818780621095907","50","Textiles"
"Wool","5783098","0.029110911777829682","51","Textiles"
"Cotton","368075308","1.8528144981782235","52","Textiles"
"Other vegetable textile fibres","1582039","0.007963655078659551","53","Textiles"
"Man-made filaments","114384652","0.5757885329125928","54","Textiles"
"Man-made staple fibres","172456695","0.8681111116638662","55","Textiles"
"Wadding, felt and nonwovens","28040487","0.14114997588911343","56","Textiles"
"Carpets","7297837","0.03673579266268378","57","Textiles"
"Special woven fabrics","40371989","0.20322419057648863","58","Textiles"
"Impregnated, coated or laminated textile fabrics","26267079","0.13222300909136983","59","Textiles"
"Knitted fabrics","262165840","1.3196882777017807","60","Textiles"
"Apparel, knit","151305539","0.7616405942499969","61","Textiles"
"Apparel, not knit","108805561","0.5477045499156795","62","Textiles"
"Other made up textile articles","124920073","0.6288216496388344","63","Textiles"
"Footwear","118092732","0.5944542359224907","64","Textiles"
"Headgear","8965196","0.045128930864901745","65","Textiles"
"Umbrellas and walking-sticks","7804519","0.039286324402144926","66","Textiles"
"Feathers and down","2655469","0.013367078300897135","67","Textiles"
"Articles of stone, plaster, cement, etc.","29958643","0.1508055739945086","68","Stone"
"Ceramic products","63712253","0.32071422207435607","69","Stone"
"Glass and glassware","69767808","0.35119662568757437","70","Stone"
"Precious metals and stones","26118043","0.13147279288411887","71","Stone"
"Iron and steel","502046502","2.527197607249608","72","Metals"
"Articles of iron or steel","205049446","1.032176237130834","73","Metals"
"Copper","7915121","0.03984307185211924","74","Metals"
"Nickel","1026421","0.005166789699554066","75","Metals"
"Aluminium","167397566","0.8426445091626359","76","Metals"
"Lead","300941","0.0015148743634176426","78","Metals"
"Zinc","23383477","0.11770755674655858","79","Metals"
"Tin","216477","0.0010897001657120867","80","Metals"
"Other base metals","125218","0.0006303213521535131","81","Metals"
"Metal tools and tableware","67645582","0.34051378167237417","82","Metals"
"Miscellaneous articles of base metal","51903334","0.2612705814511924","83","Metals"
"Industrial Machinery","1107276356","5.57379873437952","84","Machinery"
"Electrical machinery and equipment","1128215287","5.679200955310769","85","Electronics"
"Trains","42778404","0.2153375828734627","86","Vehicles"
"Vehicles","958884159","4.826823297444969","87","Vehicles"
"Aircraft","4438350","0.022341730209159583","88","Vehicles"
"Ships","3630035","0.018272840722296936","89","Vehicles"
"Apparatuses (optical, medical, etc.)","175840627","0.8851451211020902","90","Machinery"
"Clocks","10528556","0.05299855974495665","91","Machinery"
"Musical instruments","11706301","0.05892708296759269","92","Machinery"
"Arms and ammunition","8253310","0.04154544489563889","93","Machinery"
"Furniture","113486719","0.5712685250646535","94","Textiles"
"Toys","91264702","0.45940751623989706","95","Machinery"
"Miscellaneous manufactured articles","55570103","0.2797283334845629","96","Machinery"
"Art","1758709","0.008852975090838001","97","Textiles"
"Other","1197812480","6.029538740596023","99","Other"
"Unspecified","415","0.000002089023631935568","unspecified","Services"
"Travel and tourism","843332096","4.245158260515073","travel","Services"
"Transport","1660239616","8.357300704818392","transport","Services"
"ICT","353530880","1.7796008745517529","ict","Services"
"Insurance and finance","622697216","3.1345281922035824","financial","Services"
