"Name","Gross Export","Share","Code","Sector"
"Live animals","93279","0.004361462997413671","01","Agriculture"
"Fish","39696915","1.856115801884408","03","Agriculture"
"Diary products","4281","0.00020016748777246671","04","Agriculture"
"Plants","16123","0.0007538660138648636","06","Agriculture"
"Vegetables","6139094","0.2870467234709236","07","Agriculture"
"Fruits and nuts","54437299","2.5453345905042313","08","Agriculture"
"Coffee, tea and spices","14835877","0.6936837720138567","09","Agriculture"
"Cereals","29215","0.0013660110150134584","10","Agriculture"
"Flours, starches and malts","55438","0.0025921245473324015","11","Agriculture"
"Oil seeds and oleaginous fruits","3552823","0.16611998467886907","12","Agriculture"
"Lac and other vegetable extracts","3287","0.00015369085080777813","13","Agriculture"
"Animal or vegetable fats, oils or waxes","2183917","0.10211380037224531","15","Agriculture"
"Preparations of meat or fish","567945","0.026555506620633874","16","Agriculture"
"Cocoa","13529290","0.6325914484104547","18","Agriculture"
"Preparations of cereals, flour, starch or milk","37901","0.0017721438808839666","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","74165","0.003467746258034337","20","Agriculture"
"Miscellaneous edible preparations","34182","0.0015982539282967665","21","Agriculture"
"Beverages","9644","0.00045092624435357837","22","Agriculture"
"Food residues and animal feed","2222720","0.10392811922952984","23","Agriculture"
"Tobacco","5806","0.0002714721873410282","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","14294","0.0006683471315626347","25","Minerals"
"Ores, slag and ash","912602973","42.67074151812527","26","Minerals"
"Mineral fuels, oils and waxes","104166678","4.870540117931203","27","Minerals"
"Inorganic chemicals","62035074","2.900585124120315","28","Chemicals"
"Organic chemicals","4278566","0.2000536807962373","29","Chemicals"
"Pharmaceutical products","135660","0.00634307904489905","30","Chemicals"
"Fertilisers","117706","0.005503600634371868","31","Chemicals"
"Dyes, paints, inks, etc.","97979","0.004581221743624975","32","Chemicals"
"Essential oils","33637","0.001572771265172264","33","Chemicals"
"Soaps, waxes, and paints","8306","0.00038836513745342413","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","63690","0.0029779647970633975","35","Chemicals"
"Explosives","128240","0.0059961407689654595","36","Chemicals"
"Miscellaneous chemical products","4002144","0.1871289675738498","38","Chemicals"
"Plastics","330065","0.015432908631539179","39","Chemicals"
"Rubber","21633447","1.0115189763720642","40","Chemicals"
"Leather and skins","16494","0.000771212927661543","41","Agriculture"
"Articles of leather","4185","0.00019567879848815073","42","Agriculture"
"Wood","2004402","0.09372018519647461","44","Agriculture"
"Paper and paperboard","384224","0.017965230745594078","48","Agriculture"
"Products of the printing industry","15914","0.0007440937632354673","49","Agriculture"
"Cotton","1744525","0.08156906951793097","52","Textiles"
"Man-made filaments","20731","0.0009693230995120317","54","Textiles"
"Wadding, felt and nonwovens","779044","0.03642590057094454","56","Textiles"
"Carpets","1174","0.00005489292937278111","57","Textiles"
"Apparel, knit","6599","0.0003085506311166802","61","Textiles"
"Apparel, not knit","28069","0.0013124272866819361","62","Textiles"
"Other made up textile articles","94301","0.004409248835419617","63","Textiles"
"Footwear","49012","0.002291662908363499","64","Textiles"
"Headgear","1189","0.000055594287073455485","65","Textiles"
"Articles of stone, plaster, cement, etc.","84283","0.0039408354057292256","68","Stone"
"Ceramic products","6015","0.0002812444379704245","69","Stone"
"Glass and glassware","18055","0.0008442008857117232","70","Stone"
"Precious metals and stones","741085711","34.65107801797298","71","Stone"
"Iron and steel","13731124","0.6420286370876488","72","Metals"
"Articles of iron or steel","671572","0.03140081291715278","73","Metals"
"Copper","8030160","0.37546763690982277","74","Metals"
"Nickel","9752","0.0004559760197984339","75","Metals"
"Aluminium","7547404","0.3528953277000389","76","Metals"
"Lead","746438","0.03490133595839862","78","Metals"
"Metal tools and tableware","596299","0.027881259703628623","82","Metals"
"Miscellaneous articles of base metal","26291","0.0012292930205620002","83","Metals"
"Industrial Machinery","3327047","0.15556333559703855","84","Machinery"
"Electrical machinery and equipment","700972","0.03277547401047455","85","Electronics"
"Trains","8973","0.00041955217654341136","86","Vehicles"
"Vehicles","2145117","0.10029962178650094","87","Vehicles"
"Aircraft","126130","0.005897483119070597","88","Vehicles"
"Ships","36054","0.0016857833693409284","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1044018","0.04881533759617734","90","Machinery"
"Musical instruments","139840","0.006538524057486977","92","Machinery"
"Arms and ammunition","62266","0.002911382572679377","93","Machinery"
"Furniture","232872","0.010888438031429542","94","Textiles"
"Toys","25790","0.001205867673359476","95","Machinery"
"Miscellaneous manufactured articles","1919","0.00008972702850627508","96","Machinery"
"Art","165578","0.007741960357484114","97","Textiles"
"Other","1811763","0.08471292878979389","99","Other"
"Unspecified","42449996","1.984842105879762","unspecified","Services"
"Travel and tourism","6430000","0.30064866768908227","travel","Services"
"Transport","1250000","0.05844647505619795","transport","Services"
"ICT","36930000","1.726742659060312","ict","Services"
"Insurance and finance","16940000","0.7920666299615946","financial","Services"
