"Name","Gross Import","Share","Code","Sector"
"Live animals","1750127","0.03371066158693364","01","Agriculture"
"Meat","48010298","0.924766550407963","02","Agriculture"
"Fish","8407227","0.16193863889965204","03","Agriculture"
"Diary products","20801400","0.40067318310867805","04","Agriculture"
"Animal products","129753","0.0024992811795312","05","Agriculture"
"Plants","18492","0.0003561898959707363","06","Agriculture"
"Vegetables","26632700","0.5129947351514077","07","Agriculture"
"Fruits and nuts","4250155","0.08186579425208225","08","Agriculture"
"Coffee, tea and spices","13345160","0.2570523011092814","09","Agriculture"
"Cereals","391908417","7.54887617787616","10","Agriculture"
"Flours, starches and malts","2847241","0.05484309299121866","11","Agriculture"
"Oil seeds and oleaginous fruits","376950","0.00726074958285578","12","Agriculture"
"Lac and other vegetable extracts","297194","0.005724502484486644","13","Agriculture"
"Other vegetable materials","10414","0.00020059277399087436","14","Agriculture"
"Animal or vegetable fats, oils or waxes","66242946","1.275960850342586","15","Agriculture"
"Preparations of meat or fish","13181721","0.25390416567733454","16","Agriculture"
"Sugar and candy","69425473","1.3372621677259986","17","Agriculture"
"Cocoa","4505702","0.0867880989971414","18","Agriculture"
"Preparations of cereals, flour, starch or milk","64443860","1.2413071484616427","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","12982396","0.2500647999508384","20","Agriculture"
"Miscellaneous edible preparations","61681003","1.1880894463519724","21","Agriculture"
"Beverages","33045961","0.6365259253105673","22","Agriculture"
"Food residues and animal feed","4397595","0.08470575954853074","23","Agriculture"
"Tobacco","119860444","2.3087323750468456","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","56855243","1.0951364422215517","25","Minerals"
"Ores, slag and ash","2048622","0.03946022372179114","26","Minerals"
"Mineral fuels, oils and waxes","351678515","6.773974349610266","27","Minerals"
"Inorganic chemicals","34435510","0.6632911921154689","28","Chemicals"
"Organic chemicals","7414219","0.14281148033280644","29","Chemicals"
"Pharmaceutical products","140709786","2.7103290091609655","30","Chemicals"
"Fertilisers","9483212","0.18266408694291794","31","Chemicals"
"Dyes, paints, inks, etc.","11287928","0.217426232968049","32","Chemicals"
"Essential oils","44126168","0.8499510701658682","33","Chemicals"
"Soaps, waxes, and paints","21837951","0.4206390598585355","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3681223","0.07090711861427006","35","Chemicals"
"Explosives","10973063","0.2113613545560424","36","Chemicals"
"Photographic or cinematographic goods","639017","0.012308641507329226","37","Chemicals"
"Miscellaneous chemical products","40609242","0.7822086136399771","38","Chemicals"
"Plastics","123700175","2.3826926489731712","39","Chemicals"
"Rubber","58732039","1.1312869814816802","40","Chemicals"
"Articles of leather","19884305","0.383008248399329","42","Agriculture"
"Wood","5864564","0.11296227779979047","44","Agriculture"
"Cork","1938","0.000037329440752286774","45","Agriculture"
"Manufactues of plaiting materials","379801","0.007315665081093534","46","Agriculture"
"Pulp of wood","98614","0.0018994868268039256","47","Agriculture"
"Paper and paperboard","51493923","0.9918675684888119","48","Agriculture"
"Products of the printing industry","17693179","0.34080313581016747","49","Agriculture"
"Silk","708392","0.013644931472339491","50","Textiles"
"Cotton","62496015","1.2037880749208079","52","Textiles"
"Other vegetable textile fibres","110275","0.0021240991119496513","53","Textiles"
"Man-made filaments","22089713","0.4254884585492874","54","Textiles"
