"Name","Gross Export","Share","Code","Sector"
"Live animals","173030","0.0015922116628341177","01","Agriculture"
"Meat","12205745","0.11231653206137213","02","Agriculture"
"Fish","257039439","2.3652614724853422","03","Agriculture"
"Diary products","15388395","0.14160308611973774","04","Agriculture"
"Animal products","1312620","0.012078650366233137","05","Agriculture"
"Plants","13500356","0.12422946469174455","06","Agriculture"
"Vegetables","117893774","1.0848514242520353","07","Agriculture"
"Fruits and nuts","521280227","4.796789325748231","08","Agriculture"
"Coffee, tea and spices","878939971","8.087952798689715","09","Agriculture"
"Cereals","6613708","0.06085894360619146","10","Agriculture"
"Flours, starches and malts","19920346","0.18330582690221905","11","Agriculture"
"Oil seeds and oleaginous fruits","5925816","0.05452900275679951","12","Agriculture"
"Lac and other vegetable extracts","1245224","0.011458476423978221","13","Agriculture"
"Other vegetable materials","85122","0.0007832875291207639","14","Agriculture"
"Animal or vegetable fats, oils or waxes","323028150","2.9724856259245724","15","Agriculture"
"Preparations of meat or fish","45110937","0.4151081316117155","16","Agriculture"
"Sugar and candy","53992535","0.4968360627231076","17","Agriculture"
"Cocoa","1831103","0.016849699777209393","18","Agriculture"
"Preparations of cereals, flour, starch or milk","41309464","0.3801272054916842","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","79517879","0.7317187444236963","20","Agriculture"
"Miscellaneous edible preparations","9774859","0.0899476651584063","21","Agriculture"
"Beverages","14434132","0.1328220153342608","22","Agriculture"
"Food residues and animal feed","28099774","0.2585724318661672","23","Agriculture"
"Tobacco","131269587","1.20793485174142","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","24049775","0.22130458442776624","25","Minerals"
"Ores, slag and ash","55722765","0.5127575352156549","26","Minerals"
"Mineral fuels, oils and waxes","33644789","0.3095973267028436","27","Minerals"
"Inorganic chemicals","654842","0.006025816735326934","28","Chemicals"
"Organic chemicals","7264694","0.06684927766122081","29","Chemicals"
"Pharmaceutical products","7812531","0.0718904408163503","30","Chemicals"
"Fertilisers","2596872","0.023896260101065485","31","Chemicals"
"Dyes, paints, inks, etc.","2125314","0.01955701172042207","32","Chemicals"
"Essential oils","2253589","0.020737390562530638","33","Chemicals"
"Soaps, waxes, and paints","66277146","0.609878314977516","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","557172","0.005127063264200492","35","Chemicals"
"Explosives","1696532","0.015611385521419935","36","Chemicals"
"Photographic or cinematographic goods","29305","0.00026966284909757745","37","Chemicals"
"Miscellaneous chemical products","14224997","0.130897567630933","38","Chemicals"
"Plastics","90990765","0.8372915520036897","39","Chemicals"
"Rubber","683494","0.006289470717662501","40","Chemicals"
"Leather and skins","436736","0.004018818429055777","41","Agriculture"
"Articles of leather","1118809","0.010295213190104471","42","Agriculture"
"Wood","47202574","0.4343552496017482","44","Agriculture"
"Manufactues of plaiting materials","3202","0.000029464611595647256","46","Agriculture"
"Pulp of wood","8505800","0.07826986049664474","47","Agriculture"
"Paper and paperboard","67842843","0.6242857646906548","48","Agriculture"
"Products of the printing industry","12035108","0.1107463406407455","49","Agriculture"
"Silk","1427","0.000013131168253275653","50","Textiles"
"Wool","6995","0.00006436756967881092","51","Textiles"
"Cotton","11886002","0.10937427618834682","52","Textiles"
"Man-made filaments","24846245","0.22863365350883594","54","Textiles"
"Man-made staple fibres","8616128","0.07928509212316709","55","Textiles"
"Wadding, felt and nonwovens","2335733","0.021493274714595865","56","Textiles"
"Carpets","45893","0.0004223046283444846","57","Textiles"
"Special woven fabrics","27487777","0.25294087224633544","58","Textiles"
"Impregnated, coated or laminated textile fabrics","197142","0.0018140888379728581","59","Textiles"
"Knitted fabrics","81094996","0.7462312802906209","60","Textiles"
"Apparel, knit","2926548808","26.929926278396145","61","Textiles"
"Apparel, not knit","542005430","4.987501398401554","62","Textiles"
"Other made up textile articles","40808997","0.3755219382301481","63","Textiles"
"Footwear","5477727","0.05040571470393193","64","Textiles"
"Headgear","1588467","0.014616977884916619","65","Textiles"
"Feathers and down","1905","0.000017529695530826992","67","Textiles"
"Articles of stone, plaster, cement, etc.","7902971","0.0727226642619188","68","Stone"
"Ceramic products","632201","0.005817475613797561","69","Stone"
"Glass and glassware","1345477","0.01238099850589528","70","Stone"
"Precious metals and stones","101510815","0.9340964199664595","71","Stone"
"Iron and steel","50925175","0.46861040031710366","72","Metals"
"Articles of iron or steel","32565664","0.29966728329617504","73","Metals"
"Copper","18550975","0.1707049572440857","74","Metals"
"Aluminium","15674818","0.14423873335492204","76","Metals"
"Lead","10384450","0.09555708491081173","78","Metals"
