"Name","Gross Import","Share","Code","Sector"
"Live animals","17057021","0.13313645483837017","01","Agriculture"
"Meat","89579200","0.6991992983568073","02","Agriculture"
"Fish","3294734","0.025716636240023544","03","Agriculture"
"Diary products","68203156","0.532351246951523","04","Agriculture"
"Animal products","4016933","0.03135367066401916","05","Agriculture"
"Plants","320682","0.002503043445304911","06","Agriculture"
"Vegetables","29854349","0.233024406041796","07","Agriculture"
"Fruits and nuts","30348517","0.23688157287148848","08","Agriculture"
"Coffee, tea and spices","3140851","0.024515521632737028","09","Agriculture"
"Cereals","252577155","1.971459552630059","10","Agriculture"
"Flours, starches and malts","42762463","0.3337770835820027","11","Agriculture"
"Oil seeds and oleaginous fruits","40918997","0.31938813912006697","12","Agriculture"
"Lac and other vegetable extracts","5083792","0.039680905828495344","13","Agriculture"
"Other vegetable materials","103671","0.0008091910896720285","14","Agriculture"
"Animal or vegetable fats, oils or waxes","42423704","0.33113294236270113","15","Agriculture"
"Preparations of meat or fish","19742624","0.15409859485820665","16","Agriculture"
"Sugar and candy","32748944","0.2556178071106504","17","Agriculture"
"Cocoa","7998708","0.062432919934102805","18","Agriculture"
"Preparations of cereals, flour, starch or milk","117649819","0.9183010218511148","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","67129621","0.5239719030998089","20","Agriculture"
"Miscellaneous edible preparations","171952724","1.342155589370543","21","Agriculture"
"Beverages","71314368","0.5566354250580398","22","Agriculture"
"Food residues and animal feed","163153990","1.273478166048743","23","Agriculture"
"Tobacco","47448844","0.37035604730385635","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","12893553","0.10063902346667873","25","Minerals"
"Ores, slag and ash","111602","0.0008710955232377204","26","Minerals"
"Mineral fuels, oils and waxes","1459869400","11.39482893542891","27","Minerals"
"Inorganic chemicals","57481547","0.44866506209995","28","Chemicals"
"Organic chemicals","45827919","0.35770411892439985","29","Chemicals"
"Pharmaceutical products","173089573","1.3510291227704576","30","Chemicals"
"Fertilisers","78087296","0.6095006717383089","31","Chemicals"
"Dyes, paints, inks, etc.","166733345","1.3014163760860054","32","Chemicals"
"Essential oils","83420396","0.6511275201368958","33","Chemicals"
"Soaps, waxes, and paints","66200928","0.516723105454944","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","18491894","0.14433617748415317","35","Chemicals"
"Explosives","5953751","0.046471262545224115","36","Chemicals"
"Photographic or cinematographic goods","2884409","0.022513895513401105","37","Chemicals"
"Miscellaneous chemical products","113261557","0.8840489888858075","38","Chemicals"
"Plastics","471955533","3.683790182645224","39","Chemicals"
"Rubber","102591122","0.8007622363231378","40","Chemicals"
"Leather and skins","732472","0.005717219047122629","41","Agriculture"
"Articles of leather","8840939","0.06900684919730622","42","Agriculture"
"Furskins","322951","0.00252075384245036","43","Agriculture"
"Wood","23374185","0.18244429233194995","44","Agriculture"
"Cork","22469","0.00017537898345574757","45","Agriculture"
"Manufactues of plaiting materials","77608","0.0006057595864539436","46","Agriculture"
"Pulp of wood","363907","0.0028404308038822703","47","Agriculture"
"Paper and paperboard","396538179","3.0951294109401077","48","Agriculture"
"Products of the printing industry","29636585","0.2313246762383665","49","Agriculture"
"Silk","37181","0.0002902116686932285","50","Textiles"
"Wool","248310","0.0019381528052826863","51","Textiles"
"Cotton","728812302","5.688653729796756","52","Textiles"
"Other vegetable textile fibres","808159","0.006307984507125974","53","Textiles"
"Man-made filaments","86293694","0.6735546901224507","54","Textiles"
"Man-made staple fibres","525546939","4.102091233259148","55","Textiles"
"Wadding, felt and nonwovens","86364385","0.6741064599261567","56","Textiles"
"Carpets","2486435","0.019407558980319185","57","Textiles"
"Special woven fabrics","59011067","0.4606035401263524","58","Textiles"
"Impregnated, coated or laminated textile fabrics","9894982","0.07723405066860653","59","Textiles"
"Knitted fabrics","252303646","1.9693247121660418","60","Textiles"
"Apparel, knit","396391155","3.0939818334037863","61","Textiles"
"Apparel, not knit","87509676","0.6830458863065482","62","Textiles"
"Other made up textile articles","81734030","0.6379648001754229","63","Textiles"
"Footwear","28709907","0.22409160642525489","64","Textiles"
"Headgear","3770724","0.029431916952787858","65","Textiles"
"Umbrellas and walking-sticks","1296602","0.010120465561737915","66","Textiles"
"Feathers and down","1679922","0.013112422121364832","67","Textiles"
"Articles of stone, plaster, cement, etc.","30671462","0.23940227988168547","68","Stone"
"Ceramic products","33433879","0.2609639820197813","69","Stone"
"Glass and glassware","29565537","0.2307701199155856","70","Stone"
"Precious metals and stones","13694277","0.10688897500651674","71","Stone"
"Iron and steel","280147660","2.1866576985315946","72","Metals"
"Articles of iron or steel","107404862","0.8383352848709268","73","Metals"
"Copper","5773854","0.045067098898121945","74","Metals"
"Nickel","89758","0.0007005948995069203","75","Metals"
"Aluminium","46096851","0.3598032341844791","76","Metals"
"Lead","631487","0.004928993196204534","78","Metals"
"Zinc","2615168","0.02041236839227382","79","Metals"
"Tin","208979","0.0016311595791356393","80","Metals"
"Other base metals","300514","0.0023456246310125297","81","Metals"
"Metal tools and tableware","32300108","0.25211447356584005","82","Metals"
"Miscellaneous articles of base metal","28261389","0.22059075498987255","83","Metals"
"Industrial Machinery","763132700","5.956537325552539","84","Machinery"
"Electrical machinery and equipment","973562251","7.599019000011989","85","Electronics"
"Trains","6993833","0.054589493168332434","86","Vehicles"
"Vehicles","431276750","3.3662770040099064","87","Vehicles"
"Aircraft","4447738","0.034716265482108676","88","Vehicles"
"Ships","3722684","0.029056946710889504","89","Vehicles"
"Apparatuses (optical, medical, etc.)","85446228","0.6669398997181911","90","Machinery"
"Clocks","2119675","0.016544859439964473","91","Machinery"
"Musical instruments","2307970","0.018014572631018813","92","Machinery"
"Arms and ammunition","5578230","0.04354018010958898","93","Machinery"
"Furniture","67422949","0.5262614383020479","94","Textiles"
"Toys","31260440","0.24399947436821354","95","Machinery"
"Miscellaneous manufactured articles","31453947","0.24550986917668613","96","Machinery"
"Art","209286","0.0016335558294325334","97","Textiles"
"Other","652461504","5.09270707710749","99","Other"
"Travel and tourism","468271744","3.655036826016737","travel","Services"
"Transport","1379501696","10.767528822820763","transport","Services"
"ICT","122525336","0.9563562630848687","ict","Services"
"Insurance and finance","168305488","1.313687542634898","financial","Services"
