"Name","Gross Export","Share","Code","Sector"
"Live animals","449173293","0.2956720554583927","01","Agriculture"
"Meat","1122709290","0.7390327266330429","02","Agriculture"
"Fish","22450647","0.01477832508813207","03","Agriculture"
"Diary products","490071563","0.32259368179736625","04","Agriculture"
"Animal products","108571269","0.07146794070179963","05","Agriculture"
"Plants","57962032","0.03815398957832769","06","Agriculture"
"Vegetables","284380926","0.18719610946143467","07","Agriculture"
"Fruits and nuts","123409381","0.08123525132006883","08","Agriculture"
"Coffee, tea and spices","64540873","0.042484566376454355","09","Agriculture"
"Cereals","1338883418","0.8813311441008099","10","Agriculture"
"Flours, starches and malts","152714870","0.10052583315981173","11","Agriculture"
"Oil seeds and oleaginous fruits","659238954","0.43394952372518014","12","Agriculture"
"Lac and other vegetable extracts","2678923","0.0017634233427693212","13","Agriculture"
"Other vegetable materials","6543051","0.00430701773299574","14","Agriculture"
"Animal or vegetable fats, oils or waxes","643751410","0.4237547190922112","15","Agriculture"
"Preparations of meat or fish","309528624","0.20374979079908914","16","Agriculture"
"Sugar and candy","235561823","0.155060528930281","17","Agriculture"
"Cocoa","170619278","0.11231155861950795","18","Agriculture"
"Preparations of cereals, flour, starch or milk","246024517","0.16194768426391787","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","608844137","0.4007767163498326","20","Agriculture"
"Miscellaneous edible preparations","675111408","0.4443976985665743","21","Agriculture"
"Beverages","761046958","0.5009654889971765","22","Agriculture"
"Food residues and animal feed","976820177","0.64300000478172","23","Agriculture"
"Tobacco","258775524","0.17034114065949735","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","82734396","0.054460604189191235","25","Minerals"
"Ores, slag and ash","29215203","0.019231150329421298","26","Minerals"
"Mineral fuels, oils and waxes","3347027069","2.203208402165864","27","Minerals"
"Inorganic chemicals","531349221","0.3497650434423441","28","Chemicals"
"Organic chemicals","2056349104","1.3536088983805725","29","Chemicals"
"Pharmaceutical products","5725247812","3.768691983614229","30","Chemicals"
"Fertilisers","141833268","0.09336292815152095","31","Chemicals"
"Dyes, paints, inks, etc.","165473459","0.1089242804699434","32","Chemicals"
"Essential oils","815289752","0.5366712592326882","33","Chemicals"
"Soaps, waxes, and paints","571870540","0.37643853865082977","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","99228372","0.06531790105568458","35","Chemicals"
"Explosives","10626989","0.006995303883669968","36","Chemicals"
"Photographic or cinematographic goods","47791546","0.03145918259070297","37","Chemicals"
"Miscellaneous chemical products","963677382","0.6343486506770176","38","Chemicals"
"Plastics","4867525802","3.2040893376848687","39","Chemicals"
"Rubber","2653558681","1.7467270688569885","40","Chemicals"
"Leather and skins","54136531","0.03563582173207479","41","Agriculture"
"Articles of leather","515215695","0.3391450157858658","42","Agriculture"
"Furskins","4606326","0.0030321523958714886","43","Agriculture"
"Wood","715759456","0.4711546141931928","44","Agriculture"
"Cork","1817656","0.0011964871776921969","45","Agriculture"
"Manufactues of plaiting materials","3027724","0.001993024501660891","46","Agriculture"
"Pulp of wood","76678200","0.05047406280864905","47","Agriculture"
"Paper and paperboard","1505463619","0.9909839466959595","48","Agriculture"
"Products of the printing industry","199076708","0.13104389857001192","49","Agriculture"
"Silk","842702","0.0005547155994399213","50","Textiles"
"Wool","36923677","0.024305317443866322","51","Textiles"
"Cotton","62547433","0.04117236791893614","52","Textiles"
"Other vegetable textile fibres","25296070","0.016651348440521338","53","Textiles"
"Man-made filaments","116145548","0.07645377284152423","54","Textiles"
"Man-made staple fibres","58585432","0.03856434781254435","55","Textiles"
"Wadding, felt and nonwovens","180576662","0.11886608944346883","56","Textiles"
"Carpets","39605927","0.02607093081205309","57","Textiles"
"Special woven fabrics","21789362","0.014343028737612399","58","Textiles"
"Impregnated, coated or laminated textile fabrics","142682337","0.09392183488165907","59","Textiles"
"Knitted fabrics","75723874","0.049845869782939964","60","Textiles"
"Apparel, knit","360588858","0.2373606144483182","61","Textiles"
"Apparel, not knit","319770692","0.21049171723349233","62","Textiles"
"Other made up textile articles","231707138","0.1525231504733329","63","Textiles"
"Footwear","576354683","0.379390263070873","64","Textiles"
"Headgear","9673069","0.006367378110837188","65","Textiles"
"Umbrellas and walking-sticks","2808702","0.001848851448766119","66","Textiles"
"Feathers and down","2648453","0.001743366211879713","67","Textiles"
"Articles of stone, plaster, cement, etc.","433776425","0.28553693905648864","68","Stone"
"Ceramic products","477613468","0.31439303716165345","69","Stone"
"Glass and glassware","955523868","0.628981532281604","70","Stone"
"Precious metals and stones","275144010","0.18111583268991138","71","Stone"
"Iron and steel","1724219861","1.1349820621771787","72","Metals"
"Articles of iron or steel","1592363917","1.0481867905204403","73","Metals"
"Copper","354636209","0.2334422337416266","74","Metals"
"Nickel","10119886","0.006661499116833314","75","Metals"
"Aluminium","1560516231","1.0272227863644465","76","Metals"
"Lead","7423555","0.004886616813298444","78","Metals"
"Zinc","33813587","0.022258074837746833","79","Metals"
"Tin","38033096","0.025035601726584335","80","Metals"
"Other base metals","44535116","0.029315610462614817","81","Metals"
"Metal tools and tableware","202997434","0.13362474906440933","82","Metals"
"Miscellaneous articles of base metal","530596188","0.34926935320784475","83","Metals"
"Industrial Machinery","21359682119","14.060188382710917","84","Machinery"
"Electrical machinery and equipment","24683282181","16.247975762699205","85","Electronics"
"Trains","519799137","0.3421621045984331","86","Vehicles"
"Vehicles","19427508584","12.78831908527306","87","Vehicles"
"Aircraft","65881377","0.04336696428213348","88","Vehicles"
"Ships","9710918","0.006392292529840824","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4111763522","2.706602531928763","90","Machinery"
"Clocks","42307868","0.027849505944740924","91","Machinery"
"Musical instruments","6135927","0.00403902497433802","92","Machinery"
"Arms and ammunition","27660491","0.018207748226380795","93","Machinery"
"Furniture","1868098687","1.229691495893133","94","Textiles"
"Toys","670061707","0.4410736908898305","95","Machinery"
"Miscellaneous manufactured articles","94689291","0.062330013240274915","96","Machinery"
"Art","7631244","0.005023329824697584","97","Textiles"
"Other","4068815872","2.6783318841620716","99","Other"
"Unspecified","8942062592","5.8861870636957985","unspecified","Services"
"Travel and tourism","6892934656","4.537331559202717","travel","Services"
"Transport","7355202048","4.8416229142188545","transport","Services"
"ICT","5785237504","3.8081806972496497","ict","Services"
"Insurance and finance","518003008","0.3409797877475102","financial","Services"
