"Name","Gross Import","Share","Code","Sector"
"Live animals","311268826","0.22985987855299658","01","Agriculture"
"Meat","585386761","0.43228527417645113","02","Agriculture"
"Fish","82117832","0.0606408137079406","03","Agriculture"
"Diary products","481774859","0.3557719287302708","04","Agriculture"
"Animal products","87839607","0.06486612121306022","05","Agriculture"
"Plants","122939378","0.09078593208193918","06","Agriculture"
"Vegetables","247268493","0.18259813069414954","07","Agriculture"
"Fruits and nuts","292918479","0.21630886354442858","08","Agriculture"
"Coffee, tea and spices","197083436","0.1455384249233082","09","Agriculture"
"Cereals","172215482","0.12717441154054332","10","Agriculture"
"Flours, starches and malts","65952557","0.048703389083619916","11","Agriculture"
"Oil seeds and oleaginous fruits","296394551","0.2188758070383507","12","Agriculture"
"Lac and other vegetable extracts","28242653","0.02085609687297894","13","Agriculture"
"Other vegetable materials","1800963","0.0013299408802937447","14","Agriculture"
"Animal or vegetable fats, oils or waxes","311118107","0.22974857845436217","15","Agriculture"
"Preparations of meat or fish","303835355","0.22437055036281278","16","Agriculture"
"Sugar and candy","180151684","0.1330349869516256","17","Agriculture"
"Cocoa","319461987","0.23591020815595257","18","Agriculture"
"Preparations of cereals, flour, starch or milk","430095295","0.31760858787354196","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","273839397","0.20221970618235258","20","Agriculture"
"Miscellaneous edible preparations","568663384","0.4199357130089734","21","Agriculture"
"Beverages","396255779","0.29261942613187697","22","Agriculture"
"Food residues and animal feed","510694944","0.377128282693717","23","Agriculture"
"Tobacco","270180404","0.1995176826697048","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","228851667","0.16899802353889054","25","Minerals"
"Ores, slag and ash","172700775","0.12753278147908198","26","Minerals"
"Mineral fuels, oils and waxes","8252383522","6.094063123878876","27","Minerals"
"Inorganic chemicals","566352233","0.4182290182043429","28","Chemicals"
"Organic chemicals","1465818194","1.0824495224382438","29","Chemicals"
"Pharmaceutical products","4520956388","3.338549830521975","30","Chemicals"
"Fertilisers","344543936","0.2544322484935624","31","Chemicals"
"Dyes, paints, inks, etc.","583385755","0.43080760934873774","32","Chemicals"
"Essential oils","813118325","0.6004561453697134","33","Chemicals"
"Soaps, waxes, and paints","601658566","0.4443013670476918","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","215770129","0.1593378183246157","35","Chemicals"
"Explosives","43603992","0.032199846140537815","36","Chemicals"
"Photographic or cinematographic goods","50258327","0.037113812805965964","37","Chemicals"
"Miscellaneous chemical products","1080167478","0.7976615213949392","38","Chemicals"
"Plastics","5255733641","3.881154152029213","39","Chemicals"
"Rubber","1962257208","1.4490503572645665","40","Chemicals"
"Leather and skins","275731764","0.20361714534896444","41","Agriculture"
"Articles of leather","252686645","0.1865992244647852","42","Agriculture"
"Furskins","6305270","0.004656195787636803","43","Agriculture"
"Wood","695593666","0.5136687719219069","44","Agriculture"
"Cork","7064059","0.005216531847076785","45","Agriculture"
"Manufactues of plaiting materials","5953446","0.004396387496034773","46","Agriculture"
"Pulp of wood","168241494","0.12423977651528365","47","Agriculture"
"Paper and paperboard","1496893868","1.105397694741218","48","Agriculture"
"Products of the printing industry","150838495","0.11138834102781879","49","Agriculture"
"Silk","5505850","0.004065855320606428","50","Textiles"
"Wool","40859983","0.030173502598225196","51","Textiles"
"Cotton","88314713","0.06521696844971796","52","Textiles"
"Other vegetable textile fibres","8161719","0.006027110913200427","53","Textiles"
"Man-made filaments","167605815","0.12377035238561288","54","Textiles"
"Man-made staple fibres","120308170","0.08884288767527677","55","Textiles"
"Wadding, felt and nonwovens","157552907","0.11634667221282086","56","Textiles"
"Carpets","89927239","0.06640775596058662","57","Textiles"
"Special woven fabrics","86450868","0.06384059166683509","58","Textiles"
"Impregnated, coated or laminated textile fabrics","263587745","0.1946492613229384","59","Textiles"
"Knitted fabrics","144931413","0.1070261915361039","60","Textiles"
"Apparel, knit","1039130308","0.767357173113179","61","Textiles"
"Apparel, not knit","777014076","0.57379456670463","62","Textiles"
"Other made up textile articles","263239600","0.1943921698292376","63","Textiles"
"Footwear","776493927","0.5734104569705911","64","Textiles"
"Headgear","34247550","0.025290478924277757","65","Textiles"
"Umbrellas and walking-sticks","10549644","0.007790500320187379","66","Textiles"
"Feathers and down","13341573","0.009852230912086065","67","Textiles"
"Articles of stone, plaster, cement, etc.","407508911","0.30092942488151353","68","Stone"
"Ceramic products","246483346","0.18201833028051528","69","Stone"
"Glass and glassware","547595302","0.40437775678156573","70","Stone"
"Precious metals and stones","199589362","0.1473889534629789","71","Stone"
"Iron and steel","2752164017","2.0323657040604104","72","Metals"
"Articles of iron or steel","2731093174","2.01680570894227","73","Metals"
"Copper","883129216","0.6521564557073991","74","Metals"
"Nickel","34349086","0.025365459297123562","75","Metals"
"Aluminium","2370784515","1.7507318278420372","76","Metals"
"Lead","29677918","0.02191598405420076","78","Metals"
"Zinc","122153983","0.09020594852998486","79","Metals"
"Tin","63168663","0.046647592025599025","80","Metals"
"Other base metals","52756060","0.03895829113492593","81","Metals"
"Metal tools and tableware","521097765","0.3848103599592012","82","Metals"
"Miscellaneous articles of base metal","725864070","0.536022283761188","83","Metals"
"Industrial Machinery","17228082382","12.722266392419074","84","Machinery"
"Electrical machinery and equipment","21808745616","16.104907398233827","85","Electronics"
"Trains","282420021","0.20855616208734873","86","Vehicles"
"Vehicles","12624317623","9.322565812090785","87","Vehicles"
"Aircraft","1238171733","0.9143414964887403","88","Vehicles"
"Ships","23492192","0.01734806684452133","89","Vehicles"
"Apparatuses (optical, medical, etc.)","3449387878","2.547238311360029","90","Machinery"
"Clocks","79860082","0.05897355345746172","91","Machinery"
"Musical instruments","24410547","0.018026236166779567","92","Machinery"
"Arms and ammunition","39576603","0.029225776561126494","93","Machinery"
"Furniture","1275123057","0.9416286069782837","94","Textiles"
"Toys","484683872","0.3579201212861456","95","Machinery"
"Miscellaneous manufactured articles","176400709","0.13026503832222022","96","Machinery"
"Art","13331547","0.009844827102421","97","Textiles"
"Other","4632666624","3.4210434795329","99","Other"
"Unspecified","8795833344","6.49537960548686","unspecified","Services"
"Travel and tourism","2638613248","1.9485128932686884","travel","Services"
"Transport","5106710016","3.77110602165837","transport","Services"
"ICT","3327032576","2.4568836966064294","ict","Services"
"Insurance and finance","638904064","0.4718057135540325","financial","Services"
