"Name","Gross Export","Share","Code","Sector"
"Live animals","32657933","0.006237076218305335","01","Agriculture"
"Meat","3654411829","0.6979267521477739","02","Agriculture"
"Fish","6003451766","1.146551015260573","03","Agriculture"
"Diary products","466746973","0.08914025407744888","04","Agriculture"
"Animal products","147924356","0.028250884185344254","05","Agriculture"
"Plants","77942332","0.014885579724732088","06","Agriculture"
"Vegetables","1228200973","0.23456423528083586","07","Agriculture"
"Fruits and nuts","1513648838","0.28907962945344107","08","Agriculture"
"Coffee, tea and spices","3015068930","0.5758237889658944","09","Agriculture"
"Cereals","7580087840","1.4476600708173863","10","Agriculture"
"Flours, starches and malts","305516920","0.058348221732890865","11","Agriculture"
"Oil seeds and oleaginous fruits","1602163818","0.30598439426883134","12","Agriculture"
"Lac and other vegetable extracts","1036088684","0.19787425282033838","13","Agriculture"
"Other vegetable materials","58212683","0.011117572589270952","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1379065664","0.26337667042233986","15","Agriculture"
"Preparations of meat or fish","530492696","0.10131453751853438","16","Agriculture"
"Sugar and candy","1195653576","0.22834826944501757","17","Agriculture"
"Cocoa","199632391","0.038126186317717414","18","Agriculture"
"Preparations of cereals, flour, starch or milk","523924406","0.10006011258741786","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","646681191","0.1235044446080366","20","Agriculture"
"Miscellaneous edible preparations","721899567","0.13786979786322115","21","Agriculture"
"Beverages","322875573","0.061663411393183036","22","Agriculture"
"Food residues and animal feed","1728944333","0.33019718615161836","23","Agriculture"
"Tobacco","941660520","0.1798401765050175","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2251455693","0.4299874324372721","25","Minerals"
"Ores, slag and ash","1744343380","0.33313812640733714","26","Minerals"
"Mineral fuels, oils and waxes","47865017390","9.141355077553143","27","Minerals"
"Inorganic chemicals","2069019261","0.39514536416002755","28","Chemicals"
"Organic chemicals","17791260810","3.3978099499352497","29","Chemicals"
"Pharmaceutical products","14146107104","2.7016513323105467","30","Chemicals"
"Fertilisers","168800016","0.03223775875353655","31","Chemicals"
"Dyes, paints, inks, etc.","3187127910","0.6086839510681276","32","Chemicals"
"Essential oils","1871803576","0.3574807251031008","33","Chemicals"
"Soaps, waxes, and paints","622649278","0.11891478263975823","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","214669157","0.04099793743616151","35","Chemicals"
"Explosives","115485260","0.022055601887321172","36","Chemicals"
"Photographic or cinematographic goods","15113020","0.0028863142572058344","37","Chemicals"
"Miscellaneous chemical products","3905767750","0.7459311998634126","38","Chemicals"
"Plastics","7662445044","1.4633888114720544","39","Chemicals"
"Rubber","3092684569","0.5906469762195233","40","Chemicals"
"Leather and skins","771415588","0.14732646485449116","41","Agriculture"
"Articles of leather","2397431588","0.4578661957120433","42","Agriculture"
