"Name","Gross Import","Share","Code","Sector"
"Live animals","10181209","0.0017113759346205537","01","Agriculture"
"Meat","8736107","0.001468466395500786","02","Agriculture"
"Fish","78540229","0.013201954484009444","03","Agriculture"
"Diary products","40459673","0.006800932059720705","04","Agriculture"
"Animal products","45004346","0.007564853515701011","05","Agriculture"
"Plants","23791815","0.003999204773415839","06","Agriculture"
"Vegetables","806322776","0.13553610326463578","07","Agriculture"
"Fruits and nuts","3123477353","0.5250303745121535","08","Agriculture"
"Coffee, tea and spices","673235592","0.11316526264010705","09","Agriculture"
"Cereals","55333435","0.00930108683938132","10","Agriculture"
"Flours, starches and malts","70002283","0.011766797292413651","11","Agriculture"
"Oil seeds and oleaginous fruits","426851683","0.0717501917442694","12","Agriculture"
"Lac and other vegetable extracts","221509984","0.03723397249735114","13","Agriculture"
"Other vegetable materials","22714392","0.0038180989937774213","14","Agriculture"
"Animal or vegetable fats, oils or waxes","9581955801","1.6106464924184556","15","Agriculture"
"Preparations of meat or fish","19949590","0.0033533589411185697","16","Agriculture"
"Sugar and candy","616430706","0.10361683721545817","17","Agriculture"
"Cocoa","267957757","0.045041453998705086","18","Agriculture"
"Preparations of cereals, flour, starch or milk","101649869","0.017086491355194834","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","119336935","0.02005953896736402","20","Agriculture"
"Miscellaneous edible preparations","211317532","0.03552070670862456","21","Agriculture"
"Beverages","748924585","0.12588794824020264","22","Agriculture"
"Food residues and animal feed","503527487","0.08463875200595171","23","Agriculture"
"Tobacco","62468107","0.010500365428221909","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2552020260","0.4289732248525777","25","Minerals"
"Ores, slag and ash","4445595601","0.7472673752799296","26","Minerals"
"Mineral fuels, oils and waxes","141996401178","23.868405390632375","27","Minerals"
"Inorganic chemicals","6348845369","1.0671877158335272","28","Chemicals"
"Organic chemicals","21048484137","3.538073839001269","29","Chemicals"
"Pharmaceutical products","2208940166","0.37130433537992696","30","Chemicals"
"Fertilisers","5266040879","0.8851773528122905","31","Chemicals"
"Dyes, paints, inks, etc.","1967662526","0.33074758552261224","32","Chemicals"
"Essential oils","957388382","0.16092896600394999","33","Chemicals"
"Soaps, waxes, and paints","799209685","0.13434045226108934","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","475473278","0.07992307451151905","35","Chemicals"
"Explosives","27910543","0.004691528443467976","36","Chemicals"
"Photographic or cinematographic goods","262209818","0.04407527360910038","37","Chemicals"
"Miscellaneous chemical products","4221959047","0.7096759441820051","38","Chemicals"
"Plastics","14029986788","2.3583232356812944","39","Chemicals"
"Rubber","3285345930","0.5522391261691595","40","Chemicals"
"Leather and skins","527331746","0.0886400485115116","41","Agriculture"
"Articles of leather","665181217","0.11181138968224817","42","Agriculture"
"Furskins","8598835","0.001445392122367091","43","Agriculture"
"Wood","1903708547","0.3199974574598421","44","Agriculture"
"Cork","7628880","0.0012823508131606031","45","Agriculture"
"Manufactues of plaiting materials","9339944","0.0015699663362478498","46","Agriculture"
"Pulp of wood","2343776310","0.3939691615276498","47","Agriculture"
"Paper and paperboard","2832511839","0.4761215093209862","48","Agriculture"
