"Name","Gross Export","Share","Code","Sector"
"Live animals","57181924","0.02743659691022301","01","Agriculture"
"Meat","17058878","0.008185061409033233","02","Agriculture"
"Fish","2720951624","1.3055463632161919","03","Agriculture"
"Diary products","347984535","0.1669672992777646","04","Agriculture"
"Animal products","23453279","0.011253174379826711","05","Agriculture"
"Plants","20807289","0.009983595534272634","06","Agriculture"
"Vegetables","99206186","0.047600359447202395","07","Agriculture"
"Fruits and nuts","759086258","0.3642190088048724","08","Agriculture"
"Coffee, tea and spices","1443123529","0.6924285820958301","09","Agriculture"
"Cereals","72135219","0.03461137346014555","10","Agriculture"
"Flours, starches and malts","60485453","0.02902167112973042","11","Agriculture"
"Oil seeds and oleaginous fruits","143170040","0.06869476230111643","12","Agriculture"
"Lac and other vegetable extracts","134080864","0.0643336628362213","13","Agriculture"
"Other vegetable materials","148553927","0.07127801811162728","14","Agriculture"
"Animal or vegetable fats, oils or waxes","22845193472","10.961407395583997","15","Agriculture"
"Preparations of meat or fish","1360938457","0.6529951644217125","16","Agriculture"
"Sugar and candy","247027980","0.11852709105777258","17","Agriculture"
"Cocoa","1132435118","0.543356426054269","18","Agriculture"
"Preparations of cereals, flour, starch or milk","951712507","0.4566434740631811","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","480706131","0.23064876845556745","20","Agriculture"
"Miscellaneous edible preparations","1127613577","0.5410429908347211","21","Agriculture"
"Beverages","293761549","0.14095043754798675","22","Agriculture"
"Food residues and animal feed","838941902","0.4025347380103862","23","Agriculture"
"Tobacco","1252825192","0.6011210779105081","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","328162160","0.15745627770601264","25","Minerals"
"Ores, slag and ash","5371796469","2.577454623662405","26","Minerals"
"Mineral fuels, oils and waxes","42327300068","20.30916396348907","27","Minerals"
"Inorganic chemicals","1056992444","0.5071580946310842","28","Chemicals"
"Organic chemicals","2626828807","1.2603850673128976","29","Chemicals"
"Pharmaceutical products","542386841","0.2602439387301172","30","Chemicals"
"Fertilisers","391948828","0.18806191276932777","31","Chemicals"
"Dyes, paints, inks, etc.","633361997","0.30389494781502757","32","Chemicals"
"Essential oils","738215202","0.35420481707248697","33","Chemicals"
"Soaps, waxes, and paints","963556287","0.46232626671900995","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","63098237","0.030275317324312472","35","Chemicals"
"Explosives","10154573","0.0048722901698171955","36","Chemicals"
"Photographic or cinematographic goods","2379152","0.00114154666100691","37","Chemicals"
"Miscellaneous chemical products","1812425903","0.8696244451351085","38","Chemicals"
"Plastics","2497770914","1.1984614883104896","39","Chemicals"
"Rubber","6100802424","2.927240729713807","40","Chemicals"
"Leather and skins","90350043","0.043351072108247284","41","Agriculture"
"Articles of leather","631594775","0.3030470127636488","42","Agriculture"
"Furskins","1281348","0.0006148066752304527","43","Agriculture"
"Wood","4192147575","2.011444441838716","44","Agriculture"
"Cork","170405","0.00008176243416514896","45","Agriculture"
"Manufactues of plaiting materials","70096091","0.03363297453491266","46","Agriculture"
"Pulp of wood","3108132100","1.491320361508384","47","Agriculture"
"Paper and paperboard","4459066464","2.139515437932124","48","Agriculture"
"Products of the printing industry","34394360","0.01650284085063486","49","Agriculture"
"Silk","846632","0.0004062245424847181","50","Textiles"
"Wool","1966207","0.0009434105242953849","51","Textiles"
"Cotton","789324591","0.37872773631390294","52","Textiles"
"Other vegetable textile fibres","12594225","0.006042865481785002","53","Textiles"
"Man-made filaments","865761939","0.4154033246687551","54","Textiles"
"Man-made staple fibres","2027028160","0.9725932718107042","55","Textiles"
"Wadding, felt and nonwovens","176046648","0.08446936690293803","56","Textiles"
"Carpets","70699653","0.03392257107427233","57","Textiles"
"Special woven fabrics","52607325","0.025241647527461608","58","Textiles"
"Impregnated, coated or laminated textile fabrics","158385266","0.07599521659607762","59","Textiles"
"Knitted fabrics","107983324","0.05181173920650187","60","Textiles"
"Apparel, knit","3871610541","1.8576467942349653","61","Textiles"
"Apparel, not knit","4133172241","1.9831473445496537","62","Textiles"
"Other made up textile articles","226040088","0.10845683996235132","63","Textiles"
"Footwear","5150354914","2.471204216913098","64","Textiles"
"Headgear","50548190","0.024253648995290287","65","Textiles"
"Umbrellas and walking-sticks","2711516","0.0013010190337005843","66","Textiles"
"Feathers and down","381457371","0.18302798147471205","67","Textiles"
"Articles of stone, plaster, cement, etc.","149085994","0.07153331046254977","68","Stone"
"Ceramic products","365269399","0.1752607915746664","69","Stone"
"Glass and glassware","289328357","0.1388233369990506","70","Stone"
"Precious metals and stones","5859907924","2.811656558492326","71","Stone"
"Iron and steel","5519773438","2.6484558101640974","72","Metals"
"Articles of iron or steel","1285652361","0.6168719610664642","73","Metals"
"Copper","1966156169","0.9433861349506412","74","Metals"
"Nickel","1010850655","0.4850186915303848","75","Metals"
"Aluminium","717032228","0.34404096321199545","76","Metals"
"Lead","23245085","0.011153280314402698","78","Metals"
"Zinc","22132476","0.010619436705858042","79","Metals"
"Tin","1668971130","0.8007930644063219","80","Metals"
"Other base metals","34388540","0.016500048342393662","81","Metals"
"Metal tools and tableware","95269479","0.04571147856392443","82","Metals"
"Miscellaneous articles of base metal","124991211","0.05997233450080539","83","Metals"
"Industrial Machinery","6052302868","2.9039700407405435","84","Machinery"
"Electrical machinery and equipment","9825560202","4.714425745440173","85","Electronics"
"Trains","21047412","0.010098809530217813","86","Vehicles"
"Vehicles","7364120160","3.533396260475023","87","Vehicles"
"Aircraft","166370546","0.07982665305797886","88","Vehicles"
"Ships","554329178","0.26597402025789235","89","Vehicles"
"Apparatuses (optical, medical, etc.)","987870247","0.47399240652590563","90","Machinery"
"Clocks","41131017","0.01973517249850722","91","Machinery"
"Musical instruments","663280908","0.31825041268360804","92","Machinery"
"Arms and ammunition","601637","0.000288672900465466","93","Machinery"
"Furniture","1716156578","0.8234332280497189","94","Textiles"
"Toys","583595554","0.280016390733832","95","Machinery"
"Miscellaneous manufactured articles","267534710","0.12836647465313353","96","Machinery"
"Art","13505946","0.006480320534391931","97","Textiles"
"Other","310797440","0.14912446950909208","99","Other"
"Unspecified","7369340928","3.5359012497646067","unspecified","Services"
"Travel and tourism","14109673472","6.769996469271142","travel","Services"
"Transport","3597851136","1.726293633656327","transport","Services"
"ICT","2180463872","1.0462136309608627","ict","Services"
"Insurance and finance","745207872","0.35755998693554036","financial","Services"
