"Name","Gross Import","Share","Code","Sector"
"Live animals","458098447","0.2217164546475987","01","Agriculture"
"Meat","670065263","0.32430691583390325","02","Agriculture"
"Fish","360646321","0.17455030506536476","03","Agriculture"
"Diary products","894633190","0.43299622689371736","04","Agriculture"
"Animal products","168941679","0.08176659483434721","05","Agriculture"
"Plants","7092309","0.0034326281109292997","06","Agriculture"
"Vegetables","524269453","0.25374276023074116","07","Agriculture"
"Fruits and nuts","863582306","0.4179678155135019","08","Agriculture"
"Coffee, tea and spices","364546569","0.1764379979062147","09","Agriculture"
"Cereals","3071815937","1.486737497893398","10","Agriculture"
"Flours, starches and malts","428357100","0.20732185004575426","11","Agriculture"
"Oil seeds and oleaginous fruits","1356208888","0.6563956467831515","12","Agriculture"
"Lac and other vegetable extracts","94975492","0.04596747599245053","13","Agriculture"
"Other vegetable materials","3039642","0.001471165536690711","14","Agriculture"
"Animal or vegetable fats, oils or waxes","322425443","0.1560516665758123","15","Agriculture"
"Preparations of meat or fish","112529787","0.05446363239011252","16","Agriculture"
"Sugar and candy","1440357649","0.6971230604517425","17","Agriculture"
"Cocoa","673348948","0.3258961964812125","18","Agriculture"
"Preparations of cereals, flour, starch or milk","385872421","0.1867595615979148","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","275324301","0.1332550422203206","20","Agriculture"
"Miscellaneous edible preparations","826334591","0.39994018113140106","21","Agriculture"
"Beverages","201384362","0.09746862722743219","22","Agriculture"
"Food residues and animal feed","2583134602","1.2502191386668813","23","Agriculture"
"Tobacco","674360504","0.32638578253300166","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","766800904","0.3711262916712173","25","Minerals"
"Ores, slag and ash","375582041","0.18177908941880577","26","Minerals"
"Mineral fuels, oils and waxes","27883600165","13.495468085258533","27","Minerals"
"Inorganic chemicals","1752867965","0.8483758746843145","28","Chemicals"
"Organic chemicals","6259981172","3.029787244872628","29","Chemicals"
"Pharmaceutical products","814405447","0.39416655860117517","30","Chemicals"
"Fertilisers","1549779696","0.7500825683479195","31","Chemicals"
"Dyes, paints, inks, etc.","1346638772","0.6517637773586166","32","Chemicals"
"Essential oils","1095353820","0.5301436124604544","33","Chemicals"
"Soaps, waxes, and paints","589600522","0.2853625421616274","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","415829237","0.20125845169358555","35","Chemicals"
"Explosives","113706930","0.05503336139548772","36","Chemicals"
"Photographic or cinematographic goods","73988472","0.03580990462653353","37","Chemicals"
"Miscellaneous chemical products","2169775086","1.0501560147192741","38","Chemicals"
"Plastics","8438591204","4.084219311861783","39","Chemicals"
"Rubber","2031037865","0.9830081669821251","40","Chemicals"
"Leather and skins","438835046","0.21239310286121946","41","Agriculture"
"Articles of leather","389215056","0.18837737363424545","42","Agriculture"
"Furskins","14370336","0.006955142439098369","43","Agriculture"
"Wood","414251974","0.20049506739770553","44","Agriculture"
"Cork","4601552","0.00222711908760644","45","Agriculture"
"Manufactues of plaiting materials","3405427","0.0016482029265670226","46","Agriculture"
"Pulp of wood","1609400957","0.7789388430135683","47","Agriculture"
"Paper and paperboard","1481149795","0.7168661747273236","48","Agriculture"
"Products of the printing industry","142409001","0.068924963658797","49","Agriculture"
"Silk","15548371","0.00752530316625487","50","Textiles"
"Wool","115124245","0.05571933197446867","51","Textiles"
"Cotton","2117464385","1.0248380001269857","52","Textiles"
"Other vegetable textile fibres","86943147","0.04207987701111986","53","Textiles"
"Man-made filaments","1839172575","0.8901467042390886","54","Textiles"
"Man-made staple fibres","1383881119","0.6697888136661412","55","Textiles"
"Wadding, felt and nonwovens","482919573","0.23372970658748432","56","Textiles"
"Carpets","84758479","0.041022512929852706","57","Textiles"
"Special woven fabrics","395690223","0.1915113093196706","58","Textiles"
"Impregnated, coated or laminated textile fabrics","804400595","0.3893242799834659","59","Textiles"
"Knitted fabrics","1769905632","0.8566219867317244","60","Textiles"
"Apparel, knit","470579203","0.22775705354018072","61","Textiles"
"Apparel, not knit","520337214","0.2518395839689211","62","Textiles"
"Other made up textile articles","243342823","0.11777622983187745","63","Textiles"
"Footwear","778477135","0.3767775060726632","64","Textiles"
"Headgear","30215661","0.014624169271094948","65","Textiles"
"Umbrellas and walking-sticks","57778954","0.027964610921561783","66","Textiles"
"Feathers and down","87742806","0.042466906392180044","67","Textiles"
"Articles of stone, plaster, cement, etc.","447988166","0.21682314912890313","68","Stone"
"Ceramic products","644376728","0.3118738439852865","69","Stone"
"Glass and glassware","408312393","0.19762035160236419","70","Stone"
"Precious metals and stones","1975869931","0.956307271537455","71","Stone"
"Iron and steel","9030954044","4.370918796677506","72","Metals"
"Articles of iron or steel","3777472524","1.8282703664131743","73","Metals"
"Copper","1320339968","0.6390353395685795","74","Metals"
"Nickel","188851372","0.09140274744300714","75","Metals"
"Aluminium","1926294347","0.9323130345048981","76","Metals"
"Lead","159359907","0.07712908398707374","78","Metals"
"Zinc","439173605","0.21255696305690583","79","Metals"
"Tin","14563633","0.00704869683950003","80","Metals"
"Other base metals","156436756","0.07571429928224896","81","Metals"
"Metal tools and tableware","639260474","0.3093976127180004","82","Metals"
"Miscellaneous articles of base metal","793645565","0.38411892044373236","83","Metals"
"Industrial Machinery","23500932687","11.374287580314599","84","Machinery"
"Electrical machinery and equipment","18641930508","9.022564400923779","85","Electronics"
"Trains","365879852","0.17708329758303704","86","Vehicles"
"Vehicles","7807002859","3.7785349560924115","87","Vehicles"
"Aircraft","1356695441","0.6566311350430761","88","Vehicles"
"Ships","1826374362","0.8839524583717044","89","Vehicles"
"Apparatuses (optical, medical, etc.)","3130119432","1.5149559830020454","90","Machinery"
"Clocks","173129479","0.08379346083848631","91","Machinery"
"Musical instruments","141915259","0.06868599597299163","92","Machinery"
"Arms and ammunition","215539026","0.10431938592211948","93","Machinery"
"Furniture","1028086978","0.49758692989309306","94","Textiles"
"Toys","507112847","0.24543908253653207","95","Machinery"
"Miscellaneous manufactured articles","524365213","0.25378910740313626","96","Machinery"
"Art","10784941","0.005219836255204611","97","Textiles"
"Other","2170306560","1.0504132444300252","99","Other"
"Unspecified","9849774080","4.767221985577727","unspecified","Services"
