"Name","Gross Export","Share","Code","Sector"
"Live animals","147505821","0.22739161793909637","01","Agriculture"
"Meat","8645883","0.0133282965414777","02","Agriculture"
"Fish","95480597","0.14719071617940307","03","Agriculture"
"Diary products","32673329","0.05036846067767317","04","Agriculture"
"Animal products","42181017","0.06502529620133791","05","Agriculture"
"Plants","2248283","0.0034659019250159995","06","Agriculture"
"Vegetables","392933626","0.605737538715952","07","Agriculture"
"Fruits and nuts","1009868569","1.5567904117543268","08","Agriculture"
"Coffee, tea and spices","157896473","0.24340961067798708","09","Agriculture"
"Cereals","12356909","0.019049129798316106","10","Agriculture"
"Flours, starches and malts","17934457","0.02764735090752217","11","Agriculture"
"Oil seeds and oleaginous fruits","34122352","0.052602241569621594","12","Agriculture"
"Lac and other vegetable extracts","41025686","0.06324426421518196","13","Agriculture"
"Other vegetable materials","2798975","0.00431483618413325","14","Agriculture"
"Animal or vegetable fats, oils or waxes","54059279","0.08333655467353399","15","Agriculture"
"Preparations of meat or fish","7221649","0.011132729807986748","16","Agriculture"
"Sugar and candy","31176885","0.048061576650938714","17","Agriculture"
"Cocoa","20626487","0.03179732311262305","18","Agriculture"
"Preparations of cereals, flour, starch or milk","56155949","0.08656873344690161","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","56921197","0.0877484223545323","20","Agriculture"
"Miscellaneous edible preparations","11456468","0.01766103043748683","21","Agriculture"
"Beverages","7643642","0.011783264616568798","22","Agriculture"
"Food residues and animal feed","9536099","0.01470063327492275","23","Agriculture"
"Tobacco","8423119","0.012984888626893875","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","583466913","0.8994593193783179","25","Minerals"
"Ores, slag and ash","1446710132","2.2302154272566894","26","Minerals"
"Mineral fuels, oils and waxes","43975911705","67.79226504523369","27","Minerals"
"Inorganic chemicals","353524767","0.5449857382216263","28","Chemicals"
"Organic chemicals","1722335500","2.6551132241685744","29","Chemicals"
"Pharmaceutical products","61900211","0.09542395706581269","30","Chemicals"
"Fertilisers","516638195","0.7964376880434052","31","Chemicals"
"Dyes, paints, inks, etc.","14191689","0.021877584905605027","32","Chemicals"
"Essential oils","11079321","0.01707962920227133","33","Chemicals"
"Soaps, waxes, and paints","27539661","0.04245451487832628","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4140738","0.006383267500215454","35","Chemicals"
"Explosives","571576","0.0008811285584123284","36","Chemicals"
"Photographic or cinematographic goods","6446","0.000009937006955375784","37","Chemicals"
"Miscellaneous chemical products","51378061","0.07920325000166326","38","Chemicals"
"Plastics","2906679560","4.480871083581853","39","Chemicals"
"Rubber","31569515","0.048666846126720474","40","Chemicals"
"Leather and skins","33868685","0.052211194293272034","41","Agriculture"
"Articles of leather","8019008","0.012361920302701529","42","Agriculture"
"Furskins","15102","0.000023280899633894677","43","Agriculture"
"Wood","13453913","0.020740246208194334","44","Agriculture"
"Cork","2105353","0.003245564288631907","45","Agriculture"
"Manufactues of plaiting materials","252349","0.0003890154775336835","46","Agriculture"
"Pulp of wood","6999759","0.010790669231919679","47","Agriculture"
"Paper and paperboard","64399769","0.09927721881439555","48","Agriculture"
"Products of the printing industry","2289249","0.0035290541786514207","49","Agriculture"
"Silk","460757","0.0007102925091123302","50","Textiles"
"Wool","10937833","0.016861514520282155","51","Textiles"
"Cotton","2224073","0.0034285803397864547","52","Textiles"
"Other vegetable textile fibres","1054678","0.001625867611182411","53","Textiles"
"Man-made filaments","52444094","0.08084662222252272","54","Textiles"
"Man-made staple fibres","19503316","0.03006586825083646","55","Textiles"
"Wadding, felt and nonwovens","3922739","0.006047205201229266","56","Textiles"
"Carpets","170186892","0.2623562410049313","57","Textiles"
"Special woven fabrics","8320208","0.012826243370489177","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2611194","0.0040253572664963565","59","Textiles"
"Knitted fabrics","302045","0.000465625700564145","60","Textiles"
"Apparel, knit","2425858","0.003739647505236424","61","Textiles"
"Apparel, not knit","1677578","0.0025861160803886747","62","Textiles"
"Other made up textile articles","12012261","0.018517828282157815","63","Textiles"
"Footwear","11644631","0.017951098237633335","64","Textiles"
"Headgear","109389","0.00016863159383208217","65","Textiles"
"Umbrellas and walking-sticks","3950","0.000006089230138649448","66","Textiles"
"Feathers and down","52471","0.00008088809990001905","67","Textiles"
"Articles of stone, plaster, cement, etc.","188724253","0.290933015002963","68","Stone"
"Ceramic products","98380648","0.15166136882568673","69","Stone"
"Glass and glassware","108812403","0.16774272501429613","70","Stone"
"Precious metals and stones","118855855","0.18322548213188578","71","Stone"
"Iron and steel","2436410844","3.755915529472694","72","Metals"
"Articles of iron or steel","75562629","0.11648562983857895","73","Metals"
"Copper","550312919","0.8483498764716336","74","Metals"
"Nickel","410454","0.000632746548690942","75","Metals"
"Aluminium","260136344","0.40102026988427364","76","Metals"
"Lead","64356446","0.0992104330631812","78","Metals"
"Zinc","248479694","0.38305064342966905","79","Metals"
"Tin","128686","0.00019837941003094758","80","Metals"
"Other base metals","375965","0.0005795790909056557","81","Metals"
"Metal tools and tableware","2169793","0.0033449035266406592","82","Metals"
"Miscellaneous articles of base metal","8484592","0.013079654005201013","83","Metals"
"Industrial Machinery","157977989","0.24353527388912183","84","Machinery"
