"Name","Gross Import","Share","Code","Sector"
"Live animals","14662106","0.02800279221458256","01","Agriculture"
"Meat","637590075","1.2177174539800155","02","Agriculture"
"Fish","60356668","0.11527370166117638","03","Agriculture"
"Diary products","169216754","0.32318287710429405","04","Agriculture"
"Animal products","9108589","0.017396267980536517","05","Agriculture"
"Plants","8074020","0.015420370334001395","06","Agriculture"
"Vegetables","169243819","0.3232345678758167","07","Agriculture"
"Fruits and nuts","511038214","0.9760191967206739","08","Agriculture"
"Coffee, tea and spices","255647105","0.4882540585625673","09","Agriculture"
"Cereals","3587814814","6.852278434001444","10","Agriculture"
"Flours, starches and malts","7871090","0.015032799365403485","11","Agriculture"
"Oil seeds and oleaginous fruits","1285072798","2.4543286307578343","12","Agriculture"
"Lac and other vegetable extracts","27139724","0.05183348503503654","13","Agriculture"
"Other vegetable materials","663310","0.0012668393001561138","14","Agriculture"
"Animal or vegetable fats, oils or waxes","922101629","1.7610990070331707","15","Agriculture"
"Preparations of meat or fish","5009445","0.009567414629615932","16","Agriculture"
"Sugar and candy","108537407","0.20729289883258095","17","Agriculture"
"Cocoa","98850518","0.18879215004023658","18","Agriculture"
"Preparations of cereals, flour, starch or milk","60678136","0.11588766541288009","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","150554235","0.2875397954243703","20","Agriculture"
"Miscellaneous edible preparations","248553707","0.47470655383921206","21","Agriculture"
"Beverages","97723578","0.18663983531421416","22","Agriculture"
"Food residues and animal feed","738593573","1.41062152706747","23","Agriculture"
"Tobacco","957280509","1.8282862765142218","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","87130866","0.1664090776641934","25","Minerals"
"Ores, slag and ash","86652059","0.16549461606284585","26","Minerals"
"Mineral fuels, oils and waxes","644981791","1.231834708844849","27","Minerals"
"Inorganic chemicals","329535576","0.6293718148021014","28","Chemicals"
"Organic chemicals","958264111","1.8301648335528795","29","Chemicals"
"Pharmaceutical products","1292892362","2.4692630218951397","30","Chemicals"
"Fertilisers","144196209","0.27539675942579595","31","Chemicals"
"Dyes, paints, inks, etc.","382157779","0.729873653793211","32","Chemicals"
"Essential oils","547870692","1.0463646319659372","33","Chemicals"
"Soaps, waxes, and paints","195952706","0.3742452080214933","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","136232668","0.26018739019089143","35","Chemicals"
"Explosives","256513","0.0004899078099243871","36","Chemicals"
"Photographic or cinematographic goods","43235917","0.08257520440501095","37","Chemicals"
"Miscellaneous chemical products","796303578","1.5208404327770264","38","Chemicals"
"Plastics","1539319638","2.9399083579630676","39","Chemicals"
"Rubber","959532073","1.8325864826953686","40","Chemicals"
"Leather and skins","1030143","0.0019674445390250703","41","Agriculture"
"Articles of leather","89409721","0.17076140624865205","42","Agriculture"
"Furskins","224851","0.0004294373422372681","43","Agriculture"
"Wood","328199192","0.6268194881806124","44","Agriculture"
"Cork","628066","0.0011995276596038801","45","Agriculture"
"Manufactues of plaiting materials","6779234","0.012947490699905825","46","Agriculture"
"Pulp of wood","116538336","0.2225736744804059","47","Agriculture"
"Paper and paperboard","941251202","1.797672301054983","48","Agriculture"
"Products of the printing industry","28226159","0.053908440267228276","49","Agriculture"
"Silk","7713745","0.014732290056508604","50","Textiles"
"Wool","21205865","0.04050055505842672","51","Textiles"
"Cotton","260922680","0.4983297482716341","52","Textiles"
"Other vegetable textile fibres","3768720","0.007197784757178919","53","Textiles"
"Man-made filaments","793617797","1.5157109263284387","54","Textiles"
"Man-made staple fibres","468600486","0.8949684336691062","55","Textiles"
"Wadding, felt and nonwovens","122053646","0.23310722811376589","56","Textiles"
"Carpets","60575664","0.11569195668428321","57","Textiles"
"Special woven fabrics","77137346","0.14732270193806818","58","Textiles"
"Impregnated, coated or laminated textile fabrics","106281171","0.20298376971463156","59","Textiles"
"Knitted fabrics","226403576","0.4324025685918824","60","Textiles"
"Apparel, knit","233725400","0.44638633846121384","61","Textiles"
"Apparel, not knit","230787136","0.440774620999644","62","Textiles"
"Other made up textile articles","163626299","0.31250580590115484","63","Textiles"
"Footwear","181062895","0.34580752768093337","64","Textiles"
"Headgear","10898317","0.020814425051875408","65","Textiles"
"Umbrellas and walking-sticks","7997410","0.015274054797095635","66","Textiles"
"Feathers and down","17645282","0.033700285989864874","67","Textiles"
"Articles of stone, plaster, cement, etc.","130957805","0.2501130603129469","68","Stone"
"Ceramic products","288303961","0.5506245770235267","69","Stone"
"Glass and glassware","294574660","0.5626008293529801","70","Stone"
"Precious metals and stones","245432800","0.4687460110466531","71","Stone"
"Iron and steel","1049177806","2.0037986424030496","72","Metals"
"Articles of iron or steel","1561378669","2.982038353582253","73","Metals"
"Copper","110060839","0.2102024637851905","74","Metals"
"Nickel","21844460","0.04172019179371368","75","Metals"
"Aluminium","280203370","0.5351534593963375","76","Metals"
"Lead","24577209","0.04693940125936673","78","Metals"
"Zinc","2892209","0.005523758160536119","79","Metals"
"Tin","10801634","0.020629772590647636","80","Metals"
"Other base metals","18252656","0.03486029451241545","81","Metals"
"Metal tools and tableware","262498957","0.5013402405776934","82","Metals"
"Miscellaneous articles of base metal","289801872","0.5534854000518787","83","Metals"
"Industrial Machinery","9850275877","18.81279733211218","84","Machinery"
"Electrical machinery and equipment","5788732708","11.055756874754678","85","Electronics"
"Trains","194439822","0.3713557884321951","86","Vehicles"
"Vehicles","5868926359","11.208916737729462","87","Vehicles"
"Aircraft","157533841","0.30086997163218476","88","Vehicles"
"Ships","11992211","0.022903626042973045","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1611824244","3.078383104798084","90","Machinery"
"Clocks","60785629","0.1160929636247142","91","Machinery"
"Musical instruments","33872598","0.06469243392198123","92","Machinery"
"Arms and ammunition","7378686","0.014092369191345998","93","Machinery"
"Furniture","447995480","0.8556154442964863","94","Textiles"
"Toys","226928816","0.4334057114270786","95","Machinery"
"Miscellaneous manufactured articles","137505017","0.26261741795575905","96","Machinery"
"Art","1495861","0.002856907784249935","97","Textiles"
"Other","586790144","1.1206959270378334","99","Other"
