"Name","Gross Export","Share","Code","Sector"
"Live animals","93999","0.00010827306964632057","01","Agriculture"
"Meat","1907047","0.0021966386094512355","02","Agriculture"
"Fish","6535","0.000007527362101072404","03","Agriculture"
"Diary products","809825","0.0009327996960215699","04","Agriculture"
"Animal products","645937","0.000744024742690192","05","Agriculture"
"Vegetables","635879","0.0007324394009897198","07","Agriculture"
"Fruits and nuts","95420423","0.10991034059043574","08","Agriculture"
"Coffee, tea and spices","322228","0.0003711594238874305","09","Agriculture"
"Cereals","67123","0.00007731585712475638","10","Agriculture"
"Flours, starches and malts","99658","0.00011479140815128899","11","Agriculture"
"Oil seeds and oleaginous fruits","219745","0.00025311402982404826","12","Agriculture"
"Lac and other vegetable extracts","2129671","0.0024530688252720682","13","Agriculture"
"Other vegetable materials","40784","0.00004697718988984497","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3446619","0.003969999883310798","15","Agriculture"
"Preparations of meat or fish","128147","0.00014760656023965192","16","Agriculture"
"Sugar and candy","1732101","0.0019951264609991753","17","Agriculture"
"Cocoa","10432","0.000012016134879630803","18","Agriculture"
"Preparations of cereals, flour, starch or milk","272805","0.00031423137230039125","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4094523","0.004716290321678544","20","Agriculture"
"Miscellaneous edible preparations","204436","0.00023548030581405321","21","Agriculture"
"Beverages","79638","0.00009173130267868463","22","Agriculture"
"Food residues and animal feed","91058","0.00010488546873748293","23","Agriculture"
"Salt, sulphur, lime, cement, etc.","45602523","0.052527422087755564","25","Minerals"
"Ores, slag and ash","2007769","0.002312655589641628","26","Minerals"
"Mineral fuels, oils and waxes","79532585737","91.60988089930916","27","Minerals"
"Inorganic chemicals","27590","0.00003177963586359413","28","Chemicals"
"Organic chemicals","15783530","0.01818031301348727","29","Chemicals"
"Pharmaceutical products","437540","0.000503981945478687","30","Chemicals"
"Dyes, paints, inks, etc.","198573","0.00022872698921136194","32","Chemicals"
"Essential oils","171254","0.00019725950562464475","33","Chemicals"
"Soaps, waxes, and paints","452818","0.0005215799620326555","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","71330","0.00008216170446357988","35","Chemicals"
"Miscellaneous chemical products","223935","0.0002579402956547282","38","Chemicals"
"Plastics","11867235","0.013669315223185916","39","Chemicals"
"Rubber","350758","0.0004040218019660221","40","Chemicals"
"Leather and skins","19360089","0.022299984730220157","41","Agriculture"
"Articles of leather","12022","0.000013847581817764719","42","Agriculture"
"Furskins","6004","0.00000691572793494089","43","Agriculture"
"Wood","53051","0.00006110697579556114","44","Agriculture"
"Cork","2344","0.000002699944416972259","45","Agriculture"
"Manufactues of plaiting materials","7009","0.000008073340622251947","46","Agriculture"
"Pulp of wood","23068862","0.02657194759505269","47","Agriculture"
"Paper and paperboard","792495","0.0009128380762493303","48","Agriculture"
"Products of the printing industry","168687","0.00019430269789496565","49","Agriculture"
"Wool","730023","0.0008408794893819708","51","Textiles"
"Cotton","2046","0.0000023566920977496765","52","Textiles"
"Man-made filaments","16977","0.000019555015514905307","54","Textiles"
"Wadding, felt and nonwovens","1252","0.00000144212048210293","56","Textiles"
"Carpets","205297","0.00023647205160885407","57","Textiles"
"Impregnated, coated or laminated textile fabrics","1366","0.0000015734317720068712","59","Textiles"
"Apparel, knit","51035","0.000058784839300417765","61","Textiles"
"Apparel, not knit","104107","0.00011991600401780332","62","Textiles"
"Other made up textile articles","99767","0.00011491696017409188","63","Textiles"
"Footwear","241850","0.0002785757496777905","64","Textiles"
"Feathers and down","1520","0.0000017508171987192122","67","Textiles"
"Articles of stone, plaster, cement, etc.","19284","0.0000222123413553298","68","Stone"
"Ceramic products","12888","0.000014845086879666587","69","Stone"
"Glass and glassware","5715","0.0000065828422965001975","70","Stone"
"Precious metals and stones","1379737361","1.5892551982593806","71","Stone"
"Iron and steel","214683","0.0002472833478109452","72","Metals"
"Articles of iron or steel","544882","0.0006276241953108696","73","Metals"
"Copper","24743158","0.028500491169096625","74","Metals"
"Aluminium","41178216","0.04743126893774648","76","Metals"
"Lead","3917779","0.004512707140776946","78","Metals"
"Zinc","374408","0.00043126313535398874","79","Metals"
"Metal tools and tableware","226093","0.00026042599533554136","82","Metals"
"Miscellaneous articles of base metal","65167","0.0000750628318348256","83","Metals"
"Industrial Machinery","4363895","0.005026567381187353","84","Machinery"
"Electrical machinery and equipment","7085728","0.008161720031477821","85","Electronics"
"Trains","139344","0.00016050386298574338","86","Vehicles"
"Vehicles","1171205","0.0013490564850170625","87","Vehicles"
"Aircraft","33978","0.00003913767551189566","88","Vehicles"
"Apparatuses (optical, medical, etc.)","1682210","0.001937659342011478","90","Machinery"
"Clocks","823170","0.0009481711799142723","91","Machinery"
"Musical instruments","4337","0.000004995588283450805","92","Machinery"
"Arms and ammunition","1236408","0.001424160783575016","93","Machinery"
"Furniture","152741","0.00017593524325629686","94","Textiles"
"Toys","2624","0.0000030224633746310613","95","Machinery"
"Miscellaneous manufactured articles","114516","0.0001319056462687693","96","Machinery"
"Art","3889492","0.004480124663079465","97","Textiles"
"Other","6897662","0.007945095566152605","99","Other"
"Unspecified","1697900032","1.9557319590338822","unspecified","Services"
"Travel and tourism","1986099968","2.287696041019788","travel","Services"
"Transport","967200064","1.1140727017457388","transport","Services"
"ICT","879700032","1.0132854906180537","ict","Services"
"Insurance and finance","39900000","0.04595895146637932","financial","Services"
