"Name","Gross Import","Share","Code","Sector"
"Live animals","88275607","0.14073795802715122","01","Agriculture"
"Meat","805371716","1.2840055663696854","02","Agriculture"
"Fish","32646331","0.05204810386654703","03","Agriculture"
"Diary products","1041932064","1.6611541520227104","04","Agriculture"
"Animal products","249357","0.0003975503108098294","05","Agriculture"
"Plants","15795325","0.025182514880642087","06","Agriculture"
"Vegetables","201740346","0.32163499422587905","07","Agriculture"
"Fruits and nuts","597815649","0.9530985577582738","08","Agriculture"
"Coffee, tea and spices","96868905","0.15443826838852662","09","Agriculture"
"Cereals","1396191986","2.2259513788844627","10","Agriculture"
"Flours, starches and malts","620644481","0.9894946054209637","11","Agriculture"
"Oil seeds and oleaginous fruits","136742839","0.21800935263685584","12","Agriculture"
"Lac and other vegetable extracts","6026686","0.00960835626211916","13","Agriculture"
"Other vegetable materials","503591","0.000802876031436987","14","Agriculture"
"Animal or vegetable fats, oils or waxes","550803385","0.8781468212316321","15","Agriculture"
"Preparations of meat or fish","69483856","0.11077823581878764","16","Agriculture"
"Sugar and candy","427231284","0.6811355997300356","17","Agriculture"
"Cocoa","144637726","0.23059618509256585","18","Agriculture"
"Preparations of cereals, flour, starch or milk","791297757","1.2615674283796758","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","353657452","0.5638367078638752","20","Agriculture"
"Miscellaneous edible preparations","295837852","0.4716548162350056","21","Agriculture"
"Beverages","181206429","0.28889773364970417","22","Agriculture"
"Food residues and animal feed","268713932","0.42841110209671823","23","Agriculture"
"Tobacco","1692617588","2.698543245995034","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","164259492","0.2618792016990286","25","Minerals"
"Ores, slag and ash","4933050","0.007864770432514141","26","Minerals"
"Mineral fuels, oils and waxes","1678309061","2.675731135823349","27","Minerals"
"Inorganic chemicals","83414567","0.13298799326635038","28","Chemicals"
"Organic chemicals","96660463","0.15410594893534976","29","Chemicals"
"Pharmaceutical products","1318929173","2.102771138016182","30","Chemicals"
"Fertilisers","101865674","0.16240462613663445","31","Chemicals"
"Dyes, paints, inks, etc.","166555687","0.26554002949183164","32","Chemicals"
"Essential oils","505764358","0.8063410199811266","33","Chemicals"
"Soaps, waxes, and paints","394360342","0.6287293981447106","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","40571380","0.0646830236527697","35","Chemicals"
"Explosives","9440042","0.015050275834076619","36","Chemicals"
