"Name","Gross Export","Share","Code","Sector"
"Live animals","663648127","0.17059752892491573","01","Agriculture"
"Meat","3425804440","0.8806380192556541","02","Agriculture"
"Fish","584388103","0.15022293026816474","03","Agriculture"
"Diary products","3220380171","0.8278316128983779","04","Agriculture"
"Animal products","50218496","0.012909177281420646","05","Agriculture"
"Plants","21324968","0.005481800817623498","06","Agriculture"
"Vegetables","199251753","0.051219698079186575","07","Agriculture"
"Fruits and nuts","61830941","0.01589427486729313","08","Agriculture"
"Coffee, tea and spices","48651612","0.012506393746536976","09","Agriculture"
"Cereals","102316950","0.02630161696686919","10","Agriculture"
"Flours, starches and malts","33951190","0.008727500135113482","11","Agriculture"
"Oil seeds and oleaginous fruits","35509358","0.009128043133180105","12","Agriculture"
"Lac and other vegetable extracts","61535177","0.015818245710437016","13","Agriculture"
"Other vegetable materials","1671702","0.00042972807229641965","14","Agriculture"
"Animal or vegetable fats, oils or waxes","130040278","0.03342818156934101","15","Agriculture"
"Preparations of meat or fish","1012869788","0.2603685235074931","16","Agriculture"
"Sugar and candy","183355363","0.04713336867886757","17","Agriculture"
"Cocoa","294053316","0.07558940806259125","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2404132030","0.6180066918613354","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","219224480","0.0563538915372387","20","Agriculture"
"Miscellaneous edible preparations","1093202494","0.28101886602771203","21","Agriculture"
"Beverages","2059069557","0.5293048590322036","22","Agriculture"
"Food residues and animal feed","564621781","0.1451417953233897","23","Agriculture"
"Tobacco","3098887","0.0007966005524755219","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","346575734","0.08909083202421048","25","Minerals"
"Ores, slag and ash","332909800","0.08557786411847722","26","Minerals"
"Mineral fuels, oils and waxes","1252524214","0.32197414131633995","27","Minerals"
"Inorganic chemicals","1047920601","0.2693786929652746","28","Chemicals"
"Organic chemicals","34850598672","8.958702319967747","29","Chemicals"
"Pharmaceutical products","55118107480","14.168672452391196","30","Chemicals"
"Fertilisers","49785731","0.012797930618314808","31","Chemicals"
"Dyes, paints, inks, etc.","193361359","0.049705512142526574","32","Chemicals"
"Essential oils","8133914744","2.0909058571219905","33","Chemicals"
"Soaps, waxes, and paints","425552718","0.10939267235825637","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","230019307","0.05912881206582772","35","Chemicals"
"Explosives","11234621","0.002887974067932487","36","Chemicals"
"Photographic or cinematographic goods","17336298","0.004456472457588898","37","Chemicals"
"Miscellaneous chemical products","3136890377","0.8063697086642232","38","Chemicals"
"Plastics","1776549923","0.4566803017219233","39","Chemicals"
"Rubber","120419032","0.030954942022657667","40","Chemicals"
"Leather and skins","106730237","0.027436097463393597","41","Agriculture"
"Articles of leather","78037267","0.020060276481807762","42","Agriculture"
"Furskins","3488671","0.0008967985105637384","43","Agriculture"
"Wood","476919435","0.12259701157457945","44","Agriculture"
"Cork","846947","0.00021771637627234744","45","Agriculture"
"Manufactues of plaiting materials","711323","0.00018285284193600662","46","Agriculture"
"Pulp of wood","67616158","0.01738142398192389","47","Agriculture"
"Paper and paperboard","288967646","0.07428208464882748","48","Agriculture"
"Products of the printing industry","340907574","0.08763377360694014","49","Agriculture"
"Silk","397259","0.00010211948318085602","50","Textiles"
"Wool","42002567","0.010797188822177164","51","Textiles"
"Cotton","1787512","0.000459498215571147","52","Textiles"
