"Name","Gross Import","Share","Code","Sector"
"Live animals","340784910","0.1092264234959904","01","Agriculture"
"Meat","1077929570","0.34549179924566153","02","Agriculture"
"Fish","319952153","0.1025492277872043","03","Agriculture"
"Diary products","990922930","0.3176049303476132","04","Agriculture"
"Animal products","23049094","0.007387563323865752","05","Agriculture"
"Plants","147124689","0.047155560929707484","06","Agriculture"
"Vegetables","414733312","0.13292794089505522","07","Agriculture"
"Fruits and nuts","506639741","0.1623852620421629","08","Agriculture"
"Coffee, tea and spices","195011422","0.06250394175589319","09","Agriculture"
"Cereals","609997473","0.19551288910469058","10","Agriculture"
"Flours, starches and malts","157626096","0.05052141163091887","11","Agriculture"
"Oil seeds and oleaginous fruits","104882767","0.03361642252813743","12","Agriculture"
"Lac and other vegetable extracts","44990341","0.014420045885526504","13","Agriculture"
"Other vegetable materials","11259457","0.003608816536556427","14","Agriculture"
"Animal or vegetable fats, oils or waxes","443616024","0.14218526197956194","15","Agriculture"
"Preparations of meat or fish","447847899","0.1435416382666813","16","Agriculture"
"Sugar and candy","387096066","0.12406980942480067","17","Agriculture"
"Cocoa","445394564","0.14275530941283757","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1113990179","0.3570497386807067","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","551633697","0.1768064665867419","20","Agriculture"
"Miscellaneous edible preparations","698331610","0.22382523972231286","21","Agriculture"
"Beverages","1143653255","0.36655717755577233","22","Agriculture"
"Food residues and animal feed","1142457902","0.36617404987266805","23","Agriculture"
"Tobacco","52819015","0.01692924754511891","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","182683423","0.05855264227014968","25","Minerals"
"Ores, slag and ash","188583993","0.06044385910157492","26","Minerals"
"Mineral fuels, oils and waxes","6079813855","1.9486670431006468","27","Minerals"
"Inorganic chemicals","357933059","0.11472264979558314","28","Chemicals"
"Organic chemicals","4386301365","1.4058721393342526","29","Chemicals"
"Pharmaceutical products","11646012748","3.7327131663568993","30","Chemicals"
"Fertilisers","507917114","0.16279467830493208","31","Chemicals"
"Dyes, paints, inks, etc.","327899907","0.10509659628496423","32","Chemicals"
"Essential oils","1242108828","0.3981135927504428","33","Chemicals"
"Soaps, waxes, and paints","487816280","0.156352074355401","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","150382235","0.048199650877685726","35","Chemicals"
"Explosives","12420241","0.003980864362181598","36","Chemicals"
"Photographic or cinematographic goods","168230068","0.053920135877281845","37","Chemicals"
"Miscellaneous chemical products","926837302","0.29706457266588815","38","Chemicals"
"Plastics","3118869208","0.9996420585101969","39","Chemicals"
"Rubber","526314873","0.16869142242987345","40","Chemicals"
"Leather and skins","17488618","0.0056053514694286224","41","Agriculture"
"Articles of leather","244342466","0.07831524485450554","42","Agriculture"
"Furskins","2375808","0.0007614803447522426","43","Agriculture"
"Wood","718285814","0.23022084666579337","44","Agriculture"
"Cork","3941677","0.0012633636896845137","45","Agriculture"
"Manufactues of plaiting materials","7682104","0.002462223884397469","46","Agriculture"
"Pulp of wood","40942462","0.013122642940324131","47","Agriculture"
"Paper and paperboard","1321269802","0.42348581381058037","48","Agriculture"
"Products of the printing industry","428562001","0.137360232926731","49","Agriculture"
"Silk","1370198","0.00043916799902131534","50","Textiles"
"Wool","46408983","0.01487474087739454","51","Textiles"
"Cotton","15370679","0.00492652181657611","52","Textiles"
"Other vegetable textile fibres","4953877","0.00158778822439364","53","Textiles"
"Man-made filaments","39693024","0.012722180243428357","54","Textiles"
"Man-made staple fibres","23977442","0.007685112096784295","55","Textiles"
"Wadding, felt and nonwovens","101373411","0.03249162388416521","56","Textiles"
"Carpets","116129060","0.03722101981496563","57","Textiles"
"Special woven fabrics","20530421","0.00658029270925457","58","Textiles"
"Impregnated, coated or laminated textile fabrics","50568175","0.016207821226501357","59","Textiles"
"Knitted fabrics","28844457","0.009245059811462557","60","Textiles"
"Apparel, knit","1416328665","0.4539535350106926","61","Textiles"
"Apparel, not knit","1291089379","0.4138125578442698","62","Textiles"
"Other made up textile articles","285889184","0.09163156045996028","63","Textiles"
"Footwear","614364999","0.196912743471792","64","Textiles"
"Headgear","42383038","0.013584368091986977","65","Textiles"
"Umbrellas and walking-sticks","8751887","0.0028051045917821095","66","Textiles"
"Feathers and down","18101829","0.005801894339764048","67","Textiles"
"Articles of stone, plaster, cement, etc.","267370590","0.08569608699432382","68","Stone"
"Ceramic products","182392548","0.05845941268456035","69","Stone"
"Glass and glassware","369106634","0.11830393992639969","70","Stone"
"Precious metals and stones","408091283","0.1307990758803847","71","Stone"
"Iron and steel","811663112","0.26014960230306405","72","Metals"
"Articles of iron or steel","1258802007","0.403463994676832","73","Metals"
"Copper","179320338","0.05747472556760844","74","Metals"
"Nickel","57396815","0.018396497727880656","75","Metals"
"Aluminium","477172996","0.15294075005242025","76","Metals"
"Lead","47863564","0.015340954831278886","78","Metals"
"Zinc","27708717","0.008881038944983065","79","Metals"
"Tin","4317878","0.001383941475084739","80","Metals"
"Other base metals","78375132","0.025120347492458363","81","Metals"
