"Name","Gross Export","Share","Code","Sector"
"Live animals","131761043","0.11953599447121689","01","Agriculture"
"Meat","31450310","0.028532288426694207","02","Agriculture"
"Fish","24032612","0.02180281902565769","03","Agriculture"
"Diary products","79312318","0.07195356525788428","04","Agriculture"
"Animal products","1169594","0.0010610767699946672","05","Agriculture"
"Plants","181869621","0.164995400122465","06","Agriculture"
"Vegetables","406498264","0.3687825561464572","07","Agriculture"
"Fruits and nuts","701763526","0.6366525268325152","08","Agriculture"
"Coffee, tea and spices","27544164","0.02498856232959762","09","Agriculture"
"Cereals","47528401","0.04311862254431137","10","Agriculture"
"Flours, starches and malts","34505051","0.031303604553016916","11","Agriculture"
"Oil seeds and oleaginous fruits","242693589","0.2201760008298036","12","Agriculture"
"Lac and other vegetable extracts","21328289","0.019349408428593846","13","Agriculture"
"Other vegetable materials","631315","0.0005727403535322372","14","Agriculture"
"Animal or vegetable fats, oils or waxes","52505766","0.04763417783724593","15","Agriculture"
"Preparations of meat or fish","55716954","0.05054742550343235","16","Agriculture"
"Sugar and candy","81178828","0.07364689679170092","17","Agriculture"
"Cocoa","36410205","0.03303199462056379","18","Agriculture"
"Preparations of cereals, flour, starch or milk","112671401","0.10221752697419269","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","348707245","0.31635350147003066","20","Agriculture"
"Miscellaneous edible preparations","154730231","0.14037405606561654","21","Agriculture"
"Beverages","147750966","0.13404234098915682","22","Agriculture"
"Food residues and animal feed","226589238","0.20556584316659704","23","Agriculture"
"Tobacco","36442683","0.03306145924789249","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","303289705","0.27514989009351576","25","Minerals"
"Ores, slag and ash","14590724","0.013236967951104121","26","Minerals"
"Mineral fuels, oils and waxes","3320710193","3.012608174868209","27","Minerals"
"Inorganic chemicals","914068289","0.8292592366638953","28","Chemicals"
"Organic chemicals","1300494796","1.179832332873248","29","Chemicals"
"Pharmaceutical products","3940057527","3.5744912459728218","30","Chemicals"
"Fertilisers","1680691543","1.5247536784591862","31","Chemicals"
"Dyes, paints, inks, etc.","290877087","0.2638889391869468","32","Chemicals"
"Essential oils","459320620","0.4167039501412866","33","Chemicals"
"Soaps, waxes, and paints","186455644","0.1691559228952915","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","31390624","0.028478140211079295","35","Chemicals"
"Explosives","26118783","0.023695430980179125","36","Chemicals"
"Photographic or cinematographic goods","14474306","0.013131351441948602","37","Chemicals"
"Miscellaneous chemical products","1366347539","1.2395751289526815","38","Chemicals"
"Plastics","2731541774","2.4781039597171524","39","Chemicals"
"Rubber","183149341","0.16615638518574127","40","Chemicals"
"Leather and skins","20479790","0.018579634833428595","41","Agriculture"
"Articles of leather","39146968","0.035514835370671016","42","Agriculture"
"Furskins","10900","0.000009888676577463524","43","Agriculture"
"Wood","97909219","0.08882500923330702","44","Agriculture"
"Cork","5061804","0.004592159876560658","45","Agriculture"
"Manufactues of plaiting materials","776535","0.0007044865565211594","46","Agriculture"
"Pulp of wood","18809871","0.017064654200257833","47","Agriculture"
"Paper and paperboard","255718989","0.23199287861806905","48","Agriculture"
"Products of the printing industry","97380416","0.08834526961494076","49","Agriculture"
"Silk","68228","0.00006189767206671388","50","Textiles"
"Wool","1144655","0.0010384516594290375","51","Textiles"
"Cotton","49387492","0.0448052234275291","52","Textiles"
"Other vegetable textile fibres","301488","0.0002735153508244333","53","Textiles"
"Man-made filaments","178504691","0.16194267494119854","54","Textiles"
"Man-made staple fibres","20956310","0.019011942371290332","55","Textiles"
"Wadding, felt and nonwovens","294306630","0.26700028244708474","56","Textiles"
"Carpets","12227779","0.011093261632266087","57","Textiles"
"Special woven fabrics","4897185","0.004442814550917955","58","Textiles"
"Impregnated, coated or laminated textile fabrics","114485267","0.10386309892179428","59","Textiles"
"Knitted fabrics","108069961","0.09804301762092629","60","Textiles"
"Apparel, knit","78054581","0.07081252356866326","61","Textiles"
"Apparel, not knit","71795344","0.06513403087924187","62","Textiles"
"Other made up textile articles","46992938","0.04263284085383445","63","Textiles"
"Footwear","47386891","0.04299024212023093","64","Textiles"
"Headgear","9369290","0.008499988859675525","65","Textiles"
"Umbrellas and walking-sticks","93877","0.00008516690743693057","66","Textiles"
"Feathers and down","7499245","0.006803450310106462","67","Textiles"
"Articles of stone, plaster, cement, etc.","293815374","0.2665546061442647","68","Stone"
"Ceramic products","29343349","0.026620815409232817","69","Stone"
"Glass and glassware","89028194","0.08076798318730996","70","Stone"
"Precious metals and stones","12511299159","11.350476233691962","71","Stone"
"Iron and steel","197241015","0.17894060597666345","72","Metals"
"Articles of iron or steel","356296050","0.32323820222731864","73","Metals"
"Copper","164686166","0.14940625984921743","74","Metals"
"Nickel","13776556","0.012498340058285741","75","Metals"
"Aluminium","253877683","0.23032241260759723","76","Metals"
"Lead","59178967","0.05368822613315476","78","Metals"
"Zinc","5182224","0.004701407072290765","79","Metals"
"Tin","882980","0.0008010553802173158","80","Metals"
"Other base metals","138190703","0.12536909797975399","81","Metals"
"Metal tools and tableware","1047435116","0.950252027339632","82","Metals"
"Miscellaneous articles of base metal","116599923","0.10578155298203215","83","Metals"
