"Name","Gross Import","Share","Code","Sector"
"Live animals","238939736","0.22816332730040217","01","Agriculture"
"Meat","497683488","0.4752374906974442","02","Agriculture"
"Fish","403122271","0.38494107426424223","03","Agriculture"
"Diary products","141554324","0.13517008974011413","04","Agriculture"
"Animal products","6839703","0.006531225908052994","05","Agriculture"
"Plants","19637743","0.018752062166630088","06","Agriculture"
"Vegetables","181994235","0.17378612240155528","07","Agriculture"
"Fruits and nuts","302411093","0.2887720659046487","08","Agriculture"
"Coffee, tea and spices","173889893","0.16604729391176237","09","Agriculture"
"Cereals","746401819","0.7127383890895089","10","Agriculture"
"Flours, starches and malts","81727447","0.0780414616315106","11","Agriculture"
"Oil seeds and oleaginous fruits","339823137","0.3244967912393626","12","Agriculture"
"Lac and other vegetable extracts","24660003","0.023547813477612194","13","Agriculture"
"Other vegetable materials","2144357","0.0020476444656317375","14","Agriculture"
"Animal or vegetable fats, oils or waxes","234945794","0.22434951587238244","15","Agriculture"
"Preparations of meat or fish","171179174","0.16345883090945781","16","Agriculture"
"Sugar and candy","288529371","0.27551642273201543","17","Agriculture"
"Cocoa","244502498","0.23347520345858222","18","Agriculture"
"Preparations of cereals, flour, starch or milk","340133136","0.3247928089904653","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","283166072","0.2703950136033684","20","Agriculture"
"Miscellaneous edible preparations","294959466","0.28165651434933303","21","Agriculture"
"Beverages","355517878","0.33948368453566236","22","Agriculture"
"Food residues and animal feed","364509017","0.3480693146397335","23","Agriculture"
"Tobacco","160452608","0.15321604320893337","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","273811675","0.26146250877960436","25","Minerals"
"Ores, slag and ash","13812534","0.01318957561704987","26","Minerals"
"Mineral fuels, oils and waxes","8368172889","7.990760355486703","27","Minerals"
"Inorganic chemicals","317559112","0.30323689488164945","28","Chemicals"
"Organic chemicals","1512484463","1.4442699793065898","29","Chemicals"
"Pharmaceutical products","2229712510","2.129150361181161","30","Chemicals"
"Fertilisers","70005394","0.06684808433878746","31","Chemicals"
"Dyes, paints, inks, etc.","362380657","0.34603694569423055","32","Chemicals"
"Essential oils","635499611","0.6068379758478986","33","Chemicals"
"Soaps, waxes, and paints","316994477","0.3026977254556388","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","97202807","0.09281886821896725","35","Chemicals"
"Explosives","22355827","0.02134755800044982","36","Chemicals"
"Photographic or cinematographic goods","156225586","0.14917966390996235","37","Chemicals"
"Miscellaneous chemical products","737442232","0.7041828879603145","38","Chemicals"
"Plastics","2679023896","2.5581973775540066","39","Chemicals"
"Rubber","442166959","0.42222480980618693","40","Chemicals"
"Leather and skins","17712017","0.01691318823555278","41","Agriculture"
"Articles of leather","198776841","0.18981181695464416","42","Agriculture"
"Furskins","803563","0.000767321546615809","43","Agriculture"
"Wood","646557742","0.617397374652473","44","Agriculture"
"Cork","6459681","0.006168343260658785","45","Agriculture"
"Manufactues of plaiting materials","25123841","0.02399073194391687","46","Agriculture"
"Pulp of wood","123972651","0.11838136686654552","47","Agriculture"
"Paper and paperboard","867254218","0.8281402302804433","48","Agriculture"
"Products of the printing industry","94412541","0.09015444586180359","49","Agriculture"
"Silk","659713","0.0006299593180404712","50","Textiles"
"Wool","7219825","0.006894204045352364","51","Textiles"
"Cotton","60119496","0.057408049714189106","52","Textiles"
"Other vegetable textile fibres","5211756","0.004976700861667625","53","Textiles"
"Man-made filaments","110050755","0.10508736157941252","54","Textiles"
"Man-made staple fibres","210809366","0.20130166366572147","55","Textiles"
"Wadding, felt and nonwovens","78745815","0.07519430406243488","56","Textiles"
