"Name","Gross Export","Share","Code","Sector"
"Live animals","66030401","0.009834671688183753","01","Agriculture"
"Meat","2463386521","0.3669006595179116","02","Agriculture"
"Fish","537202710","0.08001181581272825","03","Agriculture"
"Diary products","3870987519","0.5765509641297191","04","Agriculture"
"Animal products","195243638","0.029079894258655155","05","Agriculture"
"Plants","1042695557","0.1553007147998827","06","Agriculture"
"Vegetables","1804821044","0.26881288247310575","07","Agriculture"
"Fruits and nuts","3997085984","0.5953322676638129","08","Agriculture"
"Coffee, tea and spices","1756829454","0.2616649396422887","09","Agriculture"
"Cereals","751362015","0.11190903923932245","10","Agriculture"
"Flours, starches and malts","445312976","0.06632561443096568","11","Agriculture"
"Oil seeds and oleaginous fruits","657336211","0.09790468823504012","12","Agriculture"
"Lac and other vegetable extracts","251634829","0.037478886861935914","13","Agriculture"
"Other vegetable materials","6428979","0.0009575422350566657","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2632566964","0.39209866055634973","15","Agriculture"
"Preparations of meat or fish","1353935706","0.20165731168919118","16","Agriculture"
"Sugar and candy","397671171","0.05922976912771709","17","Agriculture"
"Cocoa","2126430752","0.3167139377750816","18","Agriculture"
"Preparations of cereals, flour, starch or milk","5673262580","0.8449846438939287","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3977049760","0.5923480409753984","20","Agriculture"
"Miscellaneous edible preparations","2893482112","0.4309597727136707","21","Agriculture"
"Beverages","10603141988","1.57924862996328","22","Agriculture"
"Food residues and animal feed","1107439967","0.16494384896766034","23","Agriculture"
"Tobacco","1207933862","0.17991156760974175","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1128156916","0.16802946390729773","25","Minerals"
"Ores, slag and ash","290839570","0.043318102594629655","26","Minerals"
"Mineral fuels, oils and waxes","18641979230","2.776565681389555","27","Minerals"
"Inorganic chemicals","1862759350","0.277442304815695","28","Chemicals"
"Organic chemicals","8614622022","1.2830753413744629","29","Chemicals"
"Pharmaceutical products","27669645592","4.121160495840708","30","Chemicals"
"Fertilisers","462116062","0.06882829246495668","31","Chemicals"
"Dyes, paints, inks, etc.","3473788540","0.5173915240205065","32","Chemicals"
"Essential oils","6027119952","0.897688716947544","33","Chemicals"
"Soaps, waxes, and paints","2557384989","0.3809009390553969","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","917916664","0.13671595039310572","35","Chemicals"
"Explosives","56488206","0.008413442169834645","36","Chemicals"
"Photographic or cinematographic goods","106800947","0.015907100878156315","37","Chemicals"
"Miscellaneous chemical products","5977094916","0.8902379094740352","38","Chemicals"
"Plastics","22370470480","3.3318930272891483","39","Chemicals"
"Rubber","5376774428","0.8008252326197745","40","Chemicals"
"Leather and skins","4366286452","0.6503215655465229","41","Agriculture"
"Articles of leather","10372525690","1.5449002761379815","42","Agriculture"
"Furskins","479823985","0.07146573834363062","43","Agriculture"
"Wood","2220026290","0.33065420428518394","44","Agriculture"
"Cork","68294469","0.010171885533965528","45","Agriculture"
"Manufactues of plaiting materials","12144845","0.0018088722992743904","46","Agriculture"
"Pulp of wood","468815443","0.06982610879881564","47","Agriculture"
"Paper and paperboard","8062728920","1.2008755154920894","48","Agriculture"
"Products of the printing industry","1334165448","0.19871269839476807","49","Agriculture"
"Silk","290390641","0.04325123840390174","50","Textiles"
"Wool","2426280610","0.36137404682361696","51","Textiles"
"Cotton","1435450827","0.21379830190758428","52","Textiles"
"Other vegetable textile fibres","260489343","0.038797692091491115","53","Textiles"
"Man-made filaments","2148719157","0.3200336078408181","54","Textiles"
"Man-made staple fibres","1191532429","0.177468712404747","55","Textiles"
"Wadding, felt and nonwovens","1714244672","0.25532229529150136","56","Textiles"
"Carpets","225345180","0.03356326522709853","57","Textiles"
"Special woven fabrics","563116585","0.0838714690774969","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1153293762","0.17177338525174687","59","Textiles"
"Knitted fabrics","1098113736","0.16355478546684712","60","Textiles"
"Apparel, knit","9545082594","1.4216596011371692","61","Textiles"
"Apparel, not knit","13652866631","2.0334794107708722","62","Textiles"
