"Name","Gross Import","Share","Code","Sector"
"Live animals","1764877318","0.28893547060464303","01","Agriculture"
"Meat","4942680184","0.8091869108673556","02","Agriculture"
"Fish","4794237892","0.7848848004264689","03","Agriculture"
"Diary products","4249520553","0.6957068393946904","04","Agriculture"
"Animal products","250006837","0.04092966823599536","05","Agriculture"
"Plants","617910402","0.10116070447077623","06","Agriculture"
"Vegetables","1648596012","0.2698985701192845","07","Agriculture"
"Fruits and nuts","3392249763","0.5553594415228889","08","Agriculture"
"Coffee, tea and spices","1749120602","0.2863558725180163","09","Agriculture"
"Cereals","3158323305","0.5170623596012391","10","Agriculture"
"Flours, starches and malts","369727967","0.060529716740822734","11","Agriculture"
"Oil seeds and oleaginous fruits","1454042198","0.23804734894221102","12","Agriculture"
"Lac and other vegetable extracts","208451648","0.034126493892190975","13","Agriculture"
"Other vegetable materials","17605110","0.0028822064236515427","14","Agriculture"
"Animal or vegetable fats, oils or waxes","4181631027","0.6845923602499501","15","Agriculture"
"Preparations of meat or fish","2216249235","0.3628314609525199","16","Agriculture"
"Sugar and candy","973626580","0.1593964924453118","17","Agriculture"
"Cocoa","1205540143","0.1973640348810317","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1733224158","0.28375339897425444","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1432244787","0.23447880333226181","20","Agriculture"
"Miscellaneous edible preparations","1324050168","0.21676580830489015","21","Agriculture"
"Beverages","2327792558","0.38109268636184934","22","Agriculture"
"Food residues and animal feed","2226058436","0.3644373664045784","23","Agriculture"
"Tobacco","2423895400","0.39682608584322543","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1303998603","0.21348308246862632","25","Minerals"
"Ores, slag and ash","1502008138","0.24590005422973749","26","Minerals"
"Mineral fuels, oils and waxes","62912263449","10.299630609474521","27","Minerals"
"Inorganic chemicals","2327609223","0.3810626718197828","28","Chemicals"
"Organic chemicals","15903055905","2.6035560064708827","29","Chemicals"
"Pharmaceutical products","26332337376","4.310977434101054","30","Chemicals"
