"Name","Gross Export","Share","Code","Sector"
"Live animals","4142","0.00008284301923040445","01","Agriculture"
"Meat","135611","0.0027123188510029886","02","Agriculture"
"Fish","7706735","0.1541403176747057","03","Agriculture"
"Diary products","5350799","0.10701988036094373","04","Agriculture"
"Animal products","20061","0.0004012346230760849","05","Agriculture"
"Plants","27037","0.0005407597080957135","06","Agriculture"
"Vegetables","8874579","0.17749804895189367","07","Agriculture"
"Fruits and nuts","9702920","0.19406547275496766","08","Agriculture"
"Coffee, tea and spices","23956074","0.47913894231458043","09","Agriculture"
"Cereals","30337","0.0006067621135665814","10","Agriculture"
"Flours, starches and malts","2378244","0.04756661357474505","11","Agriculture"
"Oil seeds and oleaginous fruits","1590175","0.03180465912716282","12","Agriculture"
"Lac and other vegetable extracts","162110","0.0032423181669340574","13","Agriculture"
"Other vegetable materials","8995","0.00017990655673044134","14","Agriculture"
"Animal or vegetable fats, oils or waxes","307251","0.006145243964645341","15","Agriculture"
"Preparations of meat or fish","2554888","0.051099622335955955","16","Agriculture"
"Sugar and candy","12554588","0.25110091142293695","17","Agriculture"
"Cocoa","909836","0.018197383207270466","18","Agriculture"
"Preparations of cereals, flour, starch or milk","18025296","0.36051905918921595","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","48103214","0.9620993439030084","20","Agriculture"
"Miscellaneous edible preparations","26480743","0.5296341626229837","21","Agriculture"
"Beverages","130854439","2.6171841638002866","22","Agriculture"
"Food residues and animal feed","5473176","0.1094675095652796","23","Agriculture"
"Tobacco","337986","0.006759966368326288","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","6300041","0.12600541229245207","25","Minerals"
"Ores, slag and ash","117224293","2.3445713083702477","26","Minerals"
"Mineral fuels, oils and waxes","3902415","0.0780511445895748","27","Minerals"
"Inorganic chemicals","623751917","12.475493011837916","28","Chemicals"
"Organic chemicals","21387","0.0004277555896380155","29","Chemicals"
"Pharmaceutical products","735028","0.01470109578437608","30","Chemicals"
"Fertilisers","152256","0.0030452309840522597","31","Chemicals"
"Dyes, paints, inks, etc.","2411551","0.04823277785323542","32","Chemicals"
"Essential oils","2911849","0.05823910253573973","33","Chemicals"
"Soaps, waxes, and paints","1292365","0.025848242044350954","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3982","0.0000796429026015139","35","Chemicals"
"Photographic or cinematographic goods","2658","0.00005316193749744448","37","Chemicals"
"Miscellaneous chemical products","2107697","0.04215547636476721","38","Chemicals"
"Plastics","2536799","0.050737829150330954","39","Chemicals"
"Rubber","2338630","0.046774304698889616","40","Chemicals"
"Articles of leather","35723","0.0007144860395866099","42","Agriculture"
"Wood","1138578","0.022772389944306","44","Agriculture"
"Manufactues of plaiting materials","14785","0.0002957107772384186","46","Agriculture"
"Pulp of wood","1048587","0.020972504347115433","47","Agriculture"
"Paper and paperboard","346097","0.0069221922806821075","48","Agriculture"
"Products of the printing industry","871143","0.017423495002760074","49","Agriculture"
"Cotton","144409","0.0028882852641341087","52","Textiles"
"Man-made filaments","5486","0.00010972399891308519","54","Textiles"
"Man-made staple fibres","486913","0.009738614925768694","55","Textiles"
"Wadding, felt and nonwovens","2157","0.00004314157230323091","56","Textiles"
"Carpets","2023","0.00004046147462653506","57","Textiles"
"Special woven fabrics","83400","0.0016680607928092062","58","Textiles"
"Apparel, knit","427298","0.008546271470573","61","Textiles"
"Apparel, not knit","345614","0.006912531928608644","62","Textiles"
"Other made up textile articles","258338","0.005166948310464565","63","Textiles"
"Footwear","19631","0.0003926343096359415","64","Textiles"
"Headgear","29397","0.0005879614283718493","65","Textiles"
"Articles of stone, plaster, cement, etc.","84240","0.0016848614051108814","68","Stone"
"Ceramic products","27048","0.0005409797161139497","69","Stone"
"Glass and glassware","418243","0.008365164870106724","70","Stone"
"Precious metals and stones","5069842","0.1014005355627987","71","Stone"
"Iron and steel","11578068","0.23156979960766064","72","Metals"
"Articles of iron or steel","1618344","0.032368059660407934","73","Metals"
"Copper","2177882","0.043559227524758985","74","Metals"
"Aluminium","4870185","0.09740725002670868","76","Metals"
"Lead","852731","0.017055241581690493","78","Metals"
"Tin","1689","0.00003378123116372601","80","Metals"
"Metal tools and tableware","92550","0.0018510674625238852","82","Metals"
"Miscellaneous articles of base metal","134319","0.0026864779092246973","83","Metals"
"Industrial Machinery","3409869","0.06819986555774023","84","Machinery"
"Electrical machinery and equipment","3485539","0.06971332071591615","85","Electronics"
"Trains","18499","0.00036999348448654083","86","Vehicles"
"Vehicles","2825937","0.05652079991185694","87","Vehicles"
"Aircraft","318808","0.006376392388895891","88","Vehicles"
"Ships","16113988","0.3222915059783937","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1697020","0.03394163700974915","90","Machinery"
"Clocks","776920","0.015538966320735353","91","Machinery"
"Musical instruments","7115","0.00014230518634097722","92","Machinery"
"Furniture","836189","0.01672438952372107","94","Textiles"
"Toys","57651","0.0011530620235760617","95","Machinery"
"Miscellaneous manufactured articles","66237","0.0013247882821739016","96","Machinery"
"Art","536453","0.010729451036988934","97","Textiles"
"Other","38679852","0.7736252349264119","99","Other"
"Travel and tourism","3411685632","68.23619952193881","travel","Services"
"Transport","246866512","4.937510188546323","transport","Services"
"ICT","155994560","3.120004909202917","ict","Services"
"Insurance and finance","13014169","0.2602928664255755","financial","Services"
