"Name","Gross Import","Share","Code","Sector"
"Live animals","1033329","0.014760994190651574","01","Agriculture"
"Meat","63796885","0.911331675455413","02","Agriculture"
"Fish","56497151","0.8070557563944927","03","Agriculture"
"Diary products","64537704","0.9219141955969404","04","Agriculture"
"Animal products","368645","0.005266054377079081","05","Agriculture"
"Plants","1359074","0.01941422665836882","06","Agriculture"
"Vegetables","20917910","0.2988101059687403","07","Agriculture"
"Fruits and nuts","6016493","0.08594495869282277","08","Agriculture"
"Coffee, tea and spices","5216811","0.07452158689510043","09","Agriculture"
"Cereals","111856627","1.5978599471541783","10","Agriculture"
"Flours, starches and malts","16448033","0.234958391335814","11","Agriculture"
"Oil seeds and oleaginous fruits","4370196","0.062427782214579036","12","Agriculture"
"Lac and other vegetable extracts","483400","0.006905317272389501","13","Agriculture"
"Other vegetable materials","197165","0.002816480926790807","14","Agriculture"
"Animal or vegetable fats, oils or waxes","32287577","0.4612245824197476","15","Agriculture"
"Preparations of meat or fish","37676857","0.5382098705243055","16","Agriculture"
"Sugar and candy","27918531","0.3988132278321095","17","Agriculture"
"Cocoa","4242803","0.06060798684163424","18","Agriculture"
"Preparations of cereals, flour, starch or milk","43140305","0.6162546405723027","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","50857849","0.7264989307742596","20","Agriculture"
"Miscellaneous edible preparations","68278918","0.9753570372475515","21","Agriculture"
"Beverages","60135722","0.8590323537737138","22","Agriculture"
"Food residues and animal feed","54352966","0.7764263031141897","23","Agriculture"
"Tobacco","3170051","0.04528383931455443","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","8312271","0.11873990175647983","25","Minerals"
"Ores, slag and ash","205446","0.00293477412565853","26","Minerals"
"Mineral fuels, oils and waxes","799232925","11.416956809401908","27","Minerals"
"Inorganic chemicals","155470904","2.220885227027741","28","Chemicals"
"Organic chemicals","17924872","0.25605487841739955","29","Chemicals"
"Pharmaceutical products","63795110","0.9113063197703519","30","Chemicals"
"Fertilisers","8998612","0.1285442094975826","31","Chemicals"
"Dyes, paints, inks, etc.","17638775","0.25196801338703373","32","Chemicals"
"Essential oils","27707329","0.3957962298623883","33","Chemicals"
"Soaps, waxes, and paints","35251340","0.5035616197287441","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3723010","0.05318279945858261","35","Chemicals"
"Explosives","623764","0.008910401992335053","36","Chemicals"
"Photographic or cinematographic goods","598290","0.008546508628253856","37","Chemicals"
"Miscellaneous chemical products","28203747","0.4028875078717492","38","Chemicals"
"Plastics","168288143","2.4039781145971335","39","Chemicals"
"Rubber","49412485","0.705852060699601","40","Chemicals"
"Leather and skins","427230","0.006102934833022273","41","Agriculture"
"Articles of leather","8895325","0.12706876575510578","42","Agriculture"
"Furskins","30105","0.0004300467035276912","43","Agriculture"
"Wood","47145926","0.6734745079242807","44","Agriculture"
"Cork","76526","0.0010931657211147683","45","Agriculture"
"Manufactues of plaiting materials","233394","0.0033340083150022242","46","Agriculture"
"Pulp of wood","85933","0.0012275437094916156","47","Agriculture"
"Paper and paperboard","93473803","1.3352632734212526","48","Agriculture"
"Products of the printing industry","22902281","0.3271566333604011","49","Agriculture"
"Silk","9827","0.00014037764343353666","50","Textiles"
"Wool","25979","0.0003711072350422152","51","Textiles"
"Cotton","1125992","0.01608467522998014","52","Textiles"
"Other vegetable textile fibres","146070","0.0020865943193585736","53","Textiles"
"Man-made filaments","5787357","0.08267177545218098","54","Textiles"
"Man-made staple fibres","3196139","0.04565650360293278","55","Textiles"
"Wadding, felt and nonwovens","2015541","0.028791787506225085","56","Textiles"
"Carpets","3188448","0.04554663849093041","57","Textiles"
"Special woven fabrics","2701042","0.038584095937214485","58","Textiles"
"Impregnated, coated or laminated textile fabrics","4179499","0.05970369597566124","59","Textiles"
"Knitted fabrics","1786017","0.025513061727102358","60","Textiles"
"Apparel, knit","32357464","0.4622229107362877","61","Textiles"
"Apparel, not knit","23603007","0.3371664292871955","62","Textiles"
"Other made up textile articles","23281483","0.33257349335279796","63","Textiles"
"Footwear","22615303","0.3230571833393093","64","Textiles"
"Headgear","2793230","0.03990099165237179","65","Textiles"
"Umbrellas and walking-sticks","2163404","0.030903994638718523","66","Textiles"
"Feathers and down","9939311","0.14198199405037437","67","Textiles"
"Articles of stone, plaster, cement, etc.","14920791","0.21314190279274683","68","Stone"
"Ceramic products","34297181","0.4899315605162785","69","Stone"
"Glass and glassware","41331040","0.5904094836529196","70","Stone"
"Precious metals and stones","34238557","0.48909412294950855","71","Stone"
"Iron and steel","88304173","1.2614156620624133","72","Metals"
"Articles of iron or steel","118470659","1.6923406865206179","73","Metals"
"Copper","3405059","0.04864090344684593","74","Metals"
"Nickel","23024","0.0003288953762505086","75","Metals"
"Aluminium","30090526","0.4298399439865233","76","Metals"
"Lead","415567","0.005936330126055208","78","Metals"
"Zinc","236676","0.003380891333802353","79","Metals"
"Tin","229911","0.0032842540327106796","80","Metals"
"Other base metals","219884","0.0031410194106787194","81","Metals"
"Metal tools and tableware","9955472","0.14221285220601998","82","Metals"
"Miscellaneous articles of base metal","18352360","0.2621614987528138","83","Metals"
"Industrial Machinery","398331062","5.6901165961064395","84","Machinery"
"Electrical machinery and equipment","278675018","3.9808428117063617","85","Electronics"
"Trains","21734529","0.31047542099907016","86","Vehicles"
"Vehicles","450719425","6.4384787555936365","87","Vehicles"
"Aircraft","12453735","0.1779002718271859","88","Vehicles"
"Ships","13599286","0.19426434527919886","89","Vehicles"
"Apparatuses (optical, medical, etc.)","69696847","0.9956120012829713","90","Machinery"
"Clocks","13811266","0.19729245689566788","91","Machinery"
"Musical instruments","2556461","0.03651877182352117","92","Machinery"
"Arms and ammunition","1196631","0.017093745786050312","93","Machinery"
"Furniture","78737311","1.1247540621220602","94","Textiles"
"Toys","14503079","0.20717493157122352","95","Machinery"
"Miscellaneous manufactured articles","8756673","0.12508813677196273","96","Machinery"
"Art","3073745","0.043908118410055576","97","Textiles"
"Other","291083808","4.158101049018017","99","Other"
"Unspecified","889466112","12.705928230034619","unspecified","Services"
"Travel and tourism","286384704","4.090974851219186","travel","Services"
"Transport","905167936","12.930227105655678","transport","Services"
