"Name","Gross Export","Share","Code","Sector"
"Live animals","34462416","0.0036510301002717943","01","Agriculture"
"Meat","250273106","0.02651452652926346","02","Agriculture"
"Fish","1523018235","0.16135216460876747","03","Agriculture"
"Diary products","53111151","0.005626721323341939","04","Agriculture"
"Animal products","65213003","0.006908820231353333","05","Agriculture"
"Plants","116881185","0.012382669995929367","06","Agriculture"
"Vegetables","43507265","0.004609262858863451","07","Agriculture"
"Fruits and nuts","225546618","0.02389494373617056","08","Agriculture"
"Coffee, tea and spices","187114164","0.019823318392743938","09","Agriculture"
"Cereals","53326814","0.005649569173141991","10","Agriculture"
"Flours, starches and malts","81870171","0.008673520122193376","11","Agriculture"
"Oil seeds and oleaginous fruits","179472253","0.019013716213819566","12","Agriculture"
"Lac and other vegetable extracts","46590222","0.004935878636609377","13","Agriculture"
"Other vegetable materials","2880560","0.00030517335945451184","14","Agriculture"
"Animal or vegetable fats, oils or waxes","284013224","0.03008903466603257","15","Agriculture"
"Preparations of meat or fish","819659139","0.08683663352133705","16","Agriculture"
"Sugar and candy","156712119","0.01660245362792833","17","Agriculture"
"Cocoa","84070507","0.008906628937510085","18","Agriculture"
"Preparations of cereals, flour, starch or milk","681526202","0.0722025025066703","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","172687899","0.018294965657709418","20","Agriculture"
"Miscellaneous edible preparations","1300511402","0.13777926290625334","21","Agriculture"
"Beverages","841949054","0.08919807999094906","22","Agriculture"
"Food residues and animal feed","126027704","0.013351673915495188","23","Agriculture"
"Tobacco","193461427","0.02049576249147867","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","822578405","0.08714590748624712","25","Minerals"
"Ores, slag and ash","408072673","0.04323218697787669","26","Minerals"
"Mineral fuels, oils and waxes","13291404889","1.4081229628427294","27","Minerals"
"Inorganic chemicals","5839350614","0.6186346557291451","28","Chemicals"
"Organic chemicals","19539007244","2.0700087764384434","29","Chemicals"
"Pharmaceutical products","6555118098","0.6944647608755693","30","Chemicals"
"Fertilisers","129441117","0.013713298985764755","31","Chemicals"
"Dyes, paints, inks, etc.","4971022244","0.5266418884260651","32","Chemicals"
"Essential oils","5297330951","0.5612118068913802","33","Chemicals"
"Soaps, waxes, and paints","2891940340","0.30637901966972503","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1137061366","0.12046297836814934","35","Chemicals"
"Explosives","30182917","0.003197649824696134","36","Chemicals"
"Photographic or cinematographic goods","5189159935","0.5497519128609389","37","Chemicals"
"Miscellaneous chemical products","12456869574","1.319710311947772","38","Chemicals"
"Plastics","26708676408","2.829580535039306","39","Chemicals"
"Rubber","10787460062","1.1428491081949055","40","Chemicals"
"Leather and skins","166104812","0.017597537805010176","41","Agriculture"
"Articles of leather","112330416","0.01190055073306678","42","Agriculture"
"Furskins","3168857","0.00033571622751164565","43","Agriculture"
"Wood","336474703","0.03564692819658994","44","Agriculture"
"Cork","8095976","0.0008577069021242748","45","Agriculture"
"Manufactues of plaiting materials","3471511","0.0003677801102054086","46","Agriculture"
"Pulp of wood","1077467119","0.11414942247583951","47","Agriculture"
"Paper and paperboard","4591049156","0.4863866381388762","48","Agriculture"
"Products of the printing industry","410136105","0.043450791858679706","49","Agriculture"
"Silk","50253741","0.005324000529802171","50","Textiles"
"Wool","212955160","0.022560974807111493","51","Textiles"
"Cotton","469052532","0.049692537892314315","52","Textiles"
"Other vegetable textile fibres","23628940","0.0025033059544495146","53","Textiles"
"Man-made filaments","2160498373","0.22888832261241462","54","Textiles"
"Man-made staple fibres","1717544133","0.18196069968304665","55","Textiles"
"Wadding, felt and nonwovens","1138560443","0.12062179414153054","56","Textiles"
"Carpets","52670526","0.005580040465623424","57","Textiles"
"Special woven fabrics","230298071","0.024398323938041106","58","Textiles"
"Impregnated, coated or laminated textile fabrics","997171150","0.10564267704773342","59","Textiles"
"Knitted fabrics","591349860","0.06264900692544341","60","Textiles"
"Apparel, knit","279824178","0.029645237195842927","61","Textiles"
"Apparel, not knit","323386233","0.034260304637275224","62","Textiles"
"Other made up textile articles","291713393","0.03090480883567233","63","Textiles"
"Footwear","83849164","0.00888317933503635","64","Textiles"
"Headgear","133202535","0.014111792531246422","65","Textiles"
"Umbrellas and walking-sticks","3721460","0.0003942603001762114","66","Textiles"
"Feathers and down","20777203","0.0022011861719868223","67","Textiles"
"Articles of stone, plaster, cement, etc.","2477893552","0.2625139207773881","68","Stone"
"Ceramic products","1763279747","0.18680603912089722","69","Stone"
"Glass and glassware","3331135404","0.35290838657640966","70","Stone"
"Precious metals and stones","12379010641","1.311461751894465","71","Stone"
"Iron and steel","29752377356","3.152037433516006","72","Metals"
"Articles of iron or steel","10812364529","1.145487546505447","73","Metals"
"Copper","8609318749","0.9120916506675942","74","Metals"
"Nickel","782047170","0.08285193230510517","75","Metals"
"Aluminium","2695148486","0.28553042384167016","76","Metals"
"Lead","46607811","0.004937742056992721","78","Metals"
"Zinc","408993244","0.04332971445332812","79","Metals"
"Tin","109808995","0.011633425411195632","80","Metals"
"Other base metals","1220540743","0.12930698159122392","81","Metals"
"Metal tools and tableware","4385439630","0.46460387722250235","82","Metals"
"Miscellaneous articles of base metal","1138488130","0.12061413313077492","83","Metals"
"Industrial Machinery","140065366757","14.838857207092367","84","Machinery"
"Electrical machinery and equipment","117115850613","12.407531027627252","85","Electronics"
"Trains","1953819609","0.20699228408595233","86","Vehicles"
"Vehicles","153780410526","16.291861477807576","87","Vehicles"
"Aircraft","5149543933","0.545554899634866","88","Vehicles"
"Ships","13246685635","1.4033852989942142","89","Vehicles"
"Apparatuses (optical, medical, etc.)","53597825772","5.678280803142047","90","Machinery"
"Clocks","1790316388","0.1896703650027867","91","Machinery"
"Musical instruments","638074548","0.06759913120906322","92","Machinery"
"Arms and ammunition","194737703","0.020630974198407592","93","Machinery"
"Furniture","1245914812","0.13199517065160127","94","Textiles"
"Toys","2720172768","0.2881815556375283","95","Machinery"
"Miscellaneous manufactured articles","1963282205","0.20799477395267296","96","Machinery"
"Art","551690961","0.05844744908943333","97","Textiles"
"Other","37245411328","3.9458672269388213","99","Other"
"Unspecified","23087","0.0000024458915452989403","unspecified","Services"
"Travel and tourism","55479803904","5.877662030737503","travel","Services"
"Transport","38153064448","4.042026151540208","transport","Services"
"ICT","81610620928","8.64602277187993","ict","Services"
"Insurance and finance","18427002880","1.952200396300568","financial","Services"
