"Name","Gross Import","Share","Code","Sector"
"Live animals","194511275","0.02287911072015124","01","Agriculture"
"Meat","9505288134","1.1180459315005042","02","Agriculture"
"Fish","9900806784","1.1645682474188734","03","Agriculture"
"Diary products","1780748697","0.20945802038173905","04","Agriculture"
"Animal products","509668278","0.059949002765576555","05","Agriculture"
"Plants","520477584","0.061220431934821344","06","Agriculture"
"Vegetables","2308189452","0.2714974853534491","07","Agriculture"
"Fruits and nuts","2834914440","0.33345275925478124","08","Agriculture"
"Coffee, tea and spices","1577669346","0.18557110196785556","09","Agriculture"
"Cereals","5040573340","0.5928902349691684","10","Agriculture"
"Flours, starches and malts","497354195","0.05850057635238209","11","Agriculture"
"Oil seeds and oleaginous fruits","3984653354","0.4686891557704713","12","Agriculture"
"Lac and other vegetable extracts","450184543","0.05295231345225456","13","Agriculture"
"Other vegetable materials","157007500","0.01846778278736873","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1657264986","0.19493342536222588","15","Agriculture"
"Preparations of meat or fish","6757150858","0.7948002121365301","16","Agriculture"
"Sugar and candy","657915065","0.07738631920741099","17","Agriculture"
"Cocoa","858887064","0.10102536335418924","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1072114744","0.12610596446238195","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3666816172","0.43130401150076847","20","Agriculture"
"Miscellaneous edible preparations","1683789482","0.19805333129456945","21","Agriculture"
"Beverages","2843703953","0.3344866131591536","22","Agriculture"
"Food residues and animal feed","2190007271","0.25759647522307","23","Agriculture"
"Tobacco","2495966232","0.2935844607243806","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1345593233","0.15827348086682","25","Minerals"
"Ores, slag and ash","18141291397","2.133843472459322","26","Minerals"
"Mineral fuels, oils and waxes","139703028384","16.432369045639987","27","Minerals"
"Inorganic chemicals","7597728744","0.8936719845965311","28","Chemicals"
"Organic chemicals","14689344654","1.7278131704464315","29","Chemicals"
"Pharmaceutical products","19063087344","2.242268403265003","30","Chemicals"
"Fertilisers","702956100","0.08268420657520088","31","Chemicals"
"Dyes, paints, inks, etc.","1310458898","0.1541408549275582","32","Chemicals"
"Essential oils","2829978176","0.3328721382568473","33","Chemicals"
"Soaps, waxes, and paints","1139940420","0.13408386266326056","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1078673528","0.12687743205635846","35","Chemicals"
"Explosives","95230544","0.011201356631466399","36","Chemicals"
"Photographic or cinematographic goods","368389904","0.04333133594338882","37","Chemicals"
"Miscellaneous chemical products","5325156376","0.6263639078435085","38","Chemicals"
"Plastics","16136868284","1.898076068578199","39","Chemicals"
"Rubber","4269796544","0.5022287159584714","40","Chemicals"
"Leather and skins","222693195","0.026193968781651505","41","Agriculture"
"Articles of leather","4646225473","0.5465056307278541","42","Agriculture"
"Furskins","75993450","0.008938620943985265","43","Agriculture"
"Wood","8714402357","1.0250191223400797","44","Agriculture"
"Cork","13054185","0.0015354798531670593","45","Agriculture"
"Manufactues of plaiting materials","235607728","0.027713022267913657","46","Agriculture"
"Pulp of wood","1445375442","0.17001022058852647","47","Agriculture"
"Paper and paperboard","2878958541","0.33863338368567103","48","Agriculture"
"Products of the printing industry","700377760","0.08238093301774672","49","Agriculture"
"Silk","132432492","0.01557718259475469","50","Textiles"
"Wool","503191552","0.05918718712657012","51","Textiles"
"Cotton","558643207","0.06570960879266957","52","Textiles"
"Other vegetable textile fibres","111417190","0.013105287732745196","53","Textiles"
"Man-made filaments","904221225","0.10635772924878409","54","Textiles"
"Man-made staple fibres","627733149","0.07383621447486885","55","Textiles"
"Wadding, felt and nonwovens","1171529507","0.13779948387350396","56","Textiles"
"Carpets","580848769","0.06832150628602147","57","Textiles"
"Special woven fabrics","160389218","0.01886555253385941","58","Textiles"
"Impregnated, coated or laminated textile fabrics","473834511","0.0557341071369653","59","Textiles"
"Knitted fabrics","131554242","0.015473879693727629","60","Textiles"
"Apparel, knit","12957869540","1.5241508848416896","61","Textiles"
"Apparel, not knit","13275629284","1.5615269205773192","62","Textiles"
"Other made up textile articles","3489115961","0.4104022781567078","63","Textiles"
"Footwear","4643382368","0.5461712145656854","64","Textiles"
"Headgear","454519579","0.05346221586598272","65","Textiles"
"Umbrellas and walking-sticks","286351241","0.03368165546028996","66","Textiles"
"Feathers and down","217667388","0.02560281541632031","67","Textiles"
"Articles of stone, plaster, cement, etc.","1273061896","0.14974208601629732","68","Stone"
"Ceramic products","1493445467","0.17566438857593716","69","Stone"
"Glass and glassware","2244187914","0.2639693959192404","70","Stone"
"Precious metals and stones","10667114664","1.254704116572188","71","Stone"
"Iron and steel","7826053139","0.9205283152298916","72","Metals"
"Articles of iron or steel","8130739997","0.9563666714339576","73","Metals"
"Copper","2855262815","0.33584620778160906","74","Metals"
"Nickel","2378508298","0.2797686391122596","75","Metals"
"Aluminium","8144919555","0.9580345216778305","76","Metals"
"Lead","143661594","0.016897989668513635","78","Metals"
"Zinc","147917033","0.01739852959887937","79","Metals"
"Tin","516593238","0.060763541288202653","80","Metals"
"Other base metals","1869977540","0.2199534355109031","81","Metals"
"Metal tools and tableware","1759588280","0.20696905657525758","82","Metals"
"Miscellaneous articles of base metal","1455090809","0.1711529767463888","83","Metals"
"Industrial Machinery","59295587407","6.974558721601914","84","Machinery"
"Electrical machinery and equipment","81824749156","9.624519172930853","85","Electronics"
"Trains","553240253","0.0650740940504939","86","Vehicles"
"Vehicles","24246558157","2.8519667492621656","87","Vehicles"
"Aircraft","6445213547","0.7581090317609182","88","Vehicles"
"Ships","942849012","0.11090126748659276","89","Vehicles"
"Apparatuses (optical, medical, etc.)","29127750112","3.426109976613673","90","Machinery"
"Clocks","2533378189","0.2979849886961423","91","Machinery"
"Musical instruments","460056452","0.05411348263913207","92","Machinery"
"Arms and ammunition","463138999","0.05447606282433249","93","Machinery"
"Furniture","7777603480","0.9148294933358161","94","Textiles"
"Toys","4982815972","0.5860966071068426","95","Machinery"
"Miscellaneous manufactured articles","1279692036","0.15052194675778957","96","Machinery"
"Art","508969396","0.059866797769191016","97","Textiles"
"Other","21351372800","2.5114247095363784","99","Other"
"Unspecified","83833929728","9.86084616612734","unspecified","Services"
"Travel and tourism","20196835328","2.3756238894941903","travel","Services"
"Transport","38372745216","4.513539312479535","transport","Services"
"ICT","43165528064","5.077283544977285","ict","Services"
"Insurance and finance","15345395712","1.804980238494566","financial","Services"
