"Name","Gross Export","Share","Code","Sector"
"Live animals","69121274","0.44329108631575004","01","Agriculture"
"Meat","36903826","0.23667296868323662","02","Agriculture"
"Fish","2006803","0.012870102508407267","03","Agriculture"
"Diary products","60768879","0.3897252007551303","04","Agriculture"
"Animal products","140328","0.0008999566697876051","05","Agriculture"
"Plants","2670240","0.017124880978376764","06","Agriculture"
"Vegetables","215044599","1.3791318993490318","07","Agriculture"
"Fruits and nuts","105921981","0.6793027284509576","08","Agriculture"
"Coffee, tea and spices","41787378","0.26799234325320553","09","Agriculture"
"Cereals","89037111","0.5710160616774225","10","Agriculture"
"Flours, starches and malts","9830208","0.06304345002422519","11","Agriculture"
"Oil seeds and oleaginous fruits","16744658","0.10738745403919658","12","Agriculture"
"Lac and other vegetable extracts","5417288","0.03474234983581577","13","Agriculture"
"Other vegetable materials","23726","0.00015216045227880906","14","Agriculture"
"Animal or vegetable fats, oils or waxes","11533614","0.0739677957788588","15","Agriculture"
"Preparations of meat or fish","41264980","0.26464208126426747","16","Agriculture"
"Sugar and candy","19009777","0.12191419818086915","17","Agriculture"
"Cocoa","9953874","0.06383654934528694","18","Agriculture"
"Preparations of cereals, flour, starch or milk","43035965","0.2759998271371068","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","60006901","0.384838455534423","20","Agriculture"
"Miscellaneous edible preparations","48375406","0.310242925741002","21","Agriculture"
"Beverages","30926889","0.19834145738078582","22","Agriculture"
"Food residues and animal feed","48447181","0.3107032358001064","23","Agriculture"
"Tobacco","117081987","0.7508744877190273","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","460949884","2.956180680574246","25","Minerals"
"Ores, slag and ash","5065560","0.032486634942486894","26","Minerals"
"Mineral fuels, oils and waxes","93202624","0.5977304822309611","27","Minerals"
"Inorganic chemicals","773081628","4.957955414520695","28","Chemicals"
"Organic chemicals","82105876","0.5265644114856197","29","Chemicals"
"Pharmaceutical products","777612512","4.987013045754903","30","Chemicals"
"Fertilisers","887515893","5.691849434523776","31","Chemicals"
"Dyes, paints, inks, etc.","64267637","0.41216356371956175","32","Chemicals"
"Essential oils","38331072","0.24582623501018266","33","Chemicals"
"Soaps, waxes, and paints","130923530","0.8396435782996807","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6251944","0.040095196268304246","35","Chemicals"
"Explosives","100503","0.0006445495210055276","36","Chemicals"
"Photographic or cinematographic goods","116956","0.0007500665032757478","37","Chemicals"
"Miscellaneous chemical products","58352279","0.3742269731155379","38","Chemicals"
"Plastics","236568231","1.5171680444979252","39","Chemicals"
"Rubber","10107896","0.06482432887748314","40","Chemicals"
"Leather and skins","5155205","0.03306154954016597","41","Agriculture"
"Articles of leather","1287317","0.0082558685385737","42","Agriculture"
"Furskins","432496","0.002773699189445157","43","Agriculture"
"Wood","7746973","0.04968317101372849","44","Agriculture"
"Cork","53013","0.00033998491345597676","45","Agriculture"
"Manufactues of plaiting materials","526502","0.0033765819120668266","46","Agriculture"
"Pulp of wood","16929844","0.1085750956777241","47","Agriculture"
"Paper and paperboard","153993102","0.9875942024840587","48","Agriculture"
"Products of the printing industry","11500744","0.07375699269083703","49","Agriculture"
"Silk","4854","0.00003112985060108485","50","Textiles"
"Wool","781399","0.005011296689294829","51","Textiles"
"Cotton","747201","0.004791976823028677","52","Textiles"
"Other vegetable textile fibres","11000","0.0000705456029278808","53","Textiles"
"Man-made filaments","4489264","0.028790712325675438","54","Textiles"
"Man-made staple fibres","3233314","0.020736007780468902","55","Textiles"
"Wadding, felt and nonwovens","2488478","0.01595919826206972","56","Textiles"
"Carpets","38072290","0.24416660480864788","57","Textiles"
"Special woven fabrics","1193715","0.007655576763550474","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2232686","0.01431874363805804","59","Textiles"
"Knitted fabrics","6916118","0.04435470129366991","60","Textiles"
"Apparel, knit","1283377227","8.230601842056975","61","Textiles"
"Apparel, not knit","468815751","3.0066263469438392","62","Textiles"
"Other made up textile articles","26066319","0.16716947181504316","63","Textiles"
"Footwear","4360445","0.027964565596260284","64","Textiles"
"Headgear","1082416","0.006941789939889547","65","Textiles"
"Umbrellas and walking-sticks","18738","0.00012017122796933002","66","Textiles"
"Feathers and down","10160","0.00006515848415884262","67","Textiles"
