"Name","Gross Import","Share","Code","Sector"
"Live animals","125944679","0.5038106533029526","01","Agriculture"
"Meat","309918773","1.2397536818207262","02","Agriculture"
"Fish","59647881","0.2386066496286578","03","Agriculture"
"Diary products","245798566","0.9832565940907192","04","Agriculture"
"Animal products","954935","0.003819982154322336","05","Agriculture"
"Plants","9865785","0.03946564178544193","06","Agriculture"
"Vegetables","77292692","0.30919036803503147","07","Agriculture"
"Fruits and nuts","244811187","0.9793068277091825","08","Agriculture"
"Coffee, tea and spices","187459050","0.7498837362398681","09","Agriculture"
"Cereals","611751452","2.4471609371536043","10","Agriculture"
"Flours, starches and malts","22046450","0.0881913905827723","11","Agriculture"
"Oil seeds and oleaginous fruits","113523038","0.45412093939844744","12","Agriculture"
"Lac and other vegetable extracts","4785012","0.019141261392888763","13","Agriculture"
"Other vegetable materials","695419","0.0027818523457373377","14","Agriculture"
"Animal or vegetable fats, oils or waxes","154566907","0.6183068233846284","15","Agriculture"
"Preparations of meat or fish","59791693","0.23918193409679164","16","Agriculture"
"Sugar and candy","214077070","0.856362566090481","17","Agriculture"
"Cocoa","89616456","0.35848854911969175","18","Agriculture"
"Preparations of cereals, flour, starch or milk","177967420","0.7119148093333976","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","130392519","0.521603141195093","20","Agriculture"
"Miscellaneous edible preparations","164653934","0.6586574892730581","21","Agriculture"
"Beverages","103734443","0.41496407718699974","22","Agriculture"
"Food residues and animal feed","182506157","0.7300709082753806","23","Agriculture"
"Tobacco","159163502","0.6366943689983585","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","71864366","0.2874756875092952","25","Minerals"
"Ores, slag and ash","556234","0.0022250770509273723","26","Minerals"
"Mineral fuels, oils and waxes","3110558576","12.443023085649072","27","Minerals"
"Inorganic chemicals","96975239","0.3879255471745652","28","Chemicals"
"Organic chemicals","358171356","1.432776249806984","29","Chemicals"
"Pharmaceutical products","584604709","2.3385670812283585","30","Chemicals"
"Fertilisers","32819671","0.13128700647764538","31","Chemicals"
"Dyes, paints, inks, etc.","83099895","0.33242065263715326","32","Chemicals"
"Essential oils","206690409","0.8268140489662488","33","Chemicals"
"Soaps, waxes, and paints","116244316","0.4650067414655515","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","22178955","0.08872144418365455","35","Chemicals"
"Explosives","4342609","0.017371537207453457","36","Chemicals"
"Photographic or cinematographic goods","8054755","0.03222106254084164","37","Chemicals"
"Miscellaneous chemical products","119064215","0.47628705254116543","38","Chemicals"
"Plastics","710997854","2.8441717122542136","39","Chemicals"
"Rubber","122163123","0.48868347036843823","40","Chemicals"
"Leather and skins","1412213","0.005649210111789817","41","Agriculture"
"Articles of leather","46343567","0.1853860198941724","42","Agriculture"
"Furskins","211924","0.0008477497401106953","43","Agriculture"
"Wood","162120095","0.6485214907371096","44","Agriculture"
"Cork","1402929","0.005612071757534576","45","Agriculture"
"Manufactues of plaiting materials","477639","0.0019106771206504802","46","Agriculture"
"Pulp of wood","67983542","0.2719514074022033","47","Agriculture"
"Paper and paperboard","348640965","1.3946522690714218","48","Agriculture"
"Products of the printing industry","43533154","0.17414365522403727","49","Agriculture"
"Silk","107532","0.0004301552681790797","50","Textiles"
"Wool","19587989","0.07835692316132745","51","Textiles"
"Cotton","90954113","0.36383951632542233","52","Textiles"
"Other vegetable textile fibres","5358092","0.02143372671565842","53","Textiles"
"Man-made filaments","147814686","0.5912962271429569","54","Textiles"
"Man-made staple fibres","101489176","0.40598243982771465","55","Textiles"
"Wadding, felt and nonwovens","30770253","0.1230888147821405","56","Textiles"
"Carpets","33327082","0.13331677914793902","57","Textiles"
"Special woven fabrics","30373377","0.12150121014153266","58","Textiles"
"Impregnated, coated or laminated textile fabrics","18613959","0.0744605561648569","59","Textiles"
"Knitted fabrics","455269488","1.8211934001450012","60","Textiles"
"Apparel, knit","388934044","1.5558348026707767","61","Textiles"
"Apparel, not knit","251045238","1.0042446125522717","62","Textiles"
"Other made up textile articles","69812407","0.2792673311694385","63","Textiles"
"Footwear","237201085","0.9488644899243358","64","Textiles"
"Headgear","3771164","0.015085612299290358","65","Textiles"
"Umbrellas and walking-sticks","1141603","0.004566701489966167","66","Textiles"
"Feathers and down","2997266","0.01198982405269164","67","Textiles"
"Articles of stone, plaster, cement, etc.","83663492","0.3346751835552048","68","Stone"
"Ceramic products","200543200","0.8022236541447273","69","Stone"
"Glass and glassware","79236723","0.31696698500629067","70","Stone"
"Precious metals and stones","451571436","1.806400254385598","71","Stone"
"Iron and steel","589069642","2.3564279454549757","72","Metals"
"Articles of iron or steel","381685623","1.5268392806017195","73","Metals"
"Copper","128412963","0.5136844152153334","74","Metals"
"Nickel","1963298","0.007853689857023498","75","Metals"
"Aluminium","209268981","0.8371289908456807","76","Metals"
"Lead","670862","0.002683618118524288","78","Metals"
"Zinc","6613356","0.026455101028007716","79","Metals"
