"Name","Gross Export","Share","Code","Sector"
"Live animals","24917142","0.04501998977650949","01","Agriculture"
"Meat","41587720","0.07514018779635077","02","Agriculture"
"Fish","64578265","0.1166792254940282","03","Agriculture"
"Diary products","60750603","0.10976345224411319","04","Agriculture"
"Animal products","27943477","0.05048793512755709","05","Agriculture"
"Plants","12953155","0.02340360325728941","06","Agriculture"
"Vegetables","100392092","0.1813872134887059","07","Agriculture"
"Fruits and nuts","19997213","0.0361307217665125","08","Agriculture"
"Coffee, tea and spices","11108027","0.020069848378967036","09","Agriculture"
"Cereals","1246157367","2.2515420075970987","10","Agriculture"
"Flours, starches and malts","398802900","0.72055223993355","11","Agriculture"
"Oil seeds and oleaginous fruits","399155141","0.7211886646976289","12","Agriculture"
"Lac and other vegetable extracts","980940","0.0017723504875225746","13","Agriculture"
"Other vegetable materials","244453","0.00044167471377082795","14","Agriculture"
"Animal or vegetable fats, oils or waxes","134587237","0.24317058648976117","15","Agriculture"
"Preparations of meat or fish","13894839","0.025105026480414384","16","Agriculture"
"Sugar and candy","60132522","0.10864671099421162","17","Agriculture"
"Cocoa","33061815","0.059735686110905024","18","Agriculture"
"Preparations of cereals, flour, starch or milk","45760879","0.08268020083298831","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7079193","0.01279060000083226","20","Agriculture"
"Miscellaneous edible preparations","22286756","0.04026744027350976","21","Agriculture"
"Beverages","42598761","0.07696692440537407","22","Agriculture"
"Food residues and animal feed","78155580","0.14121055346464573","23","Agriculture"
"Tobacco","88367971","0.15966217758805915","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","571512858","1.0326024960769464","25","Minerals"
"Ores, slag and ash","2821345331","5.09757250480905","26","Minerals"
"Mineral fuels, oils and waxes","28582324591","51.64219720205856","27","Minerals"
"Inorganic chemicals","2280531171","4.12043604372569","28","Chemicals"
"Organic chemicals","97412546","0.17600380593503703","29","Chemicals"
"Pharmaceutical products","29764145","0.05377749597472078","30","Chemicals"
"Fertilisers","78672835","0.14214512352135","31","Chemicals"
"Dyes, paints, inks, etc.","17421082","0.031476199539085724","32","Chemicals"
"Essential oils","20928071","0.03781258470421948","33","Chemicals"
"Soaps, waxes, and paints","13763415","0.024867571192147855","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2022252","0.0036537803719835075","35","Chemicals"
"Explosives","852280","0.0015398891609127367","36","Chemicals"
"Photographic or cinematographic goods","488010","0.0008817305456153197","37","Chemicals"
"Miscellaneous chemical products","46702271","0.08438109647405694","38","Chemicals"
"Plastics","108938376","0.1968285357040365","39","Chemicals"
"Rubber","15820957","0.02858511310785949","40","Chemicals"
"Leather and skins","17706010","0.03199100399166063","41","Agriculture"
"Articles of leather","2394814","0.004326920872250992","42","Agriculture"
"Furskins","1439703","0.002601237908473213","43","Agriculture"
"Wood","49623065","0.08965835162712746","44","Agriculture"
"Cork","39965","0.00007220827699333262","45","Agriculture"
"Manufactues of plaiting materials","9292","0.000016788672834281162","46","Agriculture"
"Pulp of wood","4687878","0.008470001079318156","47","Agriculture"
"Paper and paperboard","25691627","0.04641931987552566","48","Agriculture"
"Products of the printing industry","6614148","0.011950362338518627","49","Agriculture"
"Silk","137772","0.0002489247776285605","50","Textiles"
"Wool","17983445","0.032492270182768984","51","Textiles"
"Cotton","85134825","0.15382056863202548","52","Textiles"
"Other vegetable textile fibres","18983","0.000034298254026383915","53","Textiles"
"Man-made filaments","1202600","0.0021728430855043617","54","Textiles"
"Man-made staple fibres","259806","0.0004694143278501132","55","Textiles"
"Wadding, felt and nonwovens","1147329","0.0020729801134613617","56","Textiles"
"Carpets","1976997","0.00357201418718848","57","Textiles"
"Special woven fabrics","874399","0.0015798535016812974","58","Textiles"
"Impregnated, coated or laminated textile fabrics","32006848","0.05782958453815824","59","Textiles"
"Knitted fabrics","90282","0.0001631204219570138","60","Textiles"
"Apparel, knit","4501287","0.008132870724946508","61","Textiles"
"Apparel, not knit","7041804","0.012723046009377145","62","Textiles"
"Other made up textile articles","21435216","0.03872888813561654","63","Textiles"
