"Name","Gross Import","Share","Code","Sector"
"Live animals","50768926","0.10126491007321967","01","Agriculture"
"Meat","156147271","0.31145506911045673","02","Agriculture"
"Fish","76649964","0.15288784544261436","03","Agriculture"
"Diary products","330354842","0.6589336431379835","04","Agriculture"
"Animal products","4300163","0.008577207630809179","05","Agriculture"
"Plants","59951763","0.11958121566183966","06","Agriculture"
"Vegetables","148423294","0.29604864045540463","07","Agriculture"
"Fruits and nuts","607802028","1.2123364143598496","08","Agriculture"
"Coffee, tea and spices","102816559","0.20508035961156407","09","Agriculture"
"Cereals","78184242","0.15594815291686187","10","Agriculture"
"Flours, starches and malts","24750004","0.04936694799042681","11","Agriculture"
"Oil seeds and oleaginous fruits","68808290","0.13724665554559928","12","Agriculture"
"Lac and other vegetable extracts","10497400","0.020938364286111077","13","Agriculture"
"Other vegetable materials","325731","0.000649710817657634","14","Agriculture"
"Animal or vegetable fats, oils or waxes","182639143","0.3642963885378412","15","Agriculture"
"Preparations of meat or fish","98031323","0.1955356138113647","16","Agriculture"
"Sugar and candy","201186773","0.40129193349030584","17","Agriculture"
"Cocoa","195827954","0.39060310536473825","18","Agriculture"
"Preparations of cereals, flour, starch or milk","268828870","0.5362124726773866","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","209616409","0.4181058864088682","20","Agriculture"
"Miscellaneous edible preparations","277918182","0.5543422310714766","21","Agriculture"
"Beverages","215166354","0.4291759390102629","22","Agriculture"
"Food residues and animal feed","70824943","0.14126911969411976","23","Agriculture"
"Tobacco","221987244","0.44278104880654506","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","106430911","0.21228963227281675","25","Minerals"
"Ores, slag and ash","764858705","1.525605406357114","26","Minerals"
"Mineral fuels, oils and waxes","2485795314","4.958226591845588","27","Minerals"
"Inorganic chemicals","380496450","0.7589472897738535","28","Chemicals"
"Organic chemicals","186593544","0.37218393104087644","29","Chemicals"
"Pharmaceutical products","1042388393","2.0791727380349343","30","Chemicals"
"Fertilisers","89751868","0.1790212154955471","31","Chemicals"
"Dyes, paints, inks, etc.","178834598","0.35670775238480307","32","Chemicals"
"Essential oils","340771943","0.6797118411244575","33","Chemicals"
"Soaps, waxes, and paints","274446031","0.5474165959147346","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","49822995","0.0993781335506974","35","Chemicals"
"Explosives","36306687","0.07241818340044329","36","Chemicals"
"Photographic or cinematographic goods","18198475","0.036299112066005425","37","Chemicals"
"Miscellaneous chemical products","474028416","0.94550837885345","38","Chemicals"
"Plastics","1330575964","2.6539985372163986","39","Chemicals"
"Rubber","540884622","1.0788613611171805","40","Chemicals"
"Leather and skins","4790313","0.009554872505429308","41","Agriculture"
"Articles of leather","354714418","0.7075218341322496","42","Agriculture"
"Furskins","68571953","0.13677525213139324","43","Agriculture"
"Wood","350036156","0.698190461222589","44","Agriculture"
"Cork","1569219","0.0031300016258013355","45","Agriculture"
"Manufactues of plaiting materials","1705996","0.0034028202906098994","46","Agriculture"
"Pulp of wood","7076687","0.01411532859039253","47","Agriculture"
"Paper and paperboard","561769209","1.1205182562122498","48","Agriculture"
"Products of the printing industry","59022924","0.11772853124997126","49","Agriculture"
"Silk","406866","0.0008115446228240203","50","Textiles"
"Wool","53440686","0.10659406626094808","51","Textiles"
"Cotton","84639742","0.16882444710866082","52","Textiles"
"Other vegetable textile fibres","3963233","0.007905159020780086","53","Textiles"
"Man-made filaments","274073109","0.5466727568034969","54","Textiles"
"Man-made staple fibres","51205939","0.10213658662091397","55","Textiles"
"Wadding, felt and nonwovens","72326014","0.14426319169455007","56","Textiles"
"Carpets","57551339","0.11479327272805379","57","Textiles"
"Special woven fabrics","42547123","0.08486550581096036","58","Textiles"
"Impregnated, coated or laminated textile fabrics","47484564","0.09471384333255434","59","Textiles"
"Knitted fabrics","98473428","0.1964174469836465","60","Textiles"
"Apparel, knit","923927315","1.8428874478783794","61","Textiles"
"Apparel, not knit","1298458870","2.589937015888901","62","Textiles"
"Other made up textile articles","622822552","1.2422967096025073","63","Textiles"
"Footwear","989093434","1.9728693423221526","64","Textiles"
"Headgear","51719279","0.1031605068223574","65","Textiles"
"Umbrellas and walking-sticks","12011903","0.023959228073945026","66","Textiles"
"Feathers and down","12567279","0.025066994283079024","67","Textiles"
"Articles of stone, plaster, cement, etc.","202332166","0.403576561672976","68","Stone"
"Ceramic products","379427265","0.7568146678846956","69","Stone"
"Glass and glassware","208252695","0.415385789955073","70","Stone"
"Precious metals and stones","106618047","0.21266289819952677","71","Stone"
"Iron and steel","1185766885","2.3651588961587806","72","Metals"
"Articles of iron or steel","1765316960","3.5211432915703105","73","Metals"
"Copper","65407420","0.1304631991707154","74","Metals"
"Nickel","23905917","0.04768331193814999","75","Metals"
"Aluminium","285116586","0.5687003392916644","76","Metals"
"Lead","2565755","0.005117716087689421","78","Metals"
"Zinc","15478460","0.030873705304932546","79","Metals"
"Tin","9256330","0.018462896478409756","80","Metals"
"Other base metals","29633265","0.05910721679243102","81","Metals"
"Metal tools and tableware","199667568","0.3982616909811816","82","Metals"
"Miscellaneous articles of base metal","204631944","0.4081637536958753","83","Metals"
"Industrial Machinery","5523721357","11.017746297924994","84","Machinery"
"Electrical machinery and equipment","3620291767","7.221120262108214","85","Electronics"
"Trains","418456707","0.8346637233155303","86","Vehicles"
"Vehicles","2249626189","4.487158025116483","87","Vehicles"
"Aircraft","473904116","0.9452604471102789","88","Vehicles"
"Ships","108417974","0.2162530755019452","89","Vehicles"
"Apparatuses (optical, medical, etc.)","763538965","1.5229730214920092","90","Machinery"
"Clocks","49512403","0.09875861934333635","91","Machinery"
"Musical instruments","6189041","0.012344808718318554","92","Machinery"
"Arms and ammunition","8992193","0.017936042521483227","93","Machinery"
"Furniture","716981044","1.430107482377373","94","Textiles"
"Toys","758992482","1.5139044981172107","95","Machinery"
"Miscellaneous manufactured articles","120070869","0.23949621766074666","96","Machinery"
"Art","4471015","0.0089179931029271","97","Textiles"
"Other","689601728","1.37549604599193","99","Other"
"Unspecified","5418461696","10.807792868823448","unspecified","Services"
"Travel and tourism","2686904832","5.3593644306712225","travel","Services"
"Transport","2020484864","4.030107275802161","transport","Services"
"ICT","1455155328","2.902487506481553","ict","Services"
"Insurance and finance","289652320","0.5777474224548191","financial","Services"
