"Name","Gross Export","Share","Code","Sector"
"Live animals","7554928","0.12509474725885794","01","Agriculture"
"Meat","48671466","0.8059037409738515","02","Agriculture"
"Fish","49226952","0.8151014965018769","03","Agriculture"
"Diary products","5599262","0.09271276506223851","04","Agriculture"
"Animal products","1989833","0.03294772051068324","05","Agriculture"
"Plants","596345159","9.874302831760733","06","Agriculture"
"Vegetables","244341634","4.045816842999215","07","Agriculture"
"Fruits and nuts","220562700","3.6520844687376646","08","Agriculture"
"Coffee, tea and spices","1500803998","24.850362149697993","09","Agriculture"
"Cereals","30313148","0.5019261054083316","10","Agriculture"
"Flours, starches and malts","2768420","0.04583958976265128","11","Agriculture"
"Oil seeds and oleaginous fruits","40853223","0.6764490152513383","12","Agriculture"
"Lac and other vegetable extracts","9884287","0.1636643504873925","13","Agriculture"
"Other vegetable materials","15830614","0.2621238292783913","14","Agriculture"
"Animal or vegetable fats, oils or waxes","108911229","1.8033557256146717","15","Agriculture"
"Preparations of meat or fish","9666820","0.160063524721463","16","Agriculture"
"Sugar and candy","49926803","0.8266896524662831","17","Agriculture"
"Cocoa","6311275","0.10450229982418745","18","Agriculture"
"Preparations of cereals, flour, starch or milk","27205406","0.45046801076656423","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","99408555","1.6460101357806824","20","Agriculture"
"Miscellaneous edible preparations","90152839","1.4927536846643028","21","Agriculture"
"Beverages","48164478","0.7975090169310448","22","Agriculture"
"Food residues and animal feed","19406362","0.32133118271992867","23","Agriculture"
"Tobacco","141380591","2.3409844936249513","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","71230775","1.1794415242180438","25","Minerals"
"Ores, slag and ash","198018345","3.278794294319196","26","Minerals"
"Mineral fuels, oils and waxes","315463564","5.223456108113613","27","Minerals"
"Inorganic chemicals","64776913","1.0725782641401784","28","Chemicals"
"Organic chemicals","5659985","0.09371821850107998","29","Chemicals"
"Pharmaceutical products","120160941","1.989628828333181","30","Chemicals"
"Fertilisers","30488164","0.5048240261146912","31","Chemicals"
"Dyes, paints, inks, etc.","28365738","0.4696808263322937","32","Chemicals"
"Essential oils","28207100","0.46705409309067303","33","Chemicals"
"Soaps, waxes, and paints","92599028","1.5332577628901176","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6455025","0.10688251707026322","35","Chemicals"
"Explosives","3504798","0.05803256099903942","36","Chemicals"
"Photographic or cinematographic goods","151717","0.002512135095115685","37","Chemicals"
"Miscellaneous chemical products","32862990","0.5441464734303724","38","Chemicals"
"Plastics","112711770","1.8662852089720152","39","Chemicals"
"Rubber","5969359","0.09884084340742744","40","Chemicals"
"Leather and skins","66711106","1.1046046956938413","41","Agriculture"
"Articles of leather","2466990","0.040848501870584336","42","Agriculture"
"Wood","11888867","0.19685625231096535","44","Agriculture"
"Cork","20250","0.0003353001685776322","45","Agriculture"
"Manufactues of plaiting materials","2076998","0.03439100145853852","46","Agriculture"
"Pulp of wood","910937","0.015083324921659385","47","Agriculture"
"Paper and paperboard","75297505","1.246778573825931","48","Agriculture"
"Products of the printing industry","64988211","1.0760769434004311","49","Agriculture"
"Silk","5229","0.00008658195464160191","50","Textiles"
"Wool","4500957","0.07452699461040364","51","Textiles"
"Cotton","2520461","0.041733876453992465","52","Textiles"
"Other vegetable textile fibres","34736392","0.5751663255989488","53","Textiles"
"Man-made filaments","674011","0.011160296391268072","54","Textiles"
"Man-made staple fibres","10291377","0.17040496014794898","55","Textiles"
"Wadding, felt and nonwovens","3252443","0.05385405857724147","56","Textiles"
"Carpets","184718","0.0030585667426826202","57","Textiles"
"Special woven fabrics","338609","0.00560669900157548","58","Textiles"
"Impregnated, coated or laminated textile fabrics","331743","0.005493011546886392","59","Textiles"
"Knitted fabrics","445589","0.007378077373646348","60","Textiles"
"Apparel, knit","150783870","2.4966842977672976","61","Textiles"
"Apparel, not knit","208939983","3.4596351369139557","62","Textiles"
"Other made up textile articles","25577003","0.4235048601289187","63","Textiles"
"Footwear","33457294","0.5539869786840198","64","Textiles"
"Headgear","386991","0.00640780975496427","65","Textiles"
"Umbrellas and walking-sticks","235059","0.003892114682750106","66","Textiles"
"Feathers and down","5542612","0.09177475249187195","67","Textiles"
"Articles of stone, plaster, cement, etc.","8323629","0.13782292379642805","68","Stone"
"Ceramic products","7192949","0.11910108702569437","69","Stone"
"Glass and glassware","11357473","0.18805741291436573","70","Stone"
"Precious metals and stones","134738215","2.2309998125110737","71","Stone"
"Iron and steel","110374435","1.8275835388721435","72","Metals"
"Articles of iron or steel","42874903","0.7099240594394878","73","Metals"
"Copper","40647854","0.6730485085688386","74","Metals"
"Nickel","82624","0.0013680909199288041","75","Metals"
"Aluminium","18222775","0.30173331009640797","76","Metals"
"Lead","1040470","0.017228136612344146","78","Metals"
"Zinc","3666656","0.060712611106972174","79","Metals"
"Tin","384225","0.006362010235641518","80","Metals"
"Other base metals","241164","0.003993201474313881","81","Metals"
"Metal tools and tableware","3944416","0.06531177035754615","82","Metals"
"Miscellaneous articles of base metal","19998560","0.331136816756044","83","Metals"
"Industrial Machinery","130195184","2.1557761552195474","84","Machinery"
"Electrical machinery and equipment","76141807","1.2607585542175572","85","Electronics"
"Trains","4223416","0.06993146156906019","86","Vehicles"
"Vehicles","77259291","1.2792618911846094","87","Vehicles"
"Aircraft","4691126","0.07767581919105744","88","Vehicles"
"Ships","1677752","0.027780273008960965","89","Vehicles"
"Apparatuses (optical, medical, etc.)","22501851","0.3725863917831487","90","Machinery"
"Clocks","382759","0.006337736159239798","91","Machinery"
"Musical instruments","77378","0.001281227478725927","92","Machinery"
"Arms and ammunition","9056","0.00014994954699452034","93","Machinery"
"Furniture","25229455","0.4177501488702116","94","Textiles"
"Toys","14078064","0.23310504851588618","95","Machinery"
"Miscellaneous manufactured articles","13560721","0.22453886604119686","96","Machinery"
"Art","2624427","0.04345534891455257","97","Textiles"
"Other","65150660","1.0787667793058764","99","Other"
