"Name","Gross Import","Share","Code","Sector"
"Live animals","9898773","0.0527858237104183","01","Agriculture"
"Meat","5543824","0.029562786857076737","02","Agriculture"
"Fish","35624994","0.1899724999218297","03","Agriculture"
"Diary products","107671073","0.5741627046190049","04","Agriculture"
"Animal products","1215269","0.006480497653066329","05","Agriculture"
"Plants","5572276","0.029714508919620127","06","Agriculture"
"Vegetables","104860920","0.559177388675574","07","Agriculture"
"Fruits and nuts","35611141","0.1898986279362957","08","Agriculture"
"Coffee, tea and spices","44007450","0.2346724687640628","09","Agriculture"
"Cereals","778119226","4.149369249029465","10","Agriculture"
"Flours, starches and malts","24544747","0.1308863925012543","11","Agriculture"
"Oil seeds and oleaginous fruits","33545760","0.1788848550817361","12","Agriculture"
"Lac and other vegetable extracts","3701953","0.0197408950020628","13","Agriculture"
"Other vegetable materials","901111","0.004805230546201913","14","Agriculture"
"Animal or vegetable fats, oils or waxes","423633038","2.2590495672319126","15","Agriculture"
"Preparations of meat or fish","23833020","0.1270910639335677","16","Agriculture"
"Sugar and candy","176822688","0.9429179997127218","17","Agriculture"
"Cocoa","62310142","0.3322727141013469","18","Agriculture"
"Preparations of cereals, flour, starch or milk","62373589","0.3326110491815588","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","30854498","0.16453353280264676","20","Agriculture"
"Miscellaneous edible preparations","63775638","0.34008756282091274","21","Agriculture"
"Beverages","85274479","0.4547314718189586","22","Agriculture"
"Food residues and animal feed","99920615","0.5328329044848871","23","Agriculture"
"Tobacco","52373705","0.2792860447644828","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","119794109","0.6388095493472409","25","Minerals"
"Ores, slag and ash","8587857","0.045795282471098375","26","Minerals"
"Mineral fuels, oils and waxes","2973407433","15.85588037806155","27","Minerals"
"Inorganic chemicals","143273794","0.7640164323807394","28","Chemicals"
"Organic chemicals","216775469","1.155968693430716","29","Chemicals"
"Pharmaceutical products","497848827","2.6548098856757845","30","Chemicals"
"Fertilisers","189760342","1.011908845676195","31","Chemicals"
"Dyes, paints, inks, etc.","120105464","0.6404698692819799","32","Chemicals"
"Essential oils","158318419","0.8442428324648055","33","Chemicals"
"Soaps, waxes, and paints","75521419","0.40272267175887716","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","26351261","0.1405197409510473","35","Chemicals"
"Explosives","13864528","0.07393345931219542","36","Chemicals"
"Photographic or cinematographic goods","8897205","0.047444899953302526","37","Chemicals"
"Miscellaneous chemical products","285366254","1.5217333276100435","38","Chemicals"
"Plastics","874144648","4.6614307941735476","39","Chemicals"
"Rubber","240234371","1.2810647498219454","40","Chemicals"
"Leather and skins","4945818","0.026373882606643636","41","Agriculture"
"Articles of leather","91522890","0.488051512748904","42","Agriculture"
"Furskins","93616","0.0004992131522234645","43","Agriculture"
"Wood","110282716","0.5880894536203759","44","Agriculture"
"Cork","2384608","0.012716070719719827","45","Agriculture"
"Manufactues of plaiting materials","1465304","0.007813824867604378","46","Agriculture"
"Pulp of wood","2770057","0.014771501525472927","47","Agriculture"
"Paper and paperboard","517679385","2.76055757164325","48","Agriculture"
"Products of the printing industry","87669406","0.46750256924904626","49","Agriculture"
"Silk","1149766","0.006131198824766748","50","Textiles"
"Wool","1030790","0.005496751892629732","51","Textiles"
"Cotton","148001028","0.7892247021897243","52","Textiles"
"Other vegetable textile fibres","2364298","0.012607766379418397","53","Textiles"
"Man-made filaments","208368493","1.1111379701609008","54","Textiles"
"Man-made staple fibres","214137643","1.141902321950659","55","Textiles"
"Wadding, felt and nonwovens","40967663","0.21846261520956453","56","Textiles"
"Carpets","18661558","0.09951392063943142","57","Textiles"
"Special woven fabrics","15809291","0.08430402916732233","58","Textiles"
"Impregnated, coated or laminated textile fabrics","27817000","0.1483358854832519","59","Textiles"
"Knitted fabrics","100523740","0.536049106121731","60","Textiles"
"Apparel, knit","213351337","1.1377092962192432","61","Textiles"
"Apparel, not knit","225903116","1.2046424397054238","62","Textiles"
"Other made up textile articles","243871075","1.3004577004665328","63","Textiles"
"Footwear","230974302","1.2316848549824224","64","Textiles"
"Headgear","14118530","0.0752879408013753","65","Textiles"
"Umbrellas and walking-sticks","11608097","0.06190090043032967","66","Textiles"
"Feathers and down","19007033","0.10135618759982709","67","Textiles"
"Articles of stone, plaster, cement, etc.","38572767","0.20569168308890817","68","Stone"
"Ceramic products","172523086","0.9199901041849667","69","Stone"
"Glass and glassware","99652281","0.5314019967128318","70","Stone"
"Precious metals and stones","75394444","0.402045569660907","71","Stone"
"Iron and steel","832031841","4.436861627242164","72","Metals"
"Articles of iron or steel","402166342","2.144577073448982","73","Metals"
"Copper","43312989","0.23096921221703814","74","Metals"
"Nickel","559053","0.002981184951183393","75","Metals"
"Aluminium","145905819","0.7780518696668973","76","Metals"
"Lead","1125774","0.006003259990078817","78","Metals"
"Zinc","52843276","0.2817900613759886","79","Metals"
"Tin","936215","0.004992424813161114","80","Metals"
"Other base metals","469875","0.0025056377104448","81","Metals"
"Metal tools and tableware","84717953","0.4517637622527058","82","Metals"
"Miscellaneous articles of base metal","100906960","0.5380926506461187","83","Metals"
"Industrial Machinery","1764530596","9.40946933242083","84","Machinery"
"Electrical machinery and equipment","1454457879","7.755987251664719","85","Electronics"
