"Name","Gross Export","Share","Code","Sector"
"Live animals","23568389","0.01781472892045079","01","Agriculture"
"Meat","29059778","0.021965526263100953","02","Agriculture"
"Fish","1798753","0.0013596303544483935","03","Agriculture"
"Diary products","117824196","0.0890602285972988","04","Agriculture"
"Animal products","541392","0.0004092240551401581","05","Agriculture"
"Plants","1002836","0.0007580175077587692","06","Agriculture"
"Vegetables","8002926","0.006049202483055909","07","Agriculture"
"Fruits and nuts","89139249","0.06737802728508784","08","Agriculture"
"Coffee, tea and spices","10120252","0.0076496338373679236","09","Agriculture"
"Cereals","1360408","0.0010282968318798802","10","Agriculture"
"Flours, starches and malts","42130126","0.03184506052044694","11","Agriculture"
"Oil seeds and oleaginous fruits","1863421","0.0014085112045492515","12","Agriculture"
"Lac and other vegetable extracts","781390","0.0005906322672776253","13","Agriculture"
"Other vegetable materials","11401","0.00000861771775839492","14","Agriculture"
"Animal or vegetable fats, oils or waxes","10979501","0.008299117686695445","15","Agriculture"
"Preparations of meat or fish","12958028","0.009794634506567722","16","Agriculture"
"Sugar and candy","9336661","0.007057337891747501","17","Agriculture"
"Cocoa","1042982","0.0007883628193216602","18","Agriculture"
"Preparations of cereals, flour, starch or milk","32116336","0.024275898524846774","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","62833420","0.04749413905400285","20","Agriculture"
"Miscellaneous edible preparations","35650900","0.026947583021906973","21","Agriculture"
"Beverages","49567180","0.0374665351565264","22","Agriculture"
"Food residues and animal feed","171791","0.00012985232448315247","23","Agriculture"
"Tobacco","822299","0.0006215543105877014","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","69645243","0.052643017927272114","25","Minerals"
"Ores, slag and ash","15779542","0.011927343155226602","26","Minerals"
"Mineral fuels, oils and waxes","116914622104","88.37270547510498","27","Minerals"
"Inorganic chemicals","65772767","0.049715914585972396","28","Chemicals"
"Organic chemicals","2938828871","2.22138389180777","29","Chemicals"
"Pharmaceutical products","30046200","0.022711136857493677","30","Chemicals"
"Fertilisers","190017450","0.1436292214077641","31","Chemicals"
"Dyes, paints, inks, etc.","7194546","0.0054381691805796975","32","Chemicals"
"Essential oils","34331238","0.025950085025899697","33","Chemicals"
"Soaps, waxes, and paints","11146490","0.008425340304953195","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","685397","0.0005180736688405054","35","Chemicals"
"Explosives","634476","0.00047958381654901976","36","Chemicals"
"Photographic or cinematographic goods","79292","0.00005993474927626085","37","Chemicals"
"Miscellaneous chemical products","133322844","0.1007752513234379","38","Chemicals"
"Plastics","894562076","0.6761760800220881","39","Chemicals"
"Rubber","5780578","0.004369387745319444","40","Chemicals"
"Leather and skins","1765651","0.001334609418281532","41","Agriculture"
"Articles of leather","3869762","0.00292505189967212","42","Agriculture"
"Furskins","515764","0.0003898525201246204","43","Agriculture"
"Wood","2792938","0.002111108797534952","44","Agriculture"
"Cork","38645","0.000029210744914759372","45","Agriculture"
"Manufactues of plaiting materials","531460","0.00040171671606671025","46","Agriculture"
"Pulp of wood","23135454","0.01748748467540819","47","Agriculture"
"Paper and paperboard","65772540","0.04971574300260856","48","Agriculture"
"Products of the printing industry","3228779","0.0024405496119842634","49","Agriculture"
"Silk","18764","0.000014183216912421916","50","Textiles"
"Wool","482513","0.00036471895875418015","51","Textiles"
"Cotton","320744","0.00024244200199093237","52","Textiles"
"Other vegetable textile fibres","12801","0.000009675941147725055","53","Textiles"
"Man-made filaments","2317797","0.0017519621407994447","54","Textiles"
"Man-made staple fibres","429224","0.0003244391971870275","55","Textiles"
"Wadding, felt and nonwovens","141864","0.00010723128778852178","56","Textiles"
"Carpets","2497851","0.0018880602509011937","57","Textiles"
"Special woven fabrics","225659","0.00017056973700917805","58","Textiles"
"Impregnated, coated or laminated textile fabrics","149803","0.00011323217027987319","59","Textiles"
"Knitted fabrics","43974","0.00003323879665885959","60","Textiles"
"Apparel, knit","7525654","0.005688445059147071","61","Textiles"
"Apparel, not knit","18263175","0.013804656391735299","62","Textiles"
"Other made up textile articles","12757277","0.009642892075402426","63","Textiles"
"Footwear","7108918","0.005373445214592868","64","Textiles"
"Headgear","410776","0.0003104948364110544","65","Textiles"
"Umbrellas and walking-sticks","3044840","0.0023015149319771232","66","Textiles"
"Feathers and down","51958","0.000039273693473439454","67","Textiles"
"Articles of stone, plaster, cement, etc.","6049367","0.004572558321458486","68","Stone"
"Ceramic products","3110336","0.0023510216456253856","69","Stone"
"Glass and glassware","65493313","0.04950468261522821","70","Stone"
"Precious metals and stones","74836637","0.05656705689443507","71","Stone"
"Iron and steel","178072084","0.13460003162540057","72","Metals"
"Articles of iron or steel","67247388","0.05083054203782768","73","Metals"
"Copper","81292864","0.06144715005030988","74","Metals"
"Nickel","1701766","0.0012863204174048495","75","Metals"
"Aluminium","72759294","0.05499684764424848","76","Metals"
"Lead","8157805","0.006166271468995954","78","Metals"
"Zinc","1569713","0.0011865050079539834","79","Metals"
"Tin","44109","0.000033340839628545","80","Metals"
"Other base metals","129326","0.0000977541414632209","81","Metals"
"Metal tools and tableware","5636445","0.004260441379766358","82","Metals"
"Miscellaneous articles of base metal","3406391","0.0025748018781454806","83","Metals"
"Industrial Machinery","214396580","0.16205676824884982","84","Machinery"
"Electrical machinery and equipment","161835818","0.1223274627421251","85","Electronics"
"Trains","7307826","0.005523794570253496","86","Vehicles"
"Vehicles","625831966","0.4730500172940449","87","Vehicles"
"Aircraft","46543230","0.03518081042926578","88","Vehicles"
"Ships","185081205","0.1398980428974327","89","Vehicles"
"Apparatuses (optical, medical, etc.)","60815159","0.04596858834259368","90","Machinery"
"Clocks","63045013","0.047654076669444656","91","Machinery"
"Musical instruments","81665","0.00006172843792117543","92","Machinery"
"Arms and ammunition","2168968","0.0016394661916490053","93","Machinery"
"Furniture","38478866","0.029085168568642968","94","Textiles"
"Toys","1588605","0.001200784976719144","95","Machinery"
"Miscellaneous manufactured articles","4644812","0.003510891926743779","96","Machinery"
"Art","759910","0.0005743960969899029","97","Textiles"
"Other","183711936","0.13886304826737222","99","Other"
"Unspecified","3284862208","2.48294144230874","unspecified","Services"
"Travel and tourism","457510496","0.34582021980802274","travel","Services"
"Transport","1243754624","0.9401215955030783","transport","Services"
"ICT","557929792","0.42172453964178436","ict","Services"
"Insurance and finance","2574765312","1.9461977679959335","financial","Services"
