"Name","Gross Import","Share","Code","Sector"
"Live animals","210970617","0.3098404643917525","01","Agriculture"
"Meat","466679830","0.6853859428655135","02","Agriculture"
"Fish","175128326","0.25720094403473365","03","Agriculture"
"Diary products","480808628","0.7061360994317109","04","Agriculture"
"Animal products","863119","0.0012676134505751817","05","Agriculture"
"Plants","27579718","0.040504752531076764","06","Agriculture"
"Vegetables","308210217","0.452650696687126","07","Agriculture"
"Fruits and nuts","389409369","0.5719032415279864","08","Agriculture"
"Coffee, tea and spices","133158393","0.19556210675906346","09","Agriculture"
"Cereals","484425713","0.7114483050463176","10","Agriculture"
"Flours, starches and malts","19957774","0.02931083983313963","11","Agriculture"
"Oil seeds and oleaginous fruits","62192784","0.09133898051962354","12","Agriculture"
"Lac and other vegetable extracts","8194287","0.012034480087998702","13","Agriculture"
"Other vegetable materials","1050398","0.0015426593937304931","14","Agriculture"
"Animal or vegetable fats, oils or waxes","221336358","0.32506403462572797","15","Agriculture"
"Preparations of meat or fish","119801907","0.17594620060241634","16","Agriculture"
"Sugar and candy","104086086","0.1528652742337095","17","Agriculture"
"Cocoa","152258745","0.223613699999301","18","Agriculture"
"Preparations of cereals, flour, starch or milk","283061650","0.4157164364149142","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","212669451","0.31233544460733625","20","Agriculture"
"Miscellaneous edible preparations","228699893","0.33587843682262214","21","Agriculture"
"Beverages","133938514","0.19670782579974752","22","Agriculture"
"Food residues and animal feed","70622967","0.10371990755472557","23","Agriculture"
"Tobacco","118011305","0.17331644598013735","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","457694017","0.6721889938664145","25","Minerals"
"Ores, slag and ash","16435883","0.024138440195245345","26","Minerals"
"Mineral fuels, oils and waxes","683088939","1.0032136090336672","27","Minerals"
"Inorganic chemicals","91467450","0.1343330061206078","28","Chemicals"
"Organic chemicals","236051216","0.34667490395441125","29","Chemicals"
"Pharmaceutical products","782652799","1.1494373488970975","30","Chemicals"
"Fertilisers","12052306","0.017700531671818096","31","Chemicals"
