"Name","Gross Export","Share","Code","Sector"
"Live animals","4486545","0.18320597277086736","01","Agriculture"
"Meat","4016354","0.164005942559846","02","Agriculture"
"Fish","1583512","0.06466197404781222","03","Agriculture"
"Diary products","28618458","1.168621386187414","04","Agriculture"
"Animal products","1895454","0.07739998014339132","05","Agriculture"
"Plants","110525","0.004513236831570867","06","Agriculture"
"Vegetables","45392049","1.8535631522937757","07","Agriculture"
"Fruits and nuts","19778322","0.8076385552324665","08","Agriculture"
"Coffee, tea and spices","1102691","0.04502787274410053","09","Agriculture"
"Cereals","385709","0.015750247139274982","10","Agriculture"
"Flours, starches and malts","28766","0.001174646194951075","11","Agriculture"
"Oil seeds and oleaginous fruits","1595043","0.06513283705532043","12","Agriculture"
"Lac and other vegetable extracts","385017","0.01572198964198978","13","Agriculture"
"Other vegetable materials","19420","0.0007930066434662405","14","Agriculture"
"Animal or vegetable fats, oils or waxes","12185663","0.4975958658105437","15","Agriculture"
"Preparations of meat or fish","805503","0.032892339357980804","16","Agriculture"
"Sugar and candy","9728029","0.3972395275402806","17","Agriculture"
"Cocoa","743964","0.030379422991746556","18","Agriculture"
"Preparations of cereals, flour, starch or milk","11938613","0.4875076942725244","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1465309","0.05983520966688329","20","Agriculture"
"Miscellaneous edible preparations","5071871","0.20710748701358211","21","Agriculture"
"Beverages","9572953","0.390907071400107","22","Agriculture"
"Food residues and animal feed","885448","0.03615685615056106","23","Agriculture"
"Tobacco","8567149","0.3498355341176704","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","25624352","1.046358463981331","25","Minerals"
"Ores, slag and ash","127576617","5.209531659729564","26","Minerals"
"Mineral fuels, oils and waxes","111872892","4.56827737280027","27","Minerals"
"Inorganic chemicals","1175190","0.04798833559912931","28","Chemicals"
"Organic chemicals","5428196","0.22165785221611084","29","Chemicals"
"Pharmaceutical products","2020220","0.08249474156865955","30","Chemicals"
"Fertilisers","3246088","0.1325524896640598","31","Chemicals"
"Dyes, paints, inks, etc.","1863212","0.07608339310947586","32","Chemicals"
"Essential oils","742323","0.030312413522028327","33","Chemicals"
"Soaps, waxes, and paints","2378588","0.09712853172343347","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","780033","0.03185228378593728","35","Chemicals"
"Explosives","421570","0.017214614350466683","36","Chemicals"
"Photographic or cinematographic goods","2321","0.00009477695259964697","37","Chemicals"
"Miscellaneous chemical products","3823886","0.1561466015374639","38","Chemicals"
"Plastics","20424185","0.8340120696386991","39","Chemicals"
"Rubber","1180318","0.04819773508768208","40","Chemicals"
"Leather and skins","12601467","0.5145750282399895","41","Agriculture"
"Articles of leather","8626063","0.35224125983307564","42","Agriculture"
"Furskins","455589","0.018603764350676677","43","Agriculture"
"Wood","765779","0.03127022834330248","44","Agriculture"
"Manufactues of plaiting materials","184820","0.007547038509033501","46","Agriculture"
"Pulp of wood","97624","0.003986430512963351","47","Agriculture"
"Paper and paperboard","4010269","0.163757464422591","48","Agriculture"
"Products of the printing industry","939815","0.03837690724146369","49","Agriculture"
"Silk","452711","0.01848624256283446","50","Textiles"
"Wool","2111074","0.08620472228881824","51","Textiles"
"Cotton","27666760","1.1297592421825975","52","Textiles"
"Other vegetable textile fibres","2465","0.00010065712544512271","53","Textiles"
"Man-made filaments","271808","0.01109915292210463","54","Textiles"
"Man-made staple fibres","653519","0.026686143595850365","55","Textiles"
"Wadding, felt and nonwovens","109505","0.004471585607248747","56","Textiles"
"Carpets","309375","0.012633183847701759","57","Textiles"
"Special woven fabrics","103928","0.00424385141308751","58","Textiles"
"Impregnated, coated or laminated textile fabrics","227207","0.00927789188681947","59","Textiles"
"Knitted fabrics","1339490","0.05469744947768252","60","Textiles"
"Apparel, knit","38356772","1.5662808969062758","61","Textiles"
"Apparel, not knit","13712966","0.5599625715564717","62","Textiles"
"Other made up textile articles","1173992","0.04793941582781765","63","Textiles"
"Footwear","15636315","0.6385016310160055","64","Textiles"
"Headgear","930053","0.03797828052398081","65","Textiles"
"Umbrellas and walking-sticks","443227","0.018098967845706044","66","Textiles"
"Feathers and down","68657","0.002803576576748799","67","Textiles"
"Articles of stone, plaster, cement, etc.","5948820","0.24291729046265917","68","Stone"
"Ceramic products","8172420","0.33371695948488017","69","Stone"
"Glass and glassware","31008439","1.266215145752712","70","Stone"
"Precious metals and stones","735083835","30.016805595244172","71","Stone"
"Iron and steel","30838361","1.2592700899387341","72","Metals"
"Articles of iron or steel","4523258","0.18470513100472813","73","Metals"
"Copper","76052689","3.1055760880778513","74","Metals"
"Nickel","27820","0.0011360167261189914","75","Metals"
"Aluminium","10910094","0.4455086005582477","76","Metals"
"Lead","7263023","0.296582157087956","78","Metals"
"Zinc","827695","0.03379853932872245","79","Metals"
"Other base metals","1148599","0.046902504514865107","81","Metals"
"Metal tools and tableware","1040229","0.04247726610330813","82","Metals"
"Miscellaneous articles of base metal","1584659","0.06470881125790778","83","Metals"
"Industrial Machinery","44326876","1.8100673095831232","84","Machinery"
"Electrical machinery and equipment","18943945","0.7735671595499006","85","Electronics"
"Trains","831868","0.0339689418376403","86","Vehicles"
"Vehicles","25799395","1.0535062632548768","87","Vehicles"
"Aircraft","14723348","0.601221049333954","88","Vehicles"
"Ships","6293586","0.25699564929073754","89","Vehicles"
"Apparatuses (optical, medical, etc.)","6336572","0.25875096255417934","90","Machinery"
"Clocks","712154","0.02908047647636751","91","Machinery"
"Musical instruments","4703","0.00019204481175189128","92","Machinery"
"Arms and ammunition","526465","0.021497952757592913","93","Machinery"
"Furniture","3482295","0.14219789235372152","94","Textiles"
"Toys","443721","0.018119140105328717","95","Machinery"
"Miscellaneous manufactured articles","204923","0.008367935138982102","96","Machinery"
"Art","124950","0.005102274979459668","97","Textiles"
"Other","5129222","0.20944938835289378","99","Other"
"Unspecified","47","0.000001919223081509439","unspecified","Services"
"Travel and tourism","472105696","19.278215929261243","travel","Services"
"Transport","217490768","8.881134084272649","transport","Services"
"ICT","93087592","3.801188407841136","ict","Services"
"Insurance and finance","13735930","0.5609002957871905","financial","Services"
