"Name","Gross Import","Share","Code","Sector"
"Live animals","747277","0.006997575791904204","01","Agriculture"
"Meat","32976547","0.3087956500571959","02","Agriculture"
"Fish","5779508","0.05411988495553413","03","Agriculture"
"Diary products","61919573","0.5798210102409751","04","Agriculture"
"Animal products","536307","0.005022031830537763","05","Agriculture"
"Plants","3773797","0.03533820863048201","06","Agriculture"
"Vegetables","14112567","0.1321514742201702","07","Agriculture"
"Fruits and nuts","130347878","1.2205904311505407","08","Agriculture"
"Coffee, tea and spices","16320501","0.15282678673282912","09","Agriculture"
"Cereals","24856827","0.23276178830440492","10","Agriculture"
"Flours, starches and malts","19859210","0.18596360806279583","11","Agriculture"
"Oil seeds and oleaginous fruits","6666810","0.06242866870681804","12","Agriculture"
"Lac and other vegetable extracts","219827","0.002058481786013654","13","Agriculture"
"Other vegetable materials","22442","0.00021014910926191242","14","Agriculture"
"Animal or vegetable fats, oils or waxes","54355341","0.5089887931012169","15","Agriculture"
"Preparations of meat or fish","7134955","0.06681242482282454","16","Agriculture"
"Sugar and candy","34773060","0.3256183756042704","17","Agriculture"
"Cocoa","43164784","0.4041993097354447","18","Agriculture"
"Preparations of cereals, flour, starch or milk","52598127","0.49253406727987464","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","21848937","0.2045956086297853","20","Agriculture"
"Miscellaneous edible preparations","38909722","0.3643544880103662","21","Agriculture"
"Beverages","58421009","0.547060110664476","22","Agriculture"
"Food residues and animal feed","8815161","0.08254604011007706","23","Agriculture"
"Tobacco","84376979","0.7901143828117411","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","35467343","0.3321197103349401","25","Minerals"
"Ores, slag and ash","3723497","0.034867194451893915","26","Minerals"
"Mineral fuels, oils and waxes","934547865","8.751198707440157","27","Minerals"
"Inorganic chemicals","29140397","0.27287356176314526","28","Chemicals"
"Organic chemicals","13747930","0.12873697726116762","29","Chemicals"
"Pharmaceutical products","121141067","1.1343769416757712","30","Chemicals"
"Fertilisers","37222118","0.34855159711887523","31","Chemicals"
"Dyes, paints, inks, etc.","35404490","0.3315311486218825","32","Chemicals"
"Essential oils","67718152","0.6341194779281167","33","Chemicals"
"Soaps, waxes, and paints","44413385","0.4158913330833429","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7411527","0.06940227240533885","35","Chemicals"
"Explosives","6408623","0.06001098008401235","36","Chemicals"
"Photographic or cinematographic goods","2154198","0.020172123289982767","37","Chemicals"
"Miscellaneous chemical products","40720383","0.38130969682978","38","Chemicals"
"Plastics","191839965","1.7964084201758515","39","Chemicals"
"Rubber","52455026","0.4911940553520389","40","Chemicals"
"Leather and skins","423521","0.0039658925632169335","41","Agriculture"
"Articles of leather","167923661","1.5724537823344331","42","Agriculture"
"Furskins","49788670","0.4662260338577356","43","Agriculture"
"Wood","84128642","0.7877889305638677","44","Agriculture"
"Cork","243359","0.002278837763161472","45","Agriculture"
"Manufactues of plaiting materials","147617","0.0013823001988198791","46","Agriculture"
"Pulp of wood","1672048","0.015657222967790846","47","Agriculture"
"Paper and paperboard","84887977","0.7948994186612472","48","Agriculture"
"Products of the printing industry","8154160","0.0763563613215897","49","Agriculture"
"Silk","5219035","0.04887156030909656","50","Textiles"
"Wool","27055767","0.25335288011085666","51","Textiles"
"Cotton","306888436","2.8737336898752974","52","Textiles"
"Other vegetable textile fibres","142573","0.0013350676835753783","53","Textiles"
"Man-made filaments","221486156","2.074018287017422","54","Textiles"
"Man-made staple fibres","159995853","1.4982170035446878","55","Textiles"
"Wadding, felt and nonwovens","20755839","0.19435973076524657","56","Textiles"
"Carpets","21087586","0.1974662425088662","57","Textiles"
"Special woven fabrics","22683049","0.21240631595643497","58","Textiles"
"Impregnated, coated or laminated textile fabrics","8438431","0.0790183031021348","59","Textiles"
"Knitted fabrics","202114186","1.8926172425406156","60","Textiles"
"Apparel, knit","857075558","8.025740356646313","61","Textiles"
"Apparel, not knit","1373709819","12.863554712021788","62","Textiles"
"Other made up textile articles","209525786","1.9620201985251797","63","Textiles"
"Footwear","1026486763","9.612123648230721","64","Textiles"
"Headgear","24201662","0.22662675839755256","65","Textiles"
"Umbrellas and walking-sticks","12622416","0.11819755276416147","66","Textiles"
"Feathers and down","5446815","0.05100451477428142","67","Textiles"
"Articles of stone, plaster, cement, etc.","28805105","0.269733854288649","68","Stone"
"Ceramic products","56594948","0.5299606947208026","69","Stone"
"Glass and glassware","22705979","0.21262103474599808","70","Stone"
"Precious metals and stones","69069825","0.6467766776858644","71","Stone"
"Iron and steel","234327087","2.194262035869738","72","Metals"
"Articles of iron or steel","138350441","1.2955272231593784","73","Metals"
"Copper","5693664","0.053316033242875746","74","Metals"
"Nickel","213843","0.002002447017729932","75","Metals"
"Aluminium","32626613","0.3055188334454653","76","Metals"
"Lead","849806","0.007957667496008769","78","Metals"
"Zinc","268886","0.0025178751177701896","79","Metals"
"Tin","269512","0.0025237370437303517","80","Metals"
"Other base metals","1240415","0.011615368833665232","81","Metals"
"Metal tools and tableware","20107397","0.18828765569582256","82","Metals"
"Miscellaneous articles of base metal","27484607","0.25736858031653703","83","Metals"
"Industrial Machinery","413480210","3.871869611840678","84","Machinery"
