"Name","Gross Export","Share","Code","Sector"
"Live animals","15531340","0.22723826130971866","01","Agriculture"
"Meat","2146557","0.03140616846210345","02","Agriculture"
"Fish","14677","0.0002147384553581816","03","Agriculture"
"Diary products","278261","0.004071222819814879","04","Agriculture"
"Animal products","7139","0.00010445035312407568","05","Agriculture"
"Plants","485136","0.007098000632189603","06","Agriculture"
"Vegetables","115610614","1.6914931302971294","07","Agriculture"
"Fruits and nuts","35415351","0.5181602350417546","08","Agriculture"
"Coffee, tea and spices","92405936","1.351986643221843","09","Agriculture"
"Cereals","93683676","1.3706811934670813","10","Agriculture"
"Flours, starches and malts","45623461","0.6675145835820836","11","Agriculture"
"Oil seeds and oleaginous fruits","41232905","0.6032765776133163","12","Agriculture"
"Lac and other vegetable extracts","7386069","0.10806520734679766","13","Agriculture"
"Other vegetable materials","1392981","0.020380635571526553","14","Agriculture"
"Animal or vegetable fats, oils or waxes","317266","0.0046419030304332524","15","Agriculture"
"Preparations of meat or fish","71355","0.001043991447985491","16","Agriculture"
"Sugar and candy","64391372","0.9421069538512004","17","Agriculture"
"Preparations of cereals, flour, starch or milk","34355","0.0005026462924187728","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2782755","0.04071434968592061","20","Agriculture"
"Miscellaneous edible preparations","6086547","0.08905196574538218","21","Agriculture"
"Beverages","163329494","2.3896656848125226","22","Agriculture"
"Food residues and animal feed","791107","0.011574647080673503","23","Agriculture"
"Tobacco","64000401","0.9363866766399279","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","91808900","1.3432514392678179","25","Minerals"
"Ores, slag and ash","626609266","9.167888934657215","26","Minerals"
"Mineral fuels, oils and waxes","1439155342","21.056210067558467","27","Minerals"
"Inorganic chemicals","73525657","1.0757502223462203","28","Chemicals"
"Organic chemicals","1522373","0.022273763473393816","29","Chemicals"
"Pharmaceutical products","14479","0.00021184152722839215","30","Chemicals"
"Fertilisers","139744211","2.0445905849552233","31","Chemicals"
"Dyes, paints, inks, etc.","1874476","0.02742536491421836","32","Chemicals"
"Essential oils","4904128","0.07175205229943507","33","Chemicals"
"Soaps, waxes, and paints","254815","0.0037281855625873853","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4230","0.00006188891913641128","35","Chemicals"
"Explosives","367962","0.00538363367926056","36","Chemicals"
"Photographic or cinematographic goods","7182","0.0001050794839805451","37","Chemicals"
"Miscellaneous chemical products","4490353","0.06569813090093186","38","Chemicals"
"Plastics","23819778","0.3485059845128294","39","Chemicals"
"Rubber","261278918","3.8227588246219932","40","Chemicals"
"Leather and skins","132389","0.0019369768594681685","41","Agriculture"
"Articles of leather","2699958","0.039502950906313644","42","Agriculture"
"Furskins","1265","0.000018508151940321578","43","Agriculture"
"Wood","267954172","3.9204241331375975","44","Agriculture"
"Cork","41721","0.0006104178712270011","45","Agriculture"
"Manufactues of plaiting materials","67439","0.0009866966471963215","46","Agriculture"
"Pulp of wood","121259094","1.7741357596029534","47","Agriculture"
"Paper and paperboard","469552","0.006869991905044961","48","Agriculture"
"Products of the printing industry","1985690","0.02905253140425071","49","Agriculture"
"Silk","390920","0.005719531032814632","50","Textiles"
"Wool","10097","0.0001477287036691122","51","Textiles"
"Cotton","196751","0.0028786540730515496","52","Textiles"
"Other vegetable textile fibres","346896","0.00507541808339114","53","Textiles"
"Man-made filaments","11219","0.00016414462973791917","54","Textiles"
"Man-made staple fibres","4118321","0.060254949254558966","55","Textiles"
"Wadding, felt and nonwovens","68642","0.0010042976802273151","56","Textiles"
"Carpets","12252","0.00017925840124333593","57","Textiles"
"Special woven fabrics","105971","0.0015504564183935318","58","Textiles"
"Impregnated, coated or laminated textile fabrics","63158","0.0009240615496022372","59","Textiles"
"Knitted fabrics","139504","0.002041076069788633","60","Textiles"
"Apparel, knit","72513988","1.060948543638463","61","Textiles"
"Apparel, not knit","146828294","2.1482374501898867","62","Textiles"
"Other made up textile articles","4908329","0.07181351692101712","63","Textiles"
"Footwear","62310819","0.9116664866228273","64","Textiles"
"Headgear","174120","0.002547541040196674","65","Textiles"
"Feathers and down","8038861","0.11761617455741141","67","Textiles"
"Articles of stone, plaster, cement, etc.","92690","0.0013561427694453807","68","Stone"
"Ceramic products","52295","0.0007651255381178788","69","Stone"
"Glass and glassware","777091","0.011369579683364769","70","Stone"
"Precious metals and stones","69477579","1.0165229949230794","71","Stone"
"Iron and steel","2060955","0.030153729867324466","72","Metals"
"Articles of iron or steel","13357970","0.19543979318123114","73","Metals"
"Copper","485726297","7.106637238170564","74","Metals"
"Nickel","4928","0.00007210132234142667","75","Metals"
"Aluminium","4688677","0.06859979945857007","76","Metals"
"Lead","1014468","0.014842630737228576","78","Metals"
"Zinc","33093","0.00048418203332890273","79","Metals"
"Tin","3528111","0.051619616166260776","80","Metals"
"Other base metals","10584177","0.15485656607055887","81","Metals"
"Metal tools and tableware","1578050","0.023088370884920523","82","Metals"
"Miscellaneous articles of base metal","75906","0.0011105769021201972","83","Metals"
"Industrial Machinery","30273990","0.44293723854527745","84","Machinery"
"Electrical machinery and equipment","690451298","10.101958522352767","85","Electronics"
"Trains","6209","0.00009084356948415545","86","Vehicles"
"Vehicles","13447849","0.1967548083498036","87","Vehicles"
"Aircraft","9080146","0.13285116348482465","88","Vehicles"
"Ships","36311","0.0005312644309130567","89","Vehicles"
"Apparatuses (optical, medical, etc.)","32009132","0.46832401465123275","90","Machinery"
