"Name","Gross Import","Share","Code","Sector"
"Live animals","176203349","2.104903173731331","01","Agriculture"
"Meat","104549795","1.2489387775964464","02","Agriculture"
"Fish","3028024","0.036172396063451885","03","Agriculture"
"Diary products","29823190","0.35626409848653035","04","Agriculture"
"Animal products","4961482","0.059269243561374474","05","Agriculture"
"Plants","3990391","0.047668711905861326","06","Agriculture"
"Vegetables","24442017","0.2919812787195954","07","Agriculture"
"Fruits and nuts","12269665","0.14657188382452496","08","Agriculture"
"Coffee, tea and spices","4678774","0.0558920491447165","09","Agriculture"
"Cereals","19700070","0.23533457281637352","10","Agriculture"
"Flours, starches and malts","24022784","0.28697317372476405","11","Agriculture"
"Oil seeds and oleaginous fruits","4665561","0.055734208298941705","12","Agriculture"
"Lac and other vegetable extracts","808426","0.009657355906027216","13","Agriculture"
"Other vegetable materials","18051","0.00021563498880503257","14","Agriculture"
"Animal or vegetable fats, oils or waxes","16164782","0.19310246443996412","15","Agriculture"
"Preparations of meat or fish","23118560","0.2761714268898385","16","Agriculture"
"Sugar and candy","63570352","0.7594034758103141","17","Agriculture"
"Cocoa","1934250","0.023106308630886616","18","Agriculture"
"Preparations of cereals, flour, starch or milk","113536827","1.35629673808121","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","32825046","0.39212389489417093","20","Agriculture"
"Miscellaneous edible preparations","104410723","1.2472774408747638","21","Agriculture"
"Beverages","139335060","1.664479203548199","22","Agriculture"
"Food residues and animal feed","68905210","0.8231330223787281","23","Agriculture"
"Tobacco","39362289","0.4702169823198414","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","101672908","1.214571845236004","25","Minerals"
"Ores, slag and ash","9292059","0.11100177488453285","26","Minerals"
"Mineral fuels, oils and waxes","1003633623","11.989281760565026","27","Minerals"
"Inorganic chemicals","50213948","0.5998495437835294","28","Chemicals"
"Organic chemicals","53757409","0.6421792857959425","29","Chemicals"
"Pharmaceutical products","37844444","0.4520849957494146","30","Chemicals"
"Fertilisers","109640267","1.3097489195682115","31","Chemicals"
"Dyes, paints, inks, etc.","21038646","0.25132503432956865","32","Chemicals"
"Essential oils","97203864","1.1611852044455104","33","Chemicals"
"Soaps, waxes, and paints","86143171","1.029055548956568","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5295951","0.06326476841155622","35","Chemicals"
